回答者(or No.),問１ あなたの性別を教えてください。,問２　あなたがふだんからよく遊んだり、やりとりするのは、どのような友だちですか。,問３　放課後／A自分の家,問３　放課後／B友だちの家,問３　放課後／C塾や習い事,問３　放課後／D児童館・児童センター（学童クラブふくむ）,問３　放課後／E学校（クラブ活動、放課後子ども教室「KoKoA」など）,問３　放課後／Fスポーツクラブなどの活動の場,問３　放課後／G公園,問３　放課後／H図書館,問３　放課後／I商店街やショッピングモール,問３　放課後／Jゲームセンター,問３　放課後／Kインターネット上の仮想空間（メタバースなど）,問３　放課後／Lその他,問３　放課後／Lその他　記述,問３　休日に一番多く過ごす場所（複数回答１）,問３　休日に一番多く過ごす場所（複数回答２）,問３　休日に一番多く過ごす場所（複数回答３）,問３　休日に一番多く過ごす場所（複数回答４）,問４　問３のＡ～Lの場所の中で、あなたが一番ほっとできる居場所はどこですか。,問５　あなたは、体育の授業以外で30分以上からだを動かす遊びや習い事を、１週間でどれくらいしますか。,問６　あなたは、平日（学校に行く日）に毎日、朝ごはんを食べますか。,問７　あなたは、平日（学校に行く日）に夕ごはんをだれと食べますか。（複数回答１）,問７　あなたは、平日（学校に行く日）に夕ごはんをだれと食べますか。（複数回答２）,問７　あなたは、平日（学校に行く日）に夕ごはんをだれと食べますか。（複数回答３）,問７　あなたは、平日（学校に行く日）に夕ごはんをだれと食べますか。（複数回答４）,問７　あなたは、平日（学校に行く日）に夕ごはんをだれと食べますか。（複数回答５）,問８　あなたは、自分の健康状態についてどう感じていますか。,問９　全体として、あなたは最近の生活に、どのくらい満足していますか。,問10　あなたは、学校の授業がわからないことがありますか。,問10１　いつごろから、授業がわからなくなりましたか。,問11　勉強がわからないときは、だれに教えてもらいますか。（複数回答１）,問11　勉強がわからないときは、だれに教えてもらいますか。（複数回答２）,問11　勉強がわからないときは、だれに教えてもらいますか。（複数回答３）,問11　勉強がわからないときは、だれに教えてもらいますか。（複数回答４）,問11　勉強がわからないときは、だれに教えてもらいますか。（複数回答５）,問11　勉強がわからないときは、だれに教えてもらいますか。（複数回答６）,問12　あなたは、ふだん(月～金曜日)学校の授業以外にどれくらいの時間、勉強をしますか。１日あたりの勉強時間を教えてください。,問13　あなたは、学校以外でどのような勉強をしていますか。（複数回答１）,問13　あなたは、学校以外でどのような勉強をしていますか。（複数回答２）,問13　あなたは、学校以外でどのような勉強をしていますか。（複数回答３）,問13　あなたは、学校以外でどのような勉強をしていますか。（複数回答４）,問13　５　その他,問14　Aがんばれば、むくわれると思う,問14　B自分は価値のある人間だと思う,問14　C自分は家族に大事にされていると思う,問14　D不安に感じることはないと思う,問14　E孤独を感じることはないと思う,問14　F自分の将来が楽しみだと思う,問14　G自分のことが好きだと思う,問15　あなたは、自分や家族のことなどで、心配なことや困っていることはありますか。（複数回答１）,問15　あなたは、自分や家族のことなどで、心配なことや困っていることはありますか。（複数回答２）,問15　あなたは、自分や家族のことなどで、心配なことや困っていることはありますか。（複数回答３）,問15　あなたは、自分や家族のことなどで、心配なことや困っていることはありますか。（複数回答４）,問15　あなたは、自分や家族のことなどで、心配なことや困っていることはありますか。（複数回答５）,問15　あなたは、自分や家族のことなどで、心配なことや困っていることはありますか。（複数回答６）,問15　10　その他,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答１）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答２）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答３）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答４）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答５）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答６）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答７）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答８）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答９）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答10）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答11）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答12）,問16　14　その他,問17　「ヤングケアラー」という言葉をこれまでに聞いたことがありましたか。,問18　あなた自身は「ヤングケアラー」にあてはまると思いますか。,問19　あなたは「子どもの権利条約」について知っていますか。,問20　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答１）,問20　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答２）,問20　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答３）,問20　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答４）,問20　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答５）,問20　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答６）,問20　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答７）,問20　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答８）,問20　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答９）,問20　11　その他,問21　自分の意見や考えは、まわりの大人にきちんと聞いてもらえていると思いますか。,問22　A（家以外で）平日の放課後に夜までいることができる場所,問22　B（家以外で）休日にいることができる場所,問22　C家の人がいないとき、夕ごはんをみんなで食べることができる場所,問22　D家で勉強できないとき、静かに勉強ができる場所,問22　E大学生のお兄さんやお姉さんが、勉強を無料でみてくれる場所,問22　F（学校以外で）何でも相談できる場所,問22　G子どもに寄りそう人がいる居場所,問23　あなたは、狛江市が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答１）,問23　あなたは、狛江市が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答２）,問23　あなたは、狛江市が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答３）,問23　あなたは、狛江市が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答４）,問23　あなたは、狛江市が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答５）,問23　あなたは、狛江市が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答６）,問23　あなたは、狛江市が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答７）,問23　あなたは、狛江市が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答８）,問23　あなたは、狛江市が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答９）,問24　あなたが、狛江市に何でも要望できるとすれば、どのようなことを要望しますか。何でもいいので、書いてください。
212,1,1,1,4,3,4,4,4,4,4,4,4,4,4,,1,,,,1,3,1,1,2,,,,4,3,2,,1,,,,,,2,3,5,,,宿題,2,4,1,2,1,3,4,11,,,,,,,15,,,,,,,,,,,,,2,3,4,12,,,,,,,,,,,3,3,5,5,5,5,5,3,,,,,,,,,緑豊かで、市民や他の人と寄り添える場所。
213,1,1,3,4,4,4,,,2,4,4,4,4,4,,,,,,1,4,1,1,2,,,,3,4,2,,7,,,,,,3,3,,,,,2,3,2,2,2,3,2,11,,,,,,,4,5,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,2,1,2,,,,,,,,,,,,,1,,,,1,2,1,1,2,,,,1,4,1,,1,2,3,7,,,3,3,,,,,2,2,1,2,1,2,2,11,,,,,,,1,2,4,,,,,,,,,,,3,2,3,1,3,,,,,,,,,1,3,2,3,2,3,3,3,4,5,9,,,,,,,とくになし
215,2,5,1,4,4,4,4,3,4,4,4,4,4,4,,1,,,,1,2,1,2,,,,,2,5,2,,1,3,,,,,5,6,,,,,2,3,4,4,2,,4,8,,,,,,,1,2,6,,,,,,,,,,,3,3,4,1,,,,,,,,,,1,4,4,4,4,4,3,4,3,6,7,,,,,,,ない
216,,3,1,,2,,,,,,,,,,,1,,,,1,3,1,1,,,,,1,5,2,,3,5,7,,,,6,1,3,,,,1,1,1,1,1,1,1,11,,,,,,,1,4,5,,,,,,,,,,,3,3,4,1,11,,,,,,,,ダンスの先生,1,2,2,5,2,3,5,3,2,5,8,,,,,,,本が好きなので大きい本屋さんをつくってほしいです。また近くにカフェなどもあるといいです。
217,2,5,1,4,4,4,4,4,4,4,4,4,4,4,,1,,,,1,1,1,2,,,,,3,3,5,5,8,,,,,,1,6,,,,,2,2,2,2,4,2,2,11,,,,,,,1,,,,,,,,,,,,,3,1,4,1,,,,,,,,,,1,5,5,5,5,2,5,2,7,9,,,,,,,,特になし
218,2,5,1,4,3,4,3,4,4,4,4,4,4,,,,,,,1,2,1,1,2,,,,3,4,3,,1,,,,,,2,2,4,,,,3,4,2,4,3,4,4,11,,,,,,,1,,,,,,,,,,,,,3,2,4,1,,,,,,,,,,2,5,4,5,3,4,5,5,1,5,6,,,,,,,なし。
219,2,1,1,4,2,4,4,4,4,4,4,4,4,4,,1,,,,1,1,1,1,,,,,2,3,1,,5,,,,,,6,1,,,,,2,1,1,3,2,1,1,11,,,,,,,1,3,4,5,,,,,,,,,,2,2,2,1,2,,,,,,,,,2,,5,5,3,5,5,5,6,7,,,,,,,,何もないです。
220,2,1,1,4,3,4,4,4,3,3,4,4,4,4,,1,,,,1,2,1,1,2,,,,2,4,1,,1,5,,,,,6,1,,,,,2,2,2,3,2,3,2,8,,,,,,,1,2,3,4,,,,,,,,,,2,2,4,1,2,11,,,,,,,学校の友達,2,5,5,5,5,5,5,5,4,,,,,,,,,学校の図書の本を増やしてほしい。
221,1,1,1,3,2,,,,,,,,4,,,1,,,,1,2,1,1,2,,,,1,2,1,,1,,,,,,6,1,,,,,2,3,1,2,4,1,1,1,2,,,,,,1,,,,,,,,,,,,,1,2,1,1,,,,,,,,,,1,2,2,5,3,2,2,2,3,6,7,,,,,,,学校の授業で、準備テストとランク（成績）によってクラスを変えてほしい。（少人数クラス）
222,2,1,3,4,2,3,4,4,4,4,4,4,4,4,,1,,,,1,2,1,1,,,,,1,4,2,,1,,,,,,3,1,,,,,2,2,1,2,2,1,1,11,,,,,,,1,,,,,,,,,,,,,3,3,4,1,,,,,,,,,,2,4,4,3,4,4,4,3,4,5,6,,,,,,,この狛江市がいいので、自然を壊したりしないで今の狛江市をたもってみんなが笑顔になるような狛江市になってほしいです。
223,1,1,3,4,3,4,4,3,3,4,4,4,4,4,,,,,,1,3,1,1,2,,,,1,,1,,1,,,,,,4,1,2,3,4,,1,1,1,1,1,1,1,11,,,,,,,1,4,6,8,,,,,,,,,,3,2,4,1,2,,,,,,,,,1,5,1,5,2,2,2,5,1,8,9,,,,,,,街灯を多くする。公園でボールを使えるようにする。
224,2,1,1,4,2,4,4,4,3,4,3,4,4,4,,1,,,,1,3,1,1,2,,,,1,4,2,,1,2,7,,,,4,1,,,,,1,1,1,1,1,1,1,11,,,,,,,1,2,3,4,5,6,8,,,,,,,2,2,2,1,2,3,,,,,,,,1,4,3,3,3,4,4,3,1,3,4,,,,,,,イベントをもっとひらいたら、人がたくさん来るかもしれない。
225,2,1,1,,,,,,,,,,,,,,,,,1,2,1,1,,,,,1,5,2,,1,7,,,,,4,3,,,,,,,1,,,,,11,,,,,,,1,,,,,,,,,,,,,3,3,4,1,,,,,,,,,,1,,,,,,,,4,,,,,,,,,
226,2,1,1,4,3,4,4,4,4,4,4,4,4,4,,1,,,,13,1,1,1,2,,,,3,2,2,,8,,,,,,4,5,,,,親族に教えてもらっている。,4,4,3,4,4,4,4,1,5,,,,,,15,,,,,,,,,,,,,1,3,4,2,,,,,,,,,,4,2,2,5,2,2,2,2,6,,,,,,,,,いじめのことは深堀りしないでほしい。助けてほしいけど、大人に聞かれるとなかなか言えないもの。それなら、友達に聞いてもらったほうが楽だと思う。こんな人は、世の中にたくさんいると思う。（今は、大丈夫だけど、昔こんな人をみた）
227,2,1,3,4,2,4,4,4,4,4,4,4,4,4,,1,,,,1,1,1,1,,,,,2,3,1,,1,3,7,,,,4,1,,,,,2,2,2,3,1,2,3,11,,,,,,,1,4,6,8,,,,,,,,,,1,2,4,1,,,,,,,,,,1,5,5,5,5,5,5,5,7,8,9,,,,,,,・宿題を毎日取り組み、提出するのではなく、期限内にある範囲までやるという方法にしてほしい。　・学校でシャーペンをつかえるようにしてほしい。または、ポーチの筆箱をありにしてほしい。
228,2,1,1,4,2,4,4,4,4,4,4,4,4,4,,1,,,,1,1,1,1,,,,,3,3,1,,1,,,,,,6,1,3,4,,,1,3,1,2,3,4,4,10,,,,,,友達との関係,1,14,,,,,,,,,,,犬,3,2,4,1,2,11,,,,,,,犬,4,5,2,5,5,2,5,5,2,4,5,7,8,9,,,,
229,1,1,2,4,3,4,4,4,3,4,4,3,1,4,,1,,,,1,2,1,1,,,,,1,4,2,,1,3,7,,,,2,3,,,,,2,2,2,3,2,3,2,11,,,,,,,1,4,,,,,,,,,,,,3,3,3,1,,,,,,,,,,2,4,3,3,2,3,5,5,4,5,9,,,,,,,より過ごしやすい狛江にしてほしい。そのために楽しいイベントとかを開いてほしい。
230,,1,2,4,2,,4,4,4,4,4,4,4,,,1,,,,1,3,1,1,,,,,,2,2,,1,3,5,7,,,4,1,,,,,1,1,1,1,1,4,1,11,,,,,,,4,8,13,,,,,,,,,,,1,2,4,2,5,10,,,,,,,,1,5,1,2,2,5,5,5,1,5,8,,,,,,,自分に自信がもてるような、カウンセラーさんなどがいてほしいです。
231,1,1,,,,,,,,2,,,,,,7,,,,7,3,2,1,,,,,1,4,1,,1,3,7,,,,5,1,,,,,2,2,1,2,2,2,2,11,,,,,,,1,6,,,,,,,,,,,,2,2,2,1,3,,,,,,,,,1,3,2,2,3,4,3,3,5,8,9,,,,,,,ボールをつかえる公園を増やしてほしい。
232,2,1,3,3,3,4,4,3,1,3,3,4,4,,,7,,,,1,5,1,1,2,,,,1,5,2,,7,,,,,,4,1,2,,,,2,1,1,2,1,2,1,11,,,,,,,1,2,4,7,8,,,,,,,,,1,2,4,1,2,4,5,,,,,,,1,5,3,4,1,2,3,4,1,3,4,5,6,7,8,9,,
233,2,1,2,3,,4,4,4,3,4,,,,,,1,,,,1,2,2,1,2,,,,3,4,2,,1,2,3,7,,,3,3,4,,,,2,2,2,2,2,2,2,11,,,,,,,1,2,4,,,,,,,,,,,3,2,4,1,9,,,,,,,,,2,3,5,5,3,3,5,5,3,4,5,,,,,,,小学生高学年が楽しめるイベントを増やしてほしいです。
234,2,1,1,4,4,4,4,4,4,4,4,4,4,4,,1,,,,1,3,1,1,2,,,,2,5,1,,1,3,7,,,,2,2,,,,,2,2,2,2,2,1,2,11,,,,,,,1,4,6,7,,,,,,,,,,3,3,4,1,2,4,,,,,,,,1,5,5,5,5,5,5,3,4,5,8,,,,,,,
235,1,1,1,4,2,4,4,3,3,4,4,4,4,4,,1,,,,1,3,1,2,,,,,2,5,2,,1,3,5,,,,3,1,4,,,,2,2,1,2,1,2,2,11,,,,,,,1,6,,,,,,,,,,,,1,2,4,1,3,,,,,,,,,1,5,5,3,5,5,5,5,3,4,5,,,,,,,狛江駅を大きな駅にし、たくさんの電車が停まってにぎやかな町にしたい。
236,2,1,1,3,3,3,4,3,3,4,4,4,4,4,,,,,,1,2,1,1,,,,,1,3,2,,1,3,5,7,,,2,1,,,,,2,3,1,1,1,1,2,11,,,,,,,1,4,,,,,,,,,,,,1,2,4,1,2,,,,,,,,,1,2,4,2,4,4,5,5,3,4,5,,,,,,,タコ公園を壊さないでほしい。
237,1,1,1,,,,,,,,,,,,ふたば,6,,,,12,5,1,1,,,,,1,4,2,,1,3,7,,,,3,3,,,,,1,1,1,2,1,1,1,3,,,,,,,1,4,,,,,,,,,,,,2,2,4,1,,,,,,,,,,1,3,1,5,2,5,5,3,1,2,4,,,,,,,サッカー、野球ができる公園。ゲームをもらえる。スマホがもらえる。
238,1,1,3,3,4,4,4,4,2,4,4,4,4,,,2,,,,1,4,1,1,2,5,,,1,3,1,,1,3,7,,,,3,5,,,,野外学習,4,3,2,4,4,3,1,11,,,,,,,1,4,,,,,,,,,,,,2,2,3,1,10,,,,,,,,,2,2,3,2,3,4,2,3,1,5,9,,,,,,,火を使えるプレーパークがほしい。
239,2,1,2,,,,,,,,,,,,,1,,,,1,2,1,1,2,,,,3,2,2,,1,,,,,,6,5,,,,教科書の補充問題,1,3,1,4,3,4,4,3,8,9,,,,,1,4,,,,,,,,,,,,1,2,4,1,,,,,,,,,,3,5,5,5,5,5,2,3,7,8,9,,,,,,,何でもないのであれば、「スケートリンク」を作ってほしいです!私は4年生くらいの時、「フィギアスケート」が大好きになって、最近は「スケート選手」になりたい!と思いました。でも、「スケート選手」はもっと早いうちから「スケート」をするし、私はとっても、稼いでいるわけでもないし、うちは周りの友達よりお金がないし、なので、通える距離に安い、家族か友達と遊べる「スケートリンク」があれば、嬉しいです。でも、とってもお金がかかって、市の負担になってしまうのであれば、あきらめるしかないと思います。「スケートリンク」がムリだったら、今夢をあきらめそうな子を救ってあげて下さい…!!!
240,2,1,2,4,3,3,4,4,4,4,4,4,4,4,,1,,,,1,3,1,1,2,,,,2,5,2,,1,3,7,,,,5,1,,,,,2,2,2,2,1,1,1,11,,,,,,,1,4,5,,,,,,,,,,,1,2,4,1,,,,,,,,,,,5,5,5,5,5,5,5,8,9,,,,,,,,狛江市の小学校同士で、交流して他校の友達を作るイベントを作ること。
241,1,1,1,,,,,,,,,,,,,3,,,,1,3,1,1,,,,,1,3,4,4,1,3,7,,,,4,2,,,,,1,2,1,1,3,3,3,11,,,,,,,6,15,,,,,,,,,,,,3,3,4,11,,,,,,,,,そもそも意見がない。,3,2,5,5,5,5,5,3,3,5,7,,,,,,,
242,2,1,1,,,,,,,,,,,,,1,,,,1,2,1,1,2,,,,3,4,2,,1,2,5,7,,,4,1,,,,,2,1,1,3,1,3,2,1,,,,,,,1,3,4,,,,,,,,,,,2,2,4,1,2,,,,,,,,,2,,2,,,,,,3,5,6,,,,,,,老若男女関係なく、楽しくできるスペース。
243,2,1,1,4,3,3,4,4,4,4,4,4,4,4,,,,,,4,5,1,1,2,3,,,1,4,3,,1,2,3,5,7,,4,1,4,,,,1,2,1,3,3,1,1,4,8,,,,,,1,2,4,5,6,8,,,,,,,,3,3,2,12,,,,,,,,,,2,2,1,3,2,1,1,1,1,2,3,4,5,6,7,8,9,みんなで嫌なことを言い合うところ。いじめで困っている人の話をきくところ、解決するところ。
244,2,1,2,,,,,,,,,,,,,1,,,,1,2,1,1,2,3,,,2,3,2,,1,3,5,,,,4,1,2,3,,,1,2,1,2,1,1,2,11,,,,,,,1,4,6,,,,,,,,,,,3,2,4,1,3,,,,,,,,,2,4,3,2,2,4,3,3,4,6,9,,,,,,,
245,2,1,2,4,2,4,4,4,3,4,4,4,4,4,,1,,,,1,2,1,1,2,,,,1,4,1,,1,3,5,7,,,4,1,3,,,,2,2,1,3,1,2,2,11,,,,,,,1,4,6,8,,,,,,,,,,1,2,4,1,3,,,,,,,,,1,3,3,2,3,4,3,3,4,8,9,,,,,,,
246,1,1,2,4,3,4,4,3,4,4,4,4,4,4,,9,,,,1,2,1,1,2,,,,2,4,2,,1,3,5,7,,,3,1,4,,,,2,1,1,1,1,3,1,11,,,,,,,1,2,4,5,6,,,,,,,,,1,2,2,1,3,,,,,,,,,1,1,1,1,3,5,5,5,4,5,8,,,,,,,大きい店をもっと増やしてほしい。前原公園のような大きい公園をもっと増やせ。
247,1,1,3,3,2,,,,,,,,,,,3,,,,1,2,1,1,2,3,,,1,4,1,,1,5,,,,,6,1,4,,,,4,1,1,1,1,1,1,11,,,,,,,1,2,3,4,5,6,7,8,9,10,11,13,,1,2,1,1,2,3,6,10,,,,,,1,5,5,5,1,1,5,1,1,2,3,,,,,,,自分にすべての金をくれ。
248,2,1,1,3,3,4,4,4,3,4,4,4,4,,,1,,,,1,3,1,1,2,,,,1,4,1,,1,3,7,,,,3,2,,,,,1,2,1,2,1,1,2,11,,,,,,,1,4,8,,,,,,,,,,,2,2,3,1,,,,,,,,,,2,3,2,5,2,3,2,3,3,4,8,,,,,,,・大きくてきれいな図書館をつくってほしい。　・ウォータースライダーがあるプールをつくってほしい。　・何か体験できる子ども向けのイベントをやってほしい。
249,1,1,2,4,3,4,4,3,3,4,4,4,4,4,,1,,,,1,5,1,1,2,,,,1,5,2,,1,3,7,,,,3,2,3,,,,1,1,1,1,1,1,1,11,,,,,,,1,2,3,4,6,7,8,,,,,,,2,3,4,1,2,,,,,,,,,1,5,5,5,5,3,3,3,4,5,9,,,,,,,
250,2,1,1,4,4,4,4,4,4,4,4,4,4,4,,1,,,,1,5,1,1,2,,,,1,5,1,,1,7,,,,,4,1,3,,,,1,1,1,2,1,1,1,11,,,,,,,1,4,6,8,,,,,,,,,,2,2,4,1,2,,,,,,,,,1,5,5,5,5,5,5,5,1,3,6,,,,,,,不審者をなくしてほしい。虐待したりする大人をなくしてほしい。
251,2,1,1,4,2,4,3,4,4,4,4,4,4,4,,1,,,,1,2,1,1,2,,,,1,4,1,,1,3,7,,,,6,1,,,,,1,1,1,3,1,1,1,11,,,,,,,1,2,4,5,8,,,,,,,,,1,2,4,1,5,,,,,,,,,1,5,5,5,5,5,2,3,3,4,8,,,,,,,夜（暗くなってから7時くらいまで）にパトロールの人や、明かりがない場所で見守りする人がほしい。
252,2,1,1,,,,,,,,,,,,,1,,,,1,1,1,1,2,,,,1,4,2,,1,2,3,5,,,4,1,3,,,,2,3,1,2,1,1,1,11,,,,,,,1,2,,,,,,,,,,,,3,2,4,1,2,3,5,6,,,,,,1,3,2,3,2,2,2,2,3,8,9,,,,,,,子どもも、大人も、みんな平等に楽しくできればいいです。
253,2,1,1,4,3,4,4,4,4,3,4,4,4,4,,1,,,,1,2,1,1,,,,,2,4,1,,1,3,7,,,,3,4,5,,,教科書やノートを見る。漢字をたくさん書く。,2,2,2,2,2,2,3,10,,,,,,父と母にたまに悪態をつかれる。父にたたかれる。,1,,,,,,,,,,,,,1,2,1,1,3,,,,,,,,,2,5,3,5,5,5,3,5,5,6,9,,,,,,,・家庭の環境調査　・どこまでが虐待なのかを説明
254,1,1,2,4,4,4,4,4,,2,4,4,4,4,,1,,,,1,5,1,1,2,,,,3,3,4,5,1,3,7,,,,3,3,,,,,4,4,2,4,3,4,4,3,9,,,,,,15,,,,,,,,,,,,,2,3,4,1,3,,,,,,,,,3,,,,,,,,,,,,,,,,,
255,2,1,3,4,3,4,4,4,2,4,3,4,4,,,7,,,,1,3,1,1,,,,,2,3,2,,3,,,,,,1,6,,,,,2,3,2,3,3,3,2,11,,,,,,,1,3,4,,,,,,,,,,,3,3,2,1,,,,,,,,,,2,4,3,5,4,2,3,4,4,5,8,,,,,,,・寒い日や暑い日に子供達だけで集まれる場所（図書館は静かにしないといけないので、ある程度声を出せる所）
256,1,1,3,4,3,4,4,3,2,4,4,4,4,4,,,,,,1,3,1,1,2,,,,3,4,2,,1,3,7,,,,5,1,4,,,,2,3,1,2,2,3,3,11,,,,,,,1,4,6,,,,,,,,,,,3,2,3,1,3,,,,,,,,,2,2,5,2,5,4,3,5,1,4,7,,,,,,,スポーツできる広場を作る。公園の遊具を楽しくする。（アスレチックを作る）
257,2,,2,4,4,4,4,4,2,4,3,4,4,,,7,,,,1,3,1,1,,,,,3,5,3,,1,,,,,,1,6,,,,,1,2,1,1,1,2,2,11,,,,,,,1,2,4,,,,,,,,,,,3,3,4,1,,,,,,,,,,1,5,5,5,5,5,5,5,1,4,8,,,,,,,コンビニエンスストアをもっと作ってほしい。スタバをつくってほしい。
258,1,1,1,,,,,,,,,,,,,1,,,,1,4,2,1,2,3,,,1,3,2,,1,2,3,,,,6,6,,,,,2,2,1,2,2,2,2,11,,,,,,,1,4,,,,,,,,,,,,3,2,,,,,,,,,,,,,5,5,5,5,5,5,5,3,,,,,,,,,
259,1,1,2,3,2,4,2,3,4,4,4,4,4,4,,1,,,,1,5,1,1,2,,,,1,4,2,,1,3,7,,,,3,6,,,,,2,3,1,1,2,3,4,1,6,,,,,,1,2,3,4,5,6,,,,,,,,3,3,4,1,2,3,,,,,,,,1,5,3,2,5,5,5,3,3,4,8,,,,,,,とにかく争いがないにぎやかな町
260,1,1,1,4,4,4,4,4,4,4,4,4,4,4,,1,,,,1,1,1,2,,,,,3,3,2,,1,,,,,,1,6,,,,,2,3,2,2,2,2,3,1,,,,,,,1,2,,,,,,,,,,,,2,3,4,1,3,,,,,,,,,2,5,5,5,3,5,3,3,4,8,,,,,,,,学校でブランコをしたい。秋休みがほしい。
261,2,1,1,4,3,4,1,3,3,4,4,4,4,4,,1,,,,1,1,1,1,2,,,,1,4,2,,1,,,,,,2,2,,,,,1,2,1,3,3,2,2,11,,,,,,,1,4,,,,,,,,,,,,2,2,4,1,,,,,,,,,,1,5,5,5,5,5,5,5,8,,,,,,,,,不審者のいない平和な町
262,1,1,3,,2,,,,2,,,,,,,7,,,,1,3,1,1,2,,,,1,5,2,,1,7,,,,,2,3,,,,,2,2,1,1,1,2,2,11,,,,,,,1,4,,,,,,,,,,,,3,3,4,1,,,,,,,,,,1,2,2,2,5,5,5,5,5,8,9,,,,,,,夜でもできる照明のあるボール遊びのできる公園。サッカーを習っているが冬はちょふ三中まで行かないといけないから。
263,2,,1,3,2,4,4,3,2,4,3,4,4,4,,1,,,,1,2,2,1,2,,,,1,4,2,,1,2,7,,,,3,6,,,,,2,1,1,2,2,2,2,8,,,,,,,1,4,6,7,8,9,,,,,,,,3,2,1,1,2,3,4,5,,,,,,1,5,2,5,3,4,2,2,3,5,9,,,,,,,友達と放課後せっかく遊ぶ約束をしても、遊ぶ場がない。公園があっても、インドアの友達は楽しめない。無料なインドア公共施設がもっとあったらいいなー。
264,3,1,,4,3,4,3,4,3,4,3,3,4,4,,1,,,,1,2,1,1,2,,,,,5,4,5,1,2,,,,,3,6,,,,,3,4,2,1,1,2,4,11,,,,,,,1,2,3,4,,,,,,,,,,3,3,4,1,2,3,,,,,,,,3,3,4,5,5,5,3,5,4,5,9,,,,,,,えだまめアイスをアレルギーの人でも食べれるようにしてください。給食費をタダにしてください（絶対）。給食をなるべくアレルギーのない食べ物でつくってください。まもってねー（笑）。
265,2,1,1,4,4,4,4,4,1,4,4,4,1,1,ペットホテルの手伝い,,,,,1,5,1,1,2,3,4,,2,5,2,,1,3,7,,,,2,3,,,,,1,1,1,2,1,1,1,11,,,,,,,1,2,3,4,6,7,8,9,10,13,14,,,3,3,4,1,2,3,4,11,,,,,近所の人と友達,1,5,5,5,5,5,5,5,4,,,,,,,,,ドッグラン
266,1,1,1,4,3,4,4,3,4,4,3,4,4,4,,1,,,,1,2,1,1,2,,,,1,4,2,,1,2,3,,,,3,4,,,,,1,1,1,1,1,1,1,11,,,,,,,1,2,5,6,,,,,,,,,,3,2,2,1,,,,,,,,,,1,5,5,5,5,5,5,5,3,8,,,,,,,,子どもが楽しめるようなイベントを開催すること。
267,2,1,3,3,3,4,4,4,2,4,3,4,4,4,,1,,,,1,1,1,1,2,,,,2,3,2,,1,2,3,7,,,3,1,2,,,,2,2,2,4,3,2,2,11,,,,,,,12,,,,,,,,,,,,,1,2,1,1,,,,,,,,,,2,3,4,4,5,3,4,3,3,7,9,,,,,,,駅のサーティーワンとミスタードーナツを復活させてほしいです。市内の学校に金をください。（例えば、姉は狛江第三中学校に通っているのですが、パソコンが使いづらいとのことでしたので、もう少し使いやすいパソコンにしていただけると助かります。）街灯をもう少し明るくするか、量を増やしていただいてほしいです。たくさんあってすみません。
