都道府県コード又は市区町村コード,地域コード,都道府県名,市区町村名,調査年月日,地域名,総人口,男性,女性,0-4歳の男性,0-4歳の女性,5-9歳の男性,5-9歳の女性,10-14歳の男性,10-14歳の女性,15-19歳の男性,15-19歳の女性,20-24歳の男性,20-24歳の女性,25-29歳の男性,25-29歳の女性,30-34歳の男性,30-34歳の女性,35-39歳の男性,35-39歳の女性,40-44歳の男性,40-44歳の女性,45-49歳の男性,45-49歳の女性,50-54歳の男性,50-54歳の女性,55-59歳の男性,55-59歳の女性,60-64歳の男性,60-64歳の女性,65-69歳の男性,65-69歳の女性,70-74歳の男性,70-74歳の女性,75-79歳の男性,75-79歳の女性,80-84歳の男性,80-84歳の女性,85歳以上の男性,85歳以上の女性,不詳者の男性,不詳者の女性,世帯数,備考,KEY_CODE
131105,251,東京都,目黒区,2016-12-01,原町一丁目,2986,1420,1566,37,55,29,32,22,22,48,43,88,88,129,144,146,166,133,119,110,119,112,120,108,109,96,77,73,72,76,61,64,94,78,88,43,70,28,87,0,0,1867,,13110015001
131105,252,東京都,目黒区,2016-12-01,原町二丁目,2371,1176,1195,47,31,49,30,43,44,52,47,67,62,58,61,86,93,75,79,99,101,121,106,85,73,72,72,55,62,84,71,70,68,50,55,35,72,28,68,0,0,1266,,13110015002
131105,261,東京都,目黒区,2016-12-01,洗足一丁目,2917,1402,1515,69,66,61,64,35,33,39,36,47,66,111,100,117,113,148,153,121,125,110,107,86,95,75,78,79,69,102,116,81,88,64,71,31,50,26,85,0,0,1570,,13110016001
131105,262,東京都,目黒区,2016-12-01,洗足二丁目,2860,1286,1574,62,39,36,36,24,38,40,48,72,71,93,99,105,111,108,120,106,144,106,134,97,113,73,101,71,74,87,108,66,85,56,87,39,68,45,98,0,0,1595,,13110016002
131105,271,東京都,目黒区,2016-12-01,南一丁目,2812,1371,1441,50,37,45,42,45,38,55,51,88,84,109,95,117,110,121,108,120,109,116,120,93,112,84,77,63,61,72,86,66,95,59,83,37,59,31,74,0,0,1502,,13110017001
131105,272,東京都,目黒区,2016-12-01,南二丁目,2369,1148,1221,57,46,54,56,39,52,47,51,71,70,80,84,86,90,94,88,113,115,100,97,84,92,79,59,62,75,57,55,36,39,24,45,29,54,36,53,0,0,1153,,13110017002
131105,273,東京都,目黒区,2016-12-01,南三丁目,2029,959,1070,32,25,45,31,26,34,46,35,64,53,82,98,75,109,69,73,77,89,90,95,72,86,73,60,45,45,45,58,37,54,29,35,27,40,25,50,0,0,1096,,13110017003
131105,281,東京都,目黒区,2016-12-01,碑文谷一丁目,3857,1869,1988,109,99,86,90,76,80,71,89,91,86,78,100,124,139,156,162,170,177,165,167,144,137,116,103,99,102,123,105,86,90,70,94,58,84,47,84,0,0,1799,,13110018001
131105,282,東京都,目黒区,2016-12-01,碑文谷二丁目,3201,1453,1748,90,91,83,64,58,57,77,48,75,145,56,86,101,130,137,147,128,166,151,156,133,138,83,87,64,76,66,85,48,78,47,73,32,53,24,68,0,0,1591,,13110018002
131105,283,東京都,目黒区,2016-12-01,碑文谷三丁目,2147,997,1150,60,35,42,50,55,53,63,53,48,66,56,72,65,74,93,101,82,109,79,97,81,94,79,68,42,42,37,54,34,64,33,33,30,40,18,45,0,0,1005,,13110018003
131105,284,東京都,目黒区,2016-12-01,碑文谷四丁目,2416,1108,1308,56,68,47,47,45,42,47,41,51,50,73,70,86,85,103,130,100,128,98,97,82,91,78,82,49,64,72,89,49,68,36,46,21,54,15,56,0,0,1227,,13110018004
131105,285,東京都,目黒区,2016-12-01,碑文谷五丁目,3437,1589,1848,65,60,51,35,56,56,63,66,82,119,117,162,161,190,154,169,162,163,145,178,116,128,92,98,67,67,94,99,65,77,43,65,31,50,25,66,0,0,2020,,13110018005
131105,286,東京都,目黒区,2016-12-01,碑文谷六丁目,1782,829,953,22,23,26,21,21,24,37,29,45,46,59,70,87,85,65,83,65,76,63,65,64,66,59,59,42,39,49,54,38,60,34,54,27,47,26,52,0,0,1010,,13110018006
131105,291,東京都,目黒区,2016-12-01,鷹番一丁目,2498,1122,1376,60,45,42,36,40,36,29,36,41,71,93,115,119,164,121,163,119,141,106,123,80,79,65,69,42,47,47,61,35,47,30,41,25,49,28,53,0,0,1466,,13110019001
