事業所規模,産業,和暦年,西暦年,年平均・月,前月末労働者数／計(人),前月末労働者数／男(人),前月末労働者数／女(人),本月中の増加労働者数／計(人),本月中の増加労働者数／男(人),本月中の増加労働者数／女(人),本月中の減少労働者数／計(人),本月中の減少労働者数／男(人),本月中の減少労働者数／女(人),本月末労働者数／計(人),本月末労働者数／男(人),本月末労働者数／女(人),パートタイム労働者比率／計(％),パートタイム労働者比率／男(％),パートタイム労働者比率／女(％)
30人以上,G 情報通信業,令和３,2021,年平均,765790,544312,221478,12332,7640,4692,11716,7926,3790,766406,544026,222380,3.6,1.4,8.8
30人以上,G 情報通信業,令和３,2021,1月,755556,538810,216746,7776,4591,3185,7597,4928,2669,755735,538473,217262,3.7,1.3,9.4
30人以上,G 情報通信業,令和３,2021,2月,755735,538269,217466,4696,2851,1845,5690,3363,2327,754741,537757,216984,3.8,1.5,9.5
30人以上,G 情報通信業,令和３,2021,3月,754741,541076,213665,5375,3040,2335,8883,5446,3437,751233,538670,212563,3.7,1.5,9.4
30人以上,G 情報通信業,令和３,2021,4月,751233,535643,215590,56387,35296,21091,27468,20709,6759,780152,550230,229922,3.5,1.3,8.9
30人以上,G 情報通信業,令和３,2021,5月,780152,549160,230992,8409,4749,3660,9967,5944,4023,778594,547965,230629,3.7,1.4,9.1
30人以上,G 情報通信業,令和３,2021,6月,778594,554171,224423,7183,4176,3007,8810,5336,3474,776967,553011,223956,3.2,1.1,8.4
30人以上,G 情報通信業,令和３,2021,7月,776967,553547,223420,13296,8990,4306,20833,15045,5788,769430,547492,221938,3.5,1.5,8.6
30人以上,G 情報通信業,令和３,2021,8月,769430,545676,223754,6874,4554,2320,8559,6131,2428,767745,544099,223646,3.4,1.5,7.9
30人以上,G 情報通信業,令和３,2021,9月,767745,547375,220370,6047,3513,2534,9266,5523,3743,764526,545365,219161,3.4,1.4,8.3
30人以上,G 情報通信業,令和３,2021,10月,764526,543661,220865,17462,10916,6546,12486,8960,3526,769502,545617,223885,3.6,1.6,8.5
30人以上,G 情報通信業,令和３,2021,11月,769502,542964,226538,7146,4360,2786,11354,7090,4264,765294,540234,225060,3.7,1.6,8.8
