産業分類階層,大分類,中分類,小分類,分類名,総数／事業所数（事業所）,総数／常用雇用者数／総数（人）,総数／常用雇用者数／男（人）,総数／常用雇用者数／女（人）,常用雇用者規模／０人／事業所数（事業所）,常用雇用者規模／０人／常用雇用者数／総数（人）,常用雇用者規模／０人／常用雇用者数／男（人）,常用雇用者規模／０人／常用雇用者数／女（人）,常用雇用者規模／１～４人／事業所数（事業所）,常用雇用者規模／１～４人／常用雇用者数／総数（人）,常用雇用者規模／１～４人／常用雇用者数／男（人）,常用雇用者規模／１～４人／常用雇用者数／女（人）,常用雇用者規模／５～９人／事業所数（事業所）,常用雇用者規模／５～９人／常用雇用者数／総数（人）,常用雇用者規模／５～９人／常用雇用者数／男（人）,常用雇用者規模／５～９人／常用雇用者数／女（人）,常用雇用者規模／10～19人／事業所数（事業所）,常用雇用者規模／10～19人／常用雇用者数／総数（人）,常用雇用者規模／10～19人／常用雇用者数／男（人）,常用雇用者規模／10～19人／常用雇用者数／女（人）,常用雇用者規模／20～29人／事業所数（事業所）,常用雇用者規模／20～29人／常用雇用者数／総数（人）,常用雇用者規模／20～29人／常用雇用者数／男（人）,常用雇用者規模／20～29人／常用雇用者数／女（人）,常用雇用者規模／30～49人／事業所数（事業所）,常用雇用者規模／30～49人／常用雇用者数／総数（人）,常用雇用者規模／30～49人／常用雇用者数／男（人）,常用雇用者規模／30～49人／常用雇用者数／女（人）,常用雇用者規模／50～99人／事業所数（事業所）,常用雇用者規模／50～99人／常用雇用者数／総数（人）,常用雇用者規模／50～99人／常用雇用者数／男（人）,常用雇用者規模／50～99人／常用雇用者数／女（人）,常用雇用者規模／100～199人／事業所数（事業所）,常用雇用者規模／100～199人／常用雇用者数／総数（人）,常用雇用者規模／100～199人／常用雇用者数／男（人）,常用雇用者規模／100～199人／常用雇用者数／女（人）,常用雇用者規模／200～299人／事業所数（事業所）,常用雇用者規模／200～299人／常用雇用者数／総数（人）,常用雇用者規模／200～299人／常用雇用者数／男（人）,常用雇用者規模／200～299人／常用雇用者数／女（人）,常用雇用者規模／300～499人／事業所数（事業所）,常用雇用者規模／300～499人／常用雇用者数／総数（人）,常用雇用者規模／300～499人／常用雇用者数／男（人）,常用雇用者規模／300～499人／常用雇用者数／女（人）,常用雇用者規模／500人以上／事業所数（事業所）,常用雇用者規模／500人以上／常用雇用者数／総数（人）,常用雇用者規模／500人以上／常用雇用者数／男（人）,常用雇用者規模／500人以上／常用雇用者数／女（人）
3,E,25,250,管理，補助的経済活動を行う事業所,71,2648,2091,557,17,-,-,-,26,46,24,22,6,37,25,12,3,37,26,11,5,121,77,44,3,123,102,21,4,266,202,64,2,333,276,57,4,996,745,251,-,-,-,-,1,689,614,75
3,E,25,251,ボイラ・原動機製造業,29,208,165,43,4,-,-,-,12,27,16,11,7,47,41,6,2,28,25,3,3,75,59,16,1,31,24,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,25,252,ポンプ・圧縮機器製造業,244,3286,2566,710,39,-,-,-,116,245,145,100,42,268,200,68,23,322,245,67,7,161,128,33,7,246,181,65,6,389,318,71,1,181,152,29,1,201,174,27,1,349,281,68,1,924,742,182
3,E,25,253,一般産業用機械・装置製造業,394,4413,3493,916,70,-,-,-,156,317,205,108,79,522,415,107,47,621,484,137,19,481,354,127,4,151,125,26,12,764,612,152,5,731,643,88,1,279,253,26,-,-,-,-,1,547,402,145
3,E,25,259,その他のはん用機械・同部分品製造業,644,5771,4698,1068,187,-,-,-,281,548,351,197,87,581,445,131,44,603,485,118,14,331,267,64,15,580,462,118,8,475,308,167,3,528,471,57,2,434,393,41,1,403,352,51,2,1288,1164,124
2,E,26,000,生産用機械器具製造業,3411,27778,22001,5720,893,-,-,-,1496,3042,1977,1058,472,3124,2391,719,303,4178,3361,807,99,2387,1929,432,77,2904,2447,457,42,2843,2332,511,16,2241,1789,452,7,1754,1423,331,2,916,803,113,4,4389,3549,840
3,E,26,260,管理，補助的経済活動を行う事業所,134,5443,4401,1042,29,-,-,-,59,118,59,59,21,139,93,46,7,88,56,32,3,72,58,14,2,79,61,18,6,395,297,98,2,214,151,63,1,224,171,53,1,432,371,61,3,3682,3084,598
3,E,26,261,農業用機械製造業（農業用器具を除く）,16,309,233,76,4,-,-,-,6,12,6,6,1,5,1,4,-,-,-,-,4,102,74,28,-,-,-,-,-,-,-,-,1,190,152,38,-,-,-,-,-,-,-,-,-,-,-,-
3,E,26,262,建設機械・鉱山機械製造業,104,1259,1054,196,18,-,-,-,43,98,69,29,18,118,79,30,8,112,91,21,3,74,67,7,9,363,321,42,3,171,152,19,1,120,106,14,1,203,169,34,-,-,-,-,-,-,-,-
3,E,26,263,繊維機械製造業,35,99,63,36,12,-,-,-,18,31,10,21,3,17,9,8,1,11,10,1,-,-,-,-,1,40,34,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,26,264,生活関連産業用機械製造業,420,2867,2337,530,94,-,-,-,193,403,273,130,70,455,364,91,35,497,417,80,10,237,201,36,9,335,291,44,6,424,361,63,2,287,240,47,1,229,190,39,-,-,-,-,-,-,-,-
3,E,26,265,基礎素材産業用機械製造業,256,2053,1590,458,57,-,-,-,108,233,151,82,45,288,211,72,26,351,292,59,8,184,144,40,3,113,98,15,6,433,347,86,3,451,347,104,-,-,-,-,-,-,-,-,-,-,-,-
3,E,26,266,金属加工機械製造業,1030,5011,3839,1145,320,-,-,-,466,933,599,333,122,807,617,190,68,931,760,171,31,746,600,120,15,571,460,111,4,261,212,49,2,240,150,90,2,522,441,81,-,-,-,-,-,-,-,-
3,E,26,267,半導体・フラットパネルディスプレイ製造装置製造業,306,4841,3779,1052,55,-,-,-,108,230,158,72,48,316,237,79,49,702,559,133,16,409,329,80,18,653,525,128,5,359,278,81,3,405,344,61,2,576,452,124,1,484,432,52,1,707,465,242
3,E,26,269,その他の生産用機械・同部分品製造業,1110,5896,4705,1185,304,-,-,-,495,984,652,326,144,979,780,199,109,1486,1176,310,24,563,456,107,20,750,657,93,12,800,685,115,2,334,299,35,-,-,-,-,-,-,-,-,-,-,-,-
2,E,27,000,業務用機械器具製造業,1873,28092,20990,7098,373,-,-,-,770,1629,946,679,284,1893,1316,577,183,2553,1848,705,98,2352,1666,686,76,2868,2072,796,42,2882,2275,607,22,2932,2380,552,8,1937,1477,460,9,3228,2409,819,8,5818,4601,1217
3,E,27,270,管理，補助的経済活動を行う事業所,95,4801,3819,982,18,-,-,-,32,69,31,38,12,77,54,23,7,101,67,34,6,142,106,36,6,226,192,34,5,356,289,67,2,226,188,38,2,466,327,139,2,672,556,116,3,2466,2009,457
3,E,27,271,事務用機械器具製造業,121,2579,1996,583,23,-,-,-,39,79,50,29,20,132,97,35,12,170,133,37,7,174,128,46,10,399,292,107,4,264,226,38,3,369,294,75,2,518,390,128,1,474,386,88,-,-,-,-
3,E,27,272,サービス用・娯楽用機械器具製造業,158,4083,3203,880,19,-,-,-,55,126,80,46,34,236,161,75,23,320,252,68,5,122,55,67,8,289,214,75,4,304,266,38,5,710,625,85,1,226,192,34,3,994,734,260,1,756,624,132
3,E,27,273,計量器・測定器・分析機器・試験機・測量機械器具・理化学機械器具製造業,771,8573,6554,2018,156,-,-,-,320,682,405,276,115,777,551,226,84,1194,884,310,42,1003,768,235,29,1089,840,249,13,841,666,175,8,998,813,185,1,234,177,57,1,431,354,77,2,1324,1096,228
3,E,27,274,医療用機械器具・医療用品製造業,517,6596,4399,2194,115,-,-,-,229,479,285,191,73,465,315,150,35,472,297,175,25,609,390,219,17,623,347,276,13,897,663,234,4,629,460,169,2,493,391,102,2,657,379,278,2,1272,872,400
3,E,27,275,光学機械器具・レンズ製造業,203,1398,969,429,41,-,-,-,91,186,89,97,29,200,133,67,21,277,198,79,12,273,197,76,6,242,187,55,3,220,165,55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,27,276,武器製造業,8,62,50,12,1,-,-,-,4,8,6,2,1,6,5,1,1,19,17,2,1,29,22,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,28,000,電子部品・デバイス・電子回路製造業,1038,16516,11817,4646,205,-,-,-,378,820,447,359,169,1099,682,412,123,1663,1073,576,54,1273,755,498,54,2076,1402,674,25,1718,1236,482,18,2378,1686,692,5,1186,824,362,3,1115,907,208,4,3188,2805,383
3,E,28,280,管理，補助的経済活動を行う事業所,77,1711,1306,402,20,-,-,-,23,53,26,24,10,65,47,18,9,120,73,47,3,72,54,18,3,103,84,19,5,324,210,114,2,252,194,58,-,-,-,-,2,722,618,104,-,-,-,-
3,E,28,281,電子デバイス製造業,50,1237,968,247,9,-,-,-,16,41,23,15,4,28,15,8,7,94,58,22,4,99,80,19,2,79,59,20,3,223,183,40,5,673,550,123,-,-,-,-,-,-,-,-,-,-,-,-
3,E,28,282,電子部品製造業,218,4545,3220,1325,35,-,-,-,74,160,85,75,46,300,157,143,28,354,198,156,12,283,141,142,12,438,297,141,3,213,168,45,4,510,356,154,2,420,198,222,-,-,-,-,2,1867,1620,247
3,E,28,283,記録メディア製造業,15,254,152,102,2,-,-,-,4,8,4,4,3,19,14,5,3,34,23,11,1,20,14,6,-,-,-,-,1,55,34,21,1,118,63,55,-,-,-,-,-,-,-,-,-,-,-,-
3,E,28,284,電子回路製造業,222,4137,3014,1100,32,-,-,-,72,161,89,69,39,257,151,106,28,401,307,94,20,477,270,187,16,612,414,198,8,548,400,148,4,605,411,194,2,467,391,76,-,-,-,-,1,609,581,28
3,E,28,285,ユニット部品製造業,37,467,352,115,5,-,-,-,14,29,14,15,4,27,18,9,6,84,59,25,3,68,58,10,4,159,135,24,-,-,-,-,1,100,68,32,-,-,-,-,-,-,-,-,-,-,-,-
3,E,28,289,その他の電子部品・デバイス・電子回路製造業,419,4165,2805,1355,102,-,-,-,175,368,206,157,63,403,280,123,42,576,355,221,11,254,138,116,17,685,413,272,5,355,241,114,1,120,44,76,1,299,235,64,1,393,289,104,1,712,604,108
2,E,29,000,電気機械器具製造業,1948,37944,29856,7939,375,-,-,-,781,1706,1051,640,309,2052,1375,657,221,3032,2141,867,88,2132,1536,596,78,2955,2196,759,52,3829,2894,845,16,2105,1780,325,10,2411,1913,498,9,3308,2791,517,9,14414,12179,2235
3,E,29,290,管理，補助的経済活動を行う事業所,110,4149,3087,972,22,-,-,-,39,80,44,36,14,87,55,32,12,156,119,37,4,92,68,24,4,142,100,42,6,459,302,67,1,137,78,59,4,996,678,318,2,718,572,146,2,1282,1071,211
3,E,29,291,発電用・送電用・配電用電気機械器具製造業,635,16377,13445,2924,132,-,-,-,252,554,341,211,101,674,492,176,65,886,647,239,30,742,553,189,23,873,687,186,24,1729,1335,394,4,461,416,45,-,-,-,-,-,-,-,-,4,10458,8974,1484
3,E,29,292,産業用電気機械器具製造業,212,3096,2210,877,41,-,-,-,81,179,107,72,35,239,150,80,24,351,229,122,12,297,193,104,12,453,338,115,4,321,157,164,-,-,-,-,1,221,189,32,1,445,426,19,1,590,421,169
3,E,29,293,民生用電気機械器具製造業,152,1688,1174,505,21,-,-,-,68,167,103,60,31,202,123,74,16,216,158,58,7,170,115,55,5,197,133,64,1,93,82,11,1,102,89,13,1,231,216,15,1,310,155,155,-,-,-,-
3,E,29,294,電球・電気照明器具製造業,222,1661,1096,552,42,-,-,-,99,209,121,85,37,253,160,93,25,359,203,146,9,217,148,69,6,239,144,95,3,226,182,44,1,158,138,20,-,-,-,-,-,-,-,-,-,-,-,-
3,E,29,295,電池製造業,19,178,127,51,2,-,-,-,9,19,12,7,4,24,16,8,3,37,26,11,-,-,-,-,-,-,-,-,1,98,73,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,29,296,電子応用装置製造業,233,6087,5009,1075,42,-,-,-,86,183,118,62,31,200,137,63,35,477,366,111,8,183,146,37,12,454,344,110,8,529,478,51,5,703,628,75,2,494,459,35,2,780,620,160,2,2084,1713,371
3,E,29,297,電気計測器製造業,278,3879,3099,777,53,-,-,-,112,238,164,71,40,273,177,96,30,394,310,84,16,377,280,97,15,561,428,133,4,299,237,62,4,544,431,113,2,469,371,98,2,724,701,23,-,-,-,-
3,E,29,299,その他の電気機械器具製造業,87,829,609,206,20,-,-,-,35,77,41,36,16,100,65,35,11,156,83,59,2,54,33,21,1,36,22,14,1,75,48,27,-,-,-,-,-,-,-,-,1,331,317,14,-,-,-,-
2,E,30,000,情報通信機械器具製造業,510,19911,16077,3812,63,-,-,-,170,383,242,136,64,437,312,118,76,1067,731,326,44,1065,790,275,30,1102,941,161,31,2143,1718,425,15,2150,1659,491,3,748,545,203,7,2756,2232,524,7,8060,6907,1153
3,E,30,300,管理，補助的経済活動を行う事業所,33,5090,4132,958,3,-,-,-,11,22,13,9,3,20,13,7,2,34,30,4,1,25,17,8,2,79,65,14,3,206,163,43,2,279,232,47,1,261,196,65,2,702,585,117,3,3462,2818,644
3,E,30,301,通信機械器具・同関連機械器具製造業,168,8108,6909,1180,15,-,-,-,44,107,70,35,20,142,110,25,32,445,324,111,18,443,342,101,16,590,508,82,15,1101,963,138,3,442,388,54,-,-,-,-,2,869,674,195,3,3969,3530,439
3,E,30,302,映像・音響機械器具製造業,157,3172,2303,866,23,-,-,-,65,141,81,57,16,111,79,32,24,334,184,150,11,272,175,97,4,140,115,25,7,450,295,155,4,550,335,215,1,224,193,31,1,321,287,34,1,629,559,70
3,E,30,303,電子計算機・同附属装置製造業,152,3541,2733,808,22,-,-,-,50,113,78,35,25,164,110,54,18,254,193,61,14,325,256,69,8,293,253,40,6,386,297,89,6,879,704,175,1,263,156,107,2,864,686,178,-,-,-,-
2,E,31,000,輸送用機械器具製造業,982,35220,29809,5390,216,-,-,-,378,798,512,286,138,926,697,221,102,1431,1084,334,51,1206,990,216,33,1297,1031,266,30,2154,1729,425,12,1591,1294,297,6,1452,1080,372,6,2317,2014,303,10,22048,19378,2670
3,E,31,310,管理，補助的経済活動を行う事業所,99,5889,4321,1568,20,-,-,-,42,80,44,36,6,37,32,5,9,131,87,44,7,155,128,27,1,30,24,6,5,363,256,107,2,270,188,82,1,249,62,187,2,770,632,138,4,3804,2868,936
3,E,31,311,自動車・同附属品製造業,555,19421,17130,2291,134,-,-,-,209,450,288,162,82,537,392,145,54,778,599,179,26,626,505,121,19,748,563,185,20,1467,1200,267,4,525,392,133,3,696,585,111,1,328,328,-,3,13266,12278,988
3,E,31,312,鉄道車両・同部分品製造業,108,1674,1450,224,20,-,-,-,38,80,58,22,14,99,84,15,15,188,155,33,10,241,220,21,5,186,167,19,3,193,156,37,2,306,291,15,-,-,-,-,1,381,319,62,-,-,-,-
3,E,31,313,船舶製造・修理業，舶用機関製造業,52,648,532,108,12,-,-,-,21,40,27,13,12,87,69,10,4,57,43,14,1,20,16,4,1,45,39,6,-,-,-,-,-,-,-,-,-,-,-,-,1,399,338,61,-,-,-,-
3,E,31,314,航空機・同附属品製造業,71,7037,5960,1077,11,-,-,-,23,46,32,14,3,20,13,7,13,175,119,56,5,119,91,28,5,195,159,36,1,68,61,7,4,490,423,67,2,507,433,74,1,439,397,42,3,4978,4232,746
3,E,31,315,産業用運搬車両・同部分品・附属品製造業,28,236,188,48,4,-,-,-,13,30,20,10,5,35,31,4,2,33,28,5,2,45,30,15,2,93,79,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,31,319,その他の輸送用機械器具製造業,69,315,228,74,15,-,-,-,32,72,43,29,16,111,76,35,5,69,53,3,-,-,-,-,-,-,-,-,1,63,56,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,32,000,その他の製造業,3643,21405,13384,7874,1107,-,-,-,1648,3267,1821,1422,423,2791,1708,1029,259,3464,2015,1403,84,1988,1233,732,66,2481,1573,908,28,1991,1270,721,22,2878,2017,861,4,890,597,293,-,-,-,-,2,1655,1150,505
3,E,32,320,管理，補助的経済活動を行う事業所,65,847,598,239,18,-,-,-,24,44,21,23,8,55,27,28,6,72,42,20,2,47,32,15,2,71,49,22,1,52,38,14,4,506,389,117,-,-,-,-,-,-,-,-,-,-,-,-
3,E,32,321,貴金属・宝石製品製造業,524,1996,1162,826,204,-,-,-,224,412,225,185,53,352,222,124,27,354,174,180,8,193,86,107,4,137,73,64,1,71,45,26,3,477,337,140,-,-,-,-,-,-,-,-,-,-,-,-
3,E,32,322,装身具・装飾品・ボタン・同関連品製造業（貴金属・宝石製を除く）,499,1801,789,1002,189,-,-,-,217,412,177,233,53,346,137,201,25,327,118,209,10,235,103,132,2,72,21,51,1,55,38,17,1,106,70,36,1,248,125,123,-,-,-,-,-,-,-,-
3,E,32,323,時計・同部分品製造業,34,444,328,116,6,-,-,-,14,28,15,13,4,23,12,11,5,67,48,19,1,25,4,21,1,30,25,5,2,153,114,39,1,118,110,8,-,-,-,-,-,-,-,-,-,-,-,-
3,E,32,324,楽器製造業,78,308,227,81,33,-,-,-,30,68,45,23,7,39,24,15,6,88,64,24,1,26,26,-,-,-,-,-,1,87,68,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,32,325,がん具・運動用具製造業,399,4935,3152,1748,91,-,-,-,186,392,206,181,45,306,191,108,36,475,246,229,14,319,188,108,15,542,348,194,3,206,135,71,6,821,565,256,1,219,123,96,-,-,-,-,2,1655,1150,505
3,E,32,326,ペン・鉛筆・絵画用品・その他の事務用品製造業,206,1693,917,776,45,-,-,-,84,184,89,95,36,237,122,115,21,263,146,117,8,195,108,87,5,194,128,66,6,462,216,246,1,158,108,50,-,-,-,-,-,-,-,-,-,-,-,-
3,E,32,327,漆器製造業,33,52,29,23,17,-,-,-,13,25,13,12,2,13,10,3,1,14,6,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,32,328,畳等生活雑貨製品製造業,283,708,354,354,111,-,-,-,138,268,151,117,12,79,45,34,17,222,103,119,3,70,26,44,2,69,29,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,32,329,他に分類されない製造業,1522,8621,5828,2709,393,-,-,-,718,1434,879,540,203,1341,918,390,115,1582,1068,478,37,878,660,218,35,1366,900,466,13,905,616,289,6,692,438,254,2,423,349,74,-,-,-,-,-,-,-,-
1,F,00,000,電気・ガス・熱供給・水道業,397,21436,18412,2859,25,-,-,-,88,175,126,40,61,424,383,28,86,1148,1084,42,19,436,387,49,24,879,743,98,59,5288,4517,688,14,1911,1669,242,11,2492,2045,447,5,1862,1701,161,5,6821,5757,1064
2,F,33,000,電気業,125,9750,8464,1126,9,-,-,-,21,41,22,15,9,60,43,4,8,107,75,10,8,186,158,28,6,220,155,27,50,4694,3997,614,6,870,793,77,5,1206,982,224,1,309,300,9,2,2057,1939,118
3,F,33,330,管理，補助的経済活動を行う事業所,71,7902,7061,803,2,-,-,-,7,11,8,3,1,6,6,-,2,28,26,2,4,91,82,9,3,117,73,6,42,4044,3535,509,4,614,567,47,4,934,825,109,-,-,-,-,2,2057,1939,118
3,F,33,331,電気業,54,1848,1403,323,7,-,-,-,14,30,14,12,8,54,37,4,6,79,49,8,4,95,76,19,3,103,82,21,8,650,462,105,2,256,226,30,1,272,157,115,1,309,300,9,-,-,-,-
2,F,34,000,ガス業,35,7094,5822,1272,1,-,-,-,4,7,7,-,2,15,11,4,5,65,52,13,2,47,37,10,4,152,124,28,8,515,451,64,1,148,128,20,3,630,533,97,2,751,661,90,3,4764,3818,946
3,F,34,340,管理，補助的経済活動を行う事業所,27,6842,5613,1229,1,-,-,-,2,4,4,-,1,6,5,1,4,53,41,12,2,47,37,10,3,117,91,26,5,322,295,27,1,148,128,20,3,630,533,97,2,751,661,90,3,4764,3818,946
3,F,34,341,ガス業,8,252,209,43,-,-,-,-,2,3,3,-,1,9,6,3,1,12,11,1,-,-,-,-,1,35,33,2,3,193,156,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,F,35,000,熱供給業,87,791,691,100,12,-,-,-,36,70,54,16,18,123,111,12,15,204,194,10,2,44,44,-,2,70,59,11,-,-,-,-,2,280,229,51,-,-,-,-,-,-,-,-,-,-,-,-
3,F,35,350,管理，補助的経済活動を行う事業所,7,350,286,64,-,-,-,-,1,1,-,1,1,8,7,1,2,26,23,3,-,-,-,-,1,35,27,8,-,-,-,-,2,280,229,51,-,-,-,-,-,-,-,-,-,-,-,-
3,F,35,351,熱供給業,80,441,405,36,12,-,-,-,35,69,54,15,17,115,104,11,13,178,171,7,2,44,44,-,1,35,32,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,F,36,000,水道業,150,3801,3435,361,3,-,-,-,27,57,43,9,32,226,218,8,58,772,763,9,7,159,148,11,12,437,405,32,1,79,69,10,5,613,519,94,3,656,530,126,2,802,740,62,-,-,-,-
3,F,36,360,管理，補助的経済活動を行う事業所,13,1077,930,147,-,-,-,-,3,7,6,1,1,9,9,-,4,51,51,-,-,-,-,-,-,-,-,-,-,-,-,-,2,262,243,19,2,416,312,104,1,332,309,23,-,-,-,-
3,F,36,361,上水道業,43,947,882,65,1,-,-,-,9,17,12,5,11,74,72,2,12,170,166,4,1,22,22,-,6,219,199,20,1,79,69,10,1,126,124,2,1,240,218,22,-,-,-,-,-,-,-,-
3,F,36,362,工業用水道業,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,F,36,363,下水道業,94,1777,1623,149,2,-,-,-,15,33,25,3,20,143,137,6,42,551,546,5,6,137,126,11,6,218,206,12,-,-,-,-,2,225,152,73,-,-,-,-,1,470,431,39,-,-,-,-
1,G,00,000,情報通信業,21935,807707,592329,209170,3266,-,-,-,6805,15025,8754,5554,3377,22400,14772,6863,2929,39932,27818,11222,1458,34935,25226,9322,1405,53581,38748,14140,1299,92122,66721,24792,737,102976,74988,27156,212,50562,37392,12668,205,79144,57964,21180,242,317030,239946,76273
2,G,37,000,通信業,481,62258,45761,16333,39,-,-,-,135,296,191,94,76,494,343,140,63,871,602,226,34,803,595,208,36,1423,1072,302,32,2176,1655,471,28,3831,2966,865,10,2256,1528,728,9,3522,2637,885,19,46586,34172,12414
3,G,37,370,管理，補助的経済活動を行う事業所,3,133,109,24,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,133,109,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,G,37,371,固定電気通信業,245,27748,21141,6548,22,-,-,-,66,155,108,42,36,236,177,48,36,506,348,115,17,403,314,89,18,679,508,171,14,980,715,265,15,2069,1656,413,6,1342,945,397,4,1658,1225,433,11,19720,15145,4575
3,G,37,372,移動電気通信業,55,30038,21171,8817,3,-,-,-,14,29,22,7,10,68,40,28,2,30,18,12,-,-,-,-,4,159,125,34,4,259,181,28,4,587,406,181,2,480,244,236,4,1560,1108,452,8,26866,19027,7839
3,G,37,373,電気通信に附帯するサービス業,178,4339,3340,944,13,-,-,-,55,112,61,45,30,190,126,64,25,335,236,99,17,400,281,119,14,585,439,97,12,804,650,154,9,1175,904,271,2,434,339,95,1,304,304,-,-,-,-,-
2,G,38,000,放送業,307,21805,15835,5963,14,-,-,-,71,167,101,66,59,413,291,115,64,837,642,195,19,464,353,111,19,733,525,208,32,2226,1565,661,14,1827,1210,617,4,963,809,154,3,1072,805,267,8,13103,9534,3569
3,G,38,380,管理，補助的経済活動を行う事業所,2,27,22,5,-,-,-,-,-,-,-,-,-,-,-,-,2,27,22,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,G,38,381,公共放送業（有線放送業を除く）,2,5355,3780,1575,-,-,-,-,-,-,-,-,-,-,-,-,1,15,13,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5340,3767,1573
3,G,38,382,民間放送業（有線放送業を除く）,185,10110,7761,2342,13,-,-,-,46,95,52,43,24,179,127,45,49,622,485,137,10,244,179,65,12,464,323,141,18,1269,924,345,6,896,599,297,1,221,221,-,1,352,352,-,5,5768,4499,1269
3,G,38,383,有線放送業,118,6313,4272,2041,1,-,-,-,25,72,49,23,35,234,164,70,12,173,122,51,9,220,174,46,7,269,202,67,14,957,641,316,8,931,611,320,3,742,588,154,2,720,453,267,2,1995,1268,727
2,G,39,000,情報サービス業,11050,523477,401890,117107,1383,-,-,-,2850,6311,4031,1919,1630,10901,7835,2679,1596,22035,16638,4911,897,21534,16707,4642,897,34196,26164,7530,838,59571,45302,13855,487,68144,51891,15421,150,35771,27115,8154,145,56035,42688,13347,177,208979,163519,44649
3,G,39,390,管理，補助的経済活動を行う事業所,61,672,459,213,13,-,-,-,27,45,25,20,4,26,21,5,6,83,62,21,6,151,92,59,3,123,97,26,1,96,57,39,1,148,105,43,-,-,-,-,-,-,-,-,-,-,-,-
3,G,39,391,ソフトウェア業,8950,442875,350919,88232,1032,-,-,-,2218,4993,3332,1324,1333,8987,6755,1898,1371,18951,14781,3741,755,18093,14554,3404,743,28306,22474,5400,704,49961,39128,10419,401,56327,44325,11170,126,29889,24043,5846,121,46938,37352,9586,146,180430,144175,35444
3,G,39,392,情報処理・提供サービス業,2039,79930,50512,28662,338,-,-,-,605,1273,674,575,293,1888,1059,776,219,3001,1795,1149,136,3290,2061,1179,151,5767,3593,2104,133,9514,6117,3397,85,11669,7461,4208,24,5882,3072,2308,24,9097,5336,3761,31,28549,19344,9205
2,G,40,000,インターネット附随サービス業,2325,70496,45857,23890,380,-,-,-,796,1856,1051,631,354,2355,1380,817,295,3976,2427,1335,126,2991,1906,972,122,4592,2985,1577,130,9119,5987,3072,71,10372,6867,3505,18,4366,3261,1105,18,7079,4606,2473,15,23790,15387,8403
3,G,40,400,管理，補助的経済活動を行う事業所,5,43,29,14,2,-,-,-,2,4,3,1,-,-,-,-,-,-,-,-,-,-,-,-,1,39,26,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,G,40,401,インターネット附随サービス業,2320,70453,45828,23876,378,-,-,-,794,1852,1048,630,354,2355,1380,817,295,3976,2427,1335,126,2991,1906,972,121,4553,2959,1564,130,9119,5987,3072,71,10372,6867,3505,18,4366,3261,1105,18,7079,4606,2473,15,23790,15387,8403
2,G,41,000,映像・音声・文字情報制作業,7740,128472,82276,45388,1446,-,-,-,2939,6362,3355,2836,1251,8182,4899,3081,911,12213,7509,4555,380,9099,5624,3386,331,12637,8002,4523,264,18826,12058,6683,136,18655,11954,6701,30,7206,4679,2527,30,11436,7228,4208,22,23856,16968,6888
3,G,41,410,管理，補助的経済活動を行う事業所,27,210,122,88,10,-,-,-,5,6,2,4,4,25,19,6,3,42,28,14,4,100,50,50,1,37,23,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,G,41,411,映像情報制作・配給業,2158,37731,25573,11707,371,-,-,-,712,1565,879,609,345,2276,1447,699,290,3908,2515,1301,142,3377,2248,1089,117,4406,2882,1412,108,7817,5343,2474,54,7284,5045,2239,6,1351,923,428,10,3688,2731,957,3,2059,1560,499
3,G,41,412,音声情報制作業,398,4102,2538,1545,115,-,-,-,175,340,196,132,54,348,214,127,26,334,210,124,8,201,114,87,4,138,94,44,6,447,242,205,6,804,540,264,1,286,210,76,2,703,396,307,1,501,322,179
3,G,41,413,新聞業,336,18000,13759,4237,28,-,-,-,113,253,155,94,71,485,330,155,51,693,473,220,23,549,349,200,14,539,394,145,15,1032,686,346,8,1019,742,277,4,1025,852,173,2,821,703,118,7,11584,9075,2509
