全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英語,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),設置位置,緯度,経度,高度の種別,高度の値,男性トイレ総数,男性トイレ数（小便器）,男性トイレ数（和式）,男性トイレ数（洋式）,女性トイレ総数,女性トイレ数（和式）,女性トイレ数（洋式）,男女共用トイレ総数,男女共用トイレ数（和式）,男女共用トイレ数（洋式）,バリアフリートイレ数,車椅子使用者用トイレ有無,乳幼児用設備設置トイレ有無,オストメイト設置トイレ有無,利用開始時間,利用終了時間,利用可能時間特記事項,画像,画像_ライセンス,備考
132098,,町田市,セブン-イレブン町田常盤店,,,132098,,東京都町田市常盤町3163-4,東京都,町田市,常盤町,Apr-63,,,35.58669695,139.3933688,,,,,,,,,,,,,,有,,無,0:00,23:59,定休日：なし,,,
132098,,町田市,ライフテクトヤマグチ　根岸店,,,132098,,東京都町田市根岸1-13-5,東京都,町田市,根岸,1-13-5,,,35.57270363,139.4138692,,,,,,,,,,,,,,有,,有,10:00,18:00,定休日：水,,,
132098,,町田市,ミニストップ町田根岸店,,,132098,,東京都町田市根岸町1001-26,東京都,町田市,根岸町,1001-26,,,35.5762016,139.4082566,,,,,,,,,,,,,,無,,無,0:00,23:59,,,,
132098,,町田市,セブン-イレブン町田山崎新道店,,,132098,,東京都町田市山崎町1936-1,東京都,町田市,山崎町,Jan-36,,,35.57107081,139.4286695,,,,,,,,,,,,,,有,,無,0:00,23:59,,,,
132098,,町田市,㈱三和玉川学園店,,,132098,,東京都町田市玉川学園2-11-26,東京都,町田市,玉川学園,2002/11/26,,,35.5627355,139.4622013,,,,,,,,,,,,,,有,,無,9:00,23:00,,,,
132098,,町田市,セブン-イレブン玉川学園2丁目店,,,132098,,東京都町田市玉川学園2-8-24,東京都,町田市,玉川学園,2002/8/24,,,35.56180236,139.4617751,,,,,,,,,,,,,,有,,無,0:00,23:59,,,,
132098,,町田市,ファミリーマート町田中町二丁目店,,,132098,,東京都町田市中町2-5-4,東京都,町田市,中町,2002/5/4,,,35.55197154,139.4403443,,,,,,,,,,,,,,無,,無,0:00,23:59,,,,
132098,,町田市,ファミリーマート町田駅南口店,,,132098,,東京都町田市原町田1-3-9,東京都,町田市,原町田,2001/3/9,,,35.54064775,139.4467161,,,,,,,,,,,,,,無,,無,0:00,23:59,,,,
132098,,町田市,ファミリーマート版画美術館入口店,,,132098,,東京都町田市原町田3-15-1,東京都,町田市,原町田,3-15-1,,,35.54279205,139.452826,,,,,,,,,,,,,,有,,無,0:00,23:59,,,,
132098,,町田市,セブン-イレブン原町田４丁目店,,,132098,,東京都町田市原町田4-11-18,東京都,町田市,原町田,2004/11/18,,,35.542633,139.4488713,,,,,,,,,,,,,,有,,無,7:00,17:00,,,,
132098,,町田市,はじめの一歩,,,132098,,東京都町田市本町田2507-4ハ16-106,東京都,町田市,本町田,7-Apr,ハ16-106,,35.56719011,139.4359601,,,,,,,,,,,,,,有,,無,10:30,16:30,定休日：土・日・祝,,,
132098,,町田市,デイサービス　みずきの家,,,132098,,東京都町田市本町田2797,東京都,町田市,本町田,2797,,,35.56642917,139.4456027,,,,,,,,,,,,,,有,,有,9:00,18:00,定休日：日、年末年始,,,
132098,,町田市,セブン-イレブン町田南大谷店,,,132098,,東京都町田市南大谷4-11-1,東京都,町田市,南大谷,2004/11/1,,,35.55561329,139.4565914,,,,,,,,,,,,,,有,,無,0:00,23:59,定休日：なし,,,
132098,,町田市,ローソン町田森野一丁目店,,,132098,,東京都町田市森野1-13-1,東京都,町田市,森野,1-13-1,,,35.54397812,139.4436756,,,,,,,,,,,,,,無,,無,7:00,21:00,定休日：なし,,,
132098,,町田市,セブン-イレブン町田大蔵店,,,132098,,東京都町田市大蔵町560-1,東京都,町田市,大蔵町,560-1,,,35.58851952,139.4594194,,,,,,,,,,,,,,有,,無,0:00,23:59,,,,
132098,,町田市,ローソン町田金井町店,,,132098,,東京都町田市金井2-19-14,東京都,町田市,金井,2-19-14,,,35.57317163,139.4585832,,,,,,,,,,,,,,無,,無,0:00,23:59,無休,,,
132098,,町田市,セブン-イレブン町田真光寺店,,,132098,,東京都町田市真光寺3-21-20,東京都,町田市,真光寺,3-21-20,,,35.59960989,139.4662552,,,,,,,,,,,,,,有,,無,0:00,23:59,,,,
132098,,町田市,ファミリーマートみなとや鶴川店,,,132098,,東京都町田市鶴川2-10-7,東京都,町田市,鶴川,2002/10/7,,,35.58851885,139.4721652,,,,,,,,,,,,,,無,,無,0:00,23:59,,,,
132098,,町田市,鶴川あんしん相談室,,,132098,,東京都町田市鶴川6-7-2第103号室,東京都,町田市,鶴川,2006/7/2,第103号室,,35.59062036,139.4691373,,,,,,,,,,,,,,有,,無,8:30,17:00,定休日：日・祝,,,
132098,,町田市,セブン-イレブン町田鶴川駅前店,,,132098,,東京都町田市能ヶ谷1-4-6,東京都,町田市,能ヶ谷,2001/4/6,,,35.58307154,139.4795733,,,,,,,,,,,,,,無,,無,0:00,23:59,,,,
132098,,町田市,セブン-イレブン町田鶴川駅北口店,,,132098,,東京都町田市能ヶ谷1-8-1神蔵ビル１階,東京都,町田市,能ヶ谷,2001/8/1,神蔵ビル１階,,35.58432672,139.4831767,,,,,,,,,,,,,,無,,無,0:00,23:59,,,,
132098,,町田市,リレイス鶴川,,,132098,,東京都町田市能ヶ谷3-2-1,東京都,町田市,能ヶ谷,2003/2/1,,,35.58466744,139.486095,,,,,,,,,,,,,,有,,無,9:00,17:00,,,,
132098,,町田市,ローソン町田芝溝街道店,,,132098,,東京都町田市野津田町1100-1,東京都,町田市,野津田町,1100-1,,,35.58906295,139.45635,,,,,,,,,,,,,,無,,無,0:00,23:59,,,,
