№,採取日（購入日）Ｓａｍｐｌｉｎｇｄａｔｅ,結果判明日Ｒｅｓｕｌｔｓｏｂｔａｉｎｅｄｄａｔｅ,生産者・製造者・販売者・輸入者等の別Ｆａｒｍｅｒ／Ｍａｎｕｆａｃｔｕｒｅｒ／Ｓｅｌｌｅｒ／Ｉｍｐｏｒｔｅｒ,左記の所在地Ｌｏｃａｔｉｏｎ,品目,食品分類Ｃｌａｓｓｉｆｉｃａｔｉｏｎ,食品カテゴリ※１Ｃａｔｅｇｏｒｙ,検査機器Ｉｎｓｐｅｃｔｉｏｎｉｎｓｔｒｕｍｅｎｔ,検査結果（単位：Ｂｑ／Ｋｇ）放射性セシウムセシウム－１３４Ｃｅｓｉｕｍ－１３４,検査結果（単位：Ｂｑ／Ｋｇ）放射性セシウムセシウム－１３７Ｃｅｓｉｕｍ－１３７,検査結果（単位：Ｂｑ／Ｋｇ）放射性セシウムセシウム合計※２Ｃｅｓｉｕｍｔｏｔａｌ,備考Ｎｏｔｅｓ
１０８４,2015/2/12,2015/2/13,選別包装者Ｇｒａｄｉｎｇｐａｃｋａｇｅｒ,神奈川県Ｋａｎａｇａｗａ,鶏卵,鶏卵Ｐｏｕｌｔｒｙｅｇｇｓ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
１０８５,2015/2/12,2015/2/13,販売者Ｓｅｌｌｅｒ,神奈川県Ｋａｎａｇａｗａ,カレー,容器包装詰加圧加熱殺菌食品Ｆｏｏｄｐａｃｋｅｄｉｎｃｏｎｔａｉｎｅｒｓａｎｄｓｔｅｒｉｌｉｚｅｄｂｙｐｒｅｓｓｕｒｉｚａｔｉｏｎａｎｄｈｅａｔｉｎｇ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
１０８６,2015/2/12,2015/2/13,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,長野県Ｎａｇａｎｏ,チョコレートスプレッドＢ,その他の菓子・製菓材料Ｏｔｈｅｒｃｏｎｆｅｃｔｉｏｎ，ｃｏｎｆｅｃｔｉｏｎａｒｙｍａｔｅｒｉａｌ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜８）ＮＤ,検出せず（＜７）ＮＤ,検出せず（＜２５）ＮＤ,
１０８７,2015/2/12,2015/2/13,販売者Ｓｅｌｌｅｒ,神奈川県Ｋａｎａｇａｗａ,分離液状ドレッシング,ドレッシングＤｒｅｓｓｉｎｇ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
１０８８,2015/2/12,2015/2/13,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,千葉県Ｃｈｉｂａ,マシュマロ,その他の菓子・製菓材料Ｏｔｈｅｒｃｏｎｆｅｃｔｉｏｎ，ｃｏｎｆｅｃｔｉｏｎａｒｙｍａｔｅｒｉａｌ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１３）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
１０８９,2015/2/12,2015/2/13,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,神奈川県Ｋａｎａｇａｗａ,焼肉のたれ,たれＬｉｑｕｉｄｓｅａｓｏｎｉｎｇ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜９）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
１０９０,2015/2/12,2015/2/13,加工者Ｐｒｏｃｅｓｓｏｒ,東京都Ｔｏｋｙｏ,豚肉,豚肉Ｐｏｒｋ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
１０９１,2015/2/12,2015/2/13,加工者Ｐｒｏｃｅｓｓｏｒ,東京都Ｔｏｋｙｏ,鶏肉,食鳥肉Ｐｏｕｌｔｒｙｍｅａｔ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
１０９２,2015/2/18,2015/2/25,生産・出荷者Ｆａｒｍｅｒ,宮城県Ｍｉｙａｇｉ,青大豆,大豆（乾燥）Ｄｒｉｅｄｓｏｙｂｅａｎ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
１０９３,2015/2/18,2015/2/25,生産・出荷者Ｆａｒｍｅｒ,山形県Ｙａｍａｇａｔａ,青大豆,大豆（乾燥）Ｄｒｉｅｄｓｏｙｂｅａｎ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
１０９４,2015/2/18,2015/2/25,生産・出荷者Ｆａｒｍｅｒ,長野県Ｎａｇａｎｏ,青大豆,大豆（乾燥）Ｄｒｉｅｄｓｏｙｂｅａｎ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１０）ＮＤ,検出せず（＜２５）ＮＤ,
１０９５,2015/2/18,2015/2/25,生産・出荷者Ｆａｒｍｅｒ,青森県Ａｏｍｏｒｉ,青大豆,大豆（乾燥）Ｄｒｉｅｄｓｏｙｂｅａｎ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１１）ＮＤ,検出せず（＜１０）ＮＤ,検出せず（＜２５）ＮＤ,
１０９６,2015/2/18,2015/2/25,生産・出荷者Ｆａｒｍｅｒ,群馬県Ｇｕｎｍａ,紅花インゲン豆,その他の豆類乾燥品Ｏｔｈｅｒｄｒｉｅｄｂｅａｎ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１３）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
１０９７,2015/2/18,2015/2/25,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,栃木県Ｔｏｃｈｉｇｉ,牛乳,牛乳Ｃｏｗ’ｓｍｉｌｋ,牛乳Ｍｉｌｋ,Ｇｅ,検出せず（＜０．５）ＮＤ,検出せず（＜０．７）ＮＤ,検出せず（＜１．２）ＮＤ,
１０９８,2015/2/18,2015/2/25,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,千葉県Ｃｈｉｂａ,乳飲料,乳飲料Ｍｉｌｋｄｒｉｎｋ,牛乳Ｍｉｌｋ,Ｇｅ,検出せず（＜０．７）ＮＤ,検出せず（＜０．７）ＮＤ,検出せず（＜１．４）ＮＤ,
１０９９,2015/2/18,2015/2/25,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,東京都Ｔｏｋｙｏ,乳飲料,乳飲料Ｍｉｌｋｄｒｉｎｋ,牛乳Ｍｉｌｋ,Ｇｅ,検出せず（＜０．８）ＮＤ,検出せず（＜０．４）ＮＤ,検出せず（＜１．２）ＮＤ,
１１００,2015/2/18,2015/2/25,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,茨城県Ｉｂａｒａｋｉ,乳飲料,乳飲料Ｍｉｌｋｄｒｉｎｋ,牛乳Ｍｉｌｋ,Ｇｅ,検出せず（＜０．８）ＮＤ,検出せず（＜０．７）ＮＤ,検出せず（＜１．５）ＮＤ,
１１０１,2015/2/18,2015/2/25,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,栃木県Ｔｏｃｈｉｇｉ,乳飲料,乳飲料Ｍｉｌｋｄｒｉｎｋ,牛乳Ｍｉｌｋ,Ｇｅ,検出せず（＜０．９）ＮＤ,検出せず（＜０．８）ＮＤ,検出せず（＜１．７）ＮＤ,
１１０２,2015/2/18,2015/2/25,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,神奈川県Ｋａｎａｇａｗａ,牛乳,牛乳Ｃｏｗ’ｓｍｉｌｋ,牛乳Ｍｉｌｋ,Ｇｅ,検出せず（＜０．７）ＮＤ,検出せず（＜１．０）ＮＤ,検出せず（＜１．７）ＮＤ,
１１０３,2015/2/18,2015/2/25,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,北海道Ｈｏｋｋａｉｄｏ,牛乳,牛乳Ｃｏｗ’ｓｍｉｌｋ,牛乳Ｍｉｌｋ,Ｇｅ,検出せず（＜０．４）ＮＤ,検出せず（＜０．６）ＮＤ,検出せず（＜１．０）ＮＤ,
１１０４,2015/2/18,2015/2/25,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,栃木県Ｔｏｃｈｉｇｉ,乳飲料,乳飲料Ｍｉｌｋｄｒｉｎｋ,牛乳Ｍｉｌｋ,Ｇｅ,検出せず（＜０．９）ＮＤ,検出せず（＜０．７）ＮＤ,検出せず（＜１．６）ＮＤ,
１１０５,2015/2/18,2015/2/25,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,茨城県Ｉｂａｒａｋｉ,乳飲料,乳飲料Ｍｉｌｋｄｒｉｎｋ,牛乳Ｍｉｌｋ,Ｇｅ,検出せず（＜０．６）ＮＤ,検出せず（＜０．８）ＮＤ,検出せず（＜１．４）ＮＤ,
１１０６,2015/2/18,2015/2/25,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,東京都Ｔｏｋｙｏ,乳飲料,乳飲料Ｍｉｌｋｄｒｉｎｋ,牛乳Ｍｉｌｋ,Ｇｅ,検出せず（＜０．８）ＮＤ,検出せず（＜０．６）ＮＤ,検出せず（＜１．４）ＮＤ,
１１０７,2015/2/18,2015/2/25,販売者Ｓｅｌｌｅｒ,千葉県Ｃｈｉｂａ,有機ほうじ茶（清涼飲料水）,その他の清涼飲料水Ｏｔｈｅｒｓｏｆｔｄｒｉｎｋｂｅｖｅｒａｇｅｓ,飲料水Ｄｒｉｎｋｉｎｇｗａｔｅｒ,Ｇｅ,検出せず（＜０．８）ＮＤ,検出せず（＜０．６）ＮＤ,検出せず（＜１．４）ＮＤ,
１１０８,2015/2/18,2015/2/25,販売者Ｓｅｌｌｅｒ,千葉県Ｃｈｉｂａ,有機玄米茶（清涼飲料水）,その他の清涼飲料水Ｏｔｈｅｒｓｏｆｔｄｒｉｎｋｂｅｖｅｒａｇｅｓ,飲料水Ｄｒｉｎｋｉｎｇｗａｔｅｒ,Ｇｅ,検出せず（＜０．５）ＮＤ,検出せず（＜０．７）ＮＤ,検出せず（＜１．２）ＮＤ,
１１０９,2015/2/18,2015/2/25,販売者Ｓｅｌｌｅｒ,千葉県Ｃｈｉｂａ,緑茶（清涼飲料水）,その他の清涼飲料水Ｏｔｈｅｒｓｏｆｔｄｒｉｎｋｂｅｖｅｒａｇｅｓ,飲料水Ｄｒｉｎｋｉｎｇｗａｔｅｒ,Ｇｅ,検出せず（＜０．６）ＮＤ,検出せず（＜０．６）ＮＤ,検出せず（＜１．２）ＮＤ,
１１１０,2015/2/18,2015/2/25,販売者Ｓｅｌｌｅｒ,千葉県Ｃｈｉｂａ,ナチュラルミネラルウォーター,ミネラルウォーター類Ｍｉｎｅｒａｌｗａｔｅｒ,飲料水Ｄｒｉｎｋｉｎｇｗａｔｅｒ,Ｇｅ,検出せず（＜０．４）ＮＤ,検出せず（＜０．７）ＮＤ,検出せず（＜１．１）ＮＤ,
１１１１,2015/2/18,2015/2/25,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,埼玉県Ｓａｉｔａｍａ,お茶（清涼飲料水）,その他の清涼飲料水Ｏｔｈｅｒｓｏｆｔｄｒｉｎｋｂｅｖｅｒａｇｅｓ,飲料水Ｄｒｉｎｋｉｎｇｗａｔｅｒ,Ｇｅ,検出せず（＜０．７）ＮＤ,検出せず（＜０．９）ＮＤ,検出せず（＜１．６）ＮＤ,
１１１２,2015/2/26,2015/2/27,生産・出荷者Ｆａｒｍｅｒ,千葉県Ｃｈｉｂａ,レタス,その他の生鮮野菜Ｏｔｈｅｒｆｒｅｓｈｖｅｇｅｔａｂｌｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
１１１３,2015/2/26,2015/2/27,生産・出荷者Ｆａｒｍｅｒ,茨城県Ｉｂａｒａｋｉ,コマツナ,その他の生鮮野菜Ｏｔｈｅｒｆｒｅｓｈｖｅｇｅｔａｂｌｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
１１１４,2015/2/26,2015/2/27,生産・出荷者Ｆａｒｍｅｒ,福島県Ｆｕｋｕｓｈｉｍａ,トマト,その他の生鮮野菜Ｏｔｈｅｒｆｒｅｓｈｖｅｇｅｔａｂｌｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
１１１５,2015/2/26,2015/2/27,生産・出荷者Ｆａｒｍｅｒ,神奈川県Ｋａｎａｇａｗａ,ダイコン,その他の生鮮野菜Ｏｔｈｅｒｆｒｅｓｈｖｅｇｅｔａｂｌｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１１）ＮＤ,検出せず（＜１０）ＮＤ,検出せず（＜２５）ＮＤ,
１１１６,2015/2/26,2015/2/27,生産・出荷者Ｆａｒｍｅｒ,青森県Ａｏｍｏｒｉ,リンゴ,リンゴＡｐｐｌｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜６）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
１１１７,2015/2/26,2015/2/27,採取地Ｓａｍｐｌｉｎｇｐｏｉｎｔ,千葉県Ｃｈｉｂａ,カツオ,その他の生食用鮮魚介類Ｆｒｅｓｈｆｉｓｈａｎｄｓｈｅｌｌｆｉｓｈｆｏｒｒａｗｃｏｎｓｕｍｐｔｉｏｎ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１１）ＮＤ,検出せず（＜１０）ＮＤ,検出せず（＜２５）ＮＤ,
１１１８,2015/2/26,2015/2/27,採取地Ｓａｍｐｌｉｎｇｐｏｉｎｔ,日本太平洋沖北部産ＪａｐａｎｎｏｒｔｈＰａｃｉｆｉｃ,ビンチョウマグロ,その他の生食用鮮魚介類Ｆｒｅｓｈｆｉｓｈａｎｄｓｈｅｌｌｆｉｓｈｆｏｒｒａｗｃｏｎｓｕｍｐｔｉｏｎ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
１１１９,2015/2/26,2015/2/27,採取地Ｓａｍｐｌｉｎｇｐｏｉｎｔ,房総沖ｏｆｆＢｏｓｏ,ワラサ,その他の生食用鮮魚介類Ｆｒｅｓｈｆｉｓｈａｎｄｓｈｅｌｌｆｉｓｈｆｏｒｒａｗｃｏｎｓｕｍｐｔｉｏｎ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
１１２０,2015/2/26,2015/2/27,採取地Ｓａｍｐｌｉｎｇｐｏｉｎｔ,房総沖ｏｆｆＢｏｓｏ,ヤリイカ,その他の鮮魚介類Ｆｒｅｓｈｆｉｓｈａｎｄｓｈｅｌｌｆｉｓｈ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
１１２１,2015/2/26,2015/2/27,採取地Ｓａｍｐｌｉｎｇｐｏｉｎｔ,静岡県Ｓｈｉｚｕｏｋａ,マサバ,その他の鮮魚介類Ｆｒｅｓｈｆｉｓｈａｎｄｓｈｅｌｌｆｉｓｈ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
１１２２,2015/2/25,2015/3/3,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,栃木県Ｔｏｃｈｉｇｉ,牛乳,牛乳Ｃｏｗ’ｓｍｉｌｋ,牛乳Ｍｉｌｋ,Ｇｅ,検出せず（＜０．７）ＮＤ,検出せず（＜０．７）ＮＤ,検出せず（＜１．４）ＮＤ,
１１２３,2015/2/25,2015/3/3,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,長野県Ｎａｇａｎｏ,牛乳,牛乳Ｃｏｗ’ｓｍｉｌｋ,牛乳Ｍｉｌｋ,Ｇｅ,検出せず（＜０．５）ＮＤ,検出せず（＜０．３）ＮＤ,検出せず（＜０．８）ＮＤ,
１１２４,2015/2/25,2015/3/3,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,神奈川県Ｋａｎａｇａｗａ,加工乳,加工乳Ｐｒｏｃｅｓｓｅｄｍｉｌｋ,牛乳Ｍｉｌｋ,Ｇｅ,検出せず（＜０．６）ＮＤ,検出せず（＜０．５）ＮＤ,検出せず（＜１．１）ＮＤ,
１１２５,2015/2/25,2015/3/3,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,茨城県Ｉｂａｒａｋｉ,乳飲料,乳飲料Ｍｉｌｋｄｒｉｎｋ,牛乳Ｍｉｌｋ,Ｇｅ,検出せず（＜０．５）ＮＤ,検出せず（＜０．９）ＮＤ,検出せず（＜１．４）ＮＤ,
１１２６,2015/2/25,2015/3/3,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,東京都Ｔｏｋｙｏ,乳飲料,乳飲料Ｍｉｌｋｄｒｉｎｋ,牛乳Ｍｉｌｋ,Ｇｅ,検出せず（＜０．８）ＮＤ,検出せず（＜０．８）ＮＤ,検出せず（＜１．６）ＮＤ,
１１２７,2015/2/25,2015/3/3,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,茨城県Ｉｂａｒａｋｉ,はっ酵乳,発酵乳Ｆｅｒｍｅｎｔｅｄｍｉｌｋ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
１１２８,2015/2/25,2015/3/3,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,長野県Ｎａｇａｎｏ,はっ酵乳,発酵乳Ｆｅｒｍｅｎｔｅｄｍｉｌｋ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１１）ＮＤ,検出せず（＜１０）ＮＤ,検出せず（＜２５）ＮＤ,
１１２９,2015/2/25,2015/3/3,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,栃木県Ｔｏｃｈｉｇｉ,はっ酵乳,発酵乳Ｆｅｒｍｅｎｔｅｄｍｉｌｋ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
１１３０,2015/2/25,2015/3/3,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,東京都Ｔｏｋｙｏ,はっ酵乳,発酵乳Ｆｅｒｍｅｎｔｅｄｍｉｌｋ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
１１３１,2015/2/25,2015/3/3,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,茨城県Ｉｂａｒａｋｉ,プロセスチーズ,プロセスチーズＰｒｏｃｅｓｓｅｄｃｈｅｅｓｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１０）ＮＤ,検出せず（＜２５）ＮＤ,
１１３２,2015/2/25,2015/3/3,生産・出荷者Ｆａｒｍｅｒ,北海道Ｈｏｋｋａｉｄｏ,シイタケ,その他の生鮮野菜（きのこ類）Ｆｕｎｇｉ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
１１３３,2015/2/25,2015/3/3,生産・出荷者Ｆａｒｍｅｒ,千葉県Ｃｈｉｂａ,マッシュルーム,その他の生鮮野菜（きのこ類）Ｆｕｎｇｉ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１３）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
１１３４,2015/2/25,2015/3/3,生産・出荷者Ｆａｒｍｅｒ,北海道Ｈｏｋｋａｉｄｏ,ジャガイモ,バレイショＰｏｔａｔｏ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１１）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
１１３５,2015/2/25,2015/3/3,生産・出荷者Ｆａｒｍｅｒ,茨城県Ｉｂａｒａｋｉ,サツマイモ,その他の生鮮野菜Ｏｔｈｅｒｆｒｅｓｈｖｅｇｅｔａｂｌｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
１１３６,2015/2/25,2015/3/3,生産・出荷者Ｆａｒｍｅｒ,北海道Ｈｏｋｋａｉｄｏ,アズキ,その他の豆類乾燥品Ｏｔｈｅｒｄｒｉｅｄｂｅａｎ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１０）ＮＤ,検出せず（＜２５）ＮＤ,
１１３７,2015/2/25,2015/3/3,加工者Ｐｒｏｃｅｓｓｏｒ,東京都Ｔｏｋｙｏ,鶏肉,食鳥肉Ｐｏｕｌｔｒｙｍｅａｔ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
１１３８,2015/2/25,2015/3/3,加工者Ｐｒｏｃｅｓｓｏｒ,東京都Ｔｏｋｙｏ,鶏肉,食鳥肉Ｐｏｕｌｔｒｙｍｅａｔ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
１１３９,2015/2/25,2015/3/3,選別包装者Ｇｒａｄｉｎｇｐａｃｋａｇｅｒ,千葉県Ｃｈｉｂａ,鶏卵,鶏卵Ｐｏｕｌｔｒｙｅｇｇｓ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１３）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
１１４０,2015/2/25,2015/3/3,選別包装者Ｇｒａｄｉｎｇｐａｃｋａｇｅｒ,千葉県Ｃｈｉｂａ,鶏卵,鶏卵Ｐｏｕｌｔｒｙｅｇｇｓ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
１１４１,2015/2/25,2015/3/3,選別包装者Ｇｒａｄｉｎｇｐａｃｋａｇｅｒ,神奈川県Ｋａｎａｇａｗａ,鶏卵,鶏卵Ｐｏｕｌｔｒｙｅｇｇｓ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
１１４２,2015/3/5,2015/3/6,生産・出荷者Ｆａｒｍｅｒ,秋田県Ａｋｉｔａ,シイタケ,その他の生鮮野菜（きのこ類）Ｆｕｎｇｉ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
１１４３,2015/3/5,2015/3/6,生産・出荷者Ｆａｒｍｅｒ,栃木県Ｔｏｃｈｉｇｉ,シイタケ,その他の生鮮野菜（きのこ類）Ｆｕｎｇｉ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１１）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
１１４４,2015/3/5,2015/3/6,生産・出荷者Ｆａｒｍｅｒ,長野県Ｎａｇａｎｏ,エノキタケ,その他の生鮮野菜（きのこ類）Ｆｕｎｇｉ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
１１４５,2015/3/5,2015/3/6,生産・出荷者Ｆａｒｍｅｒ,千葉県Ｃｈｉｂａ,サツマイモ,その他の生鮮野菜Ｏｔｈｅｒｆｒｅｓｈｖｅｇｅｔａｂｌｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜９）ＮＤ,検出せず（＜８）ＮＤ,検出せず（＜２５）ＮＤ,
１１４６,2015/3/5,2015/3/6,生産・出荷者Ｆａｒｍｅｒ,埼玉県Ｓａｉｔａｍａ,サトイモ,その他の生鮮野菜Ｏｔｈｅｒｆｒｅｓｈｖｅｇｅｔａｂｌｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１３）ＮＤ,検出せず（＜１２）ＮＤ,検出せず（＜２５）ＮＤ,
１１４７,2015/3/5,2015/3/6,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,群馬県Ｇｕｎｍａ,ナチュラルチーズ,ナチュラルチーズＮａｔｕｒａｌｃｈｅｅｓｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜９）ＮＤ,検出せず（＜８）ＮＤ,検出せず（＜２５）ＮＤ,
１１４８,2015/3/5,2015/3/6,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,静岡県Ｓｈｉｚｕｏｋａ,バター,バターＢｕｔｔｅｒ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１１）ＮＤ,検出せず（＜１０）ＮＤ,検出せず（＜２５）ＮＤ,
１１４９,2015/3/5,2015/3/6,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,静岡県Ｓｈｉｚｕｏｋａ,はっ酵乳,発酵乳Ｆｅｒｍｅｎｔｅｄｍｉｌｋ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１１）ＮＤ,検出せず（＜１０）ＮＤ,検出せず（＜２５）ＮＤ,
