№,採取日（購入日）Ｓａｍｐｌｉｎｇｄａｔｅ,結果判明日Ｒｅｓｕｌｔｓｏｂｔａｉｎｅｄｄａｔｅ,生産者・製造者・販売者・輸入者等の別Ｆａｒｍｅｒ／Ｍａｎｕｆａｃｔｕｒｅｒ／Ｓｅｌｌｅｒ／Ｉｍｐｏｒｔｅｒ,左記の所在地Ｌｏｃａｔｉｏｎ,品目（Ｉｔｅｍｎａｍｅ）,食品分類Ｃｌａｓｓｉｆｉｃａｔｉｏｎ,食品カテゴリＣａｔｅｇｏｒｙ,検査機器Ｉｎｓｐｅｃｔｉｏｎｉｎｓｔｒｕｍｅｎｔ,検査結果：セシウム－１３４（単位：Ｂｑ／Ｋｇ）Ｒｅｓｕｌｔｓ：Ｃｅｓｉｕｍ－１３４,検査結果：セシウム－１３７（単位：Ｂｑ／Ｋｇ）Ｒｅｓｕｌｔｓ：Ｃｅｓｉｕｍ－１３７,検査結果：セシウム合計（単位：Ｂｑ／Ｋｇ）Ｒｅｓｕｌｔｓ：Ｃｅｓｉｕｍ(ｔｏｔａｌ),備考Ｎｏｔｅｓ
908,2013/12/16,2013/12/20,販売者　　　　Seller,東京都Tokyo,米飯類(ベビーフード),容器包装詰加圧加熱殺菌食品Food packed in containers and sterilized by pressurization and ｈeating,乳児用食品　Infant foods,Ge,検出せず(<4)ND,検出せず(<3)ND,検出せず(<7) ND,―
909,2013/12/16,2013/12/20,生産・出荷者Farmer,北海道Hokkaidou,ジャガイモ,ばれいしょPotato,一般食品　General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25) ND,―
910,2013/12/16,2013/12/20,生産・出荷者Farmer,茨城県Ibaraki,レンコン,その他の生鮮野菜Other fresh vegetable,一般食品　General foods,NaI,検出せず(<14)ND,10,<25,―
911,2013/12/16,2013/12/20,生産・出荷者Farmer,千葉県Chiba,キャベツ,その他の生鮮野菜Other fresh vegetable,一般食品　General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25) ND,―
912,2013/12/16,2013/12/20,生産・出荷者Farmer,岩手県Iwate,リンゴ,リンゴApple,一般食品　General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25) ND,―
913,2013/12/16,2013/12/20,製造者Manufacturer,群馬県Gunma,こんにゃく,その他の野菜加工品Other vegetable processed product,一般食品　General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25) ND,―
914,2013/12/16,2013/12/20,製造者Manufacturer,茨城県Ibaraki,充填きぬごし豆腐,豆腐Soybean curd (tofu),一般食品　General foods,NaI,検出せず(<13)ND,検出せず(11)ND,検出せず(<25) ND,―
915,2013/12/16,2013/12/20,製造者Manufacturer,群馬県Gunma,こんにゃく,その他の野菜加工品Other vegetable processed product,一般食品　General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25) ND,―
916,2013/12/16,2013/12/20,販売者　　　　Seller,東京都Tokyo,緑茶(清涼飲料水),その他の清涼飲料水Other soft drink beverages,飲料水　   Drinking water,Ge,検出せず(<0.5)ND,検出せず(<0.4)ND,検出せず(<0.9) ND,―
917,2013/12/16,2013/12/20,販売者　　　　Seller,東京都Tokyo,緑茶(清涼飲料水),その他の清涼飲料水Other soft drink beverages,飲料水　   Drinking water,Ge,検出せず(<0.6) ND,検出せず(<0.5)ND,検出せず(<1.1) ND,―
918,2013/12/16,2013/12/20,販売者　　　　Seller,千葉県Chiba,緑茶(清涼飲料水),その他の清涼飲料水Other soft drink beverages,飲料水　   Drinking water,Ge,検出せず(<0.6)ND,検出せず(<0.6)ND,検出せず(<1.2) ND,―
919,2013/12/19,2013/12/24,生産・出荷者Farmer,青森県Aomori,リンゴ,リンゴApple,一般食品　General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25) ND,―
920,2013/12/19,2013/12/24,生産・出荷者Farmer,青森県Aomori,リンゴ,リンゴApple,一般食品　General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25) ND,―
921,2013/12/19,2013/12/24,生産・出荷者Farmer,茨城県Ibaraki,ネギ,その他の生鮮野菜Other fresh vegetable,一般食品　General foods,NaI,検出せず(<11)ND,検出せず(<9)ND,検出せず(<25) ND,―
922,2013/12/19,2013/12/24,生産・出荷者Farmer,神奈川県Kanagawa,ダイコン,その他の生鮮野菜Other fresh vegetable,一般食品　General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25) ND,―
923,2013/12/19,2013/12/24,生産・出荷者Farmer,茨城県Ibaraki,コマツナ,その他の生鮮野菜Other fresh vegetable,一般食品　General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25) ND,―
924,2013/12/19,2013/12/24,採取地　　Sampling point,茨城県Ibaraki,ワカサギ,その他の鮮魚介類Fresh fish and shellfish,一般食品　General foods,NaI,検出せず(<14)ND,20,<25 ,―
925,2013/12/19,2013/12/24,採取地　　Sampling point,青森県Aomori,スケソウダラ,その他の鮮魚介類Fresh fish and shellfish,一般食品　General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25) ND,―
926,2013/12/19,2013/12/24,採取地　　Sampling point,茨城県Ibaraki,ヤリイカ,その他の鮮魚介類Fresh fish and shellfish,一般食品　General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25) ND,―
927,2013/12/19,2013/12/24,採取地　　Sampling point,茨城県Ibaraki,ヒラメ,その他の生食用鮮魚介類Fresh fish and shellfish for raw consumption,一般食品　General foods,NaI,検出せず(<11) ND,検出せず(<10)ND,検出せず(<25) ND,―
928,2013/12/19,2013/12/24,採取地　　Sampling point,宮城県Miyagi,生カキ(生食用),生食用かきRaw consumption oysters,一般食品　General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25) ND,―
929,2013/12/24,2013/12/26,製造者Manufacturer,栃木県Tochigi,牛乳,牛乳Cow's milk,牛乳　　  　 　 　Milk,Ge,検出せず(<0.7)ND,検出せず(<0.5)ND,検出せず(<1.2) ND,―
930,2013/12/24,2013/12/26,製造者Manufacturer,北海道Hokkaidou,牛乳,牛乳Cow's milk,牛乳　　  　 　 　Milk,Ge,検出せず(<0.7)ND,検出せず(<0.6)ND,検出せず(<1.3) ND,―
931,2013/12/24,2013/12/26,製造者Manufacturer,埼玉県Saitama,牛乳,牛乳Cow's milk,牛乳　　  　 　 　Milk,Ge,検出せず(<0.5)ND,検出せず(<0.9)ND,検出せず(<1.4) ND,―
932,2013/12/24,2013/12/26,製造者Manufacturer,神奈川県Kanagawa,成分調整牛乳,成分調整牛乳Composition modified milk,牛乳　　  　 　 　Milk,Ge,検出せず(<0.7)ND,検出せず(<0.5)ND,検出せず(<1.2) ND,―
933,2013/12/24,2013/12/26,製造者Manufacturer,神奈川県Kanagawa,加工乳,加工乳Processed milk,牛乳　　  　 　 　Milk,Ge,検出せず(<0.7)ND,検出せず(<0.6)ND,検出せず(<1.3) ND,―
934,2013/12/24,2013/12/26,販売者　　　　Seller,東京都Tokyo,野菜・果実ミックスジュース(ベビーフード),その他の清涼飲料水Other soft drink beverages,乳児用食品　Infant foods,Ge,検出せず(<3)ND,検出せず(<3)　 ND,検出せず(<6) ND,―
935,2013/12/24,2013/12/26,製造者Manufacturer,大阪府Osaka,カレー,容器包装詰加圧加熱殺菌食品Food packed in containers and sterilized by pressurization and ｈeating,一般食品　General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25) ND,―
936,2013/12/24,2013/12/26,製造者Manufacturer,千葉県Chiba,カレー,容器包装詰加圧加熱殺菌食品Food packed in containers and sterilized by pressurization and ｈeating,一般食品　General foods,NaI,検出せず(<12)ND,検出せず(10)ND,検出せず(<25) ND,―
937,2013/12/24,2013/12/26,販売者　　　　Seller,神奈川県Kanagawa,カレールゥ,その他の調味料Other seasoning,一般食品　General foods,NaI,検出せず(<12) ND,検出せず(<10)ND,検出せず(<25) ND,―
938,2013/12/24,2013/12/26,販売者　　　　Seller,神奈川県Kanagawa,野菜カレー,容器包装詰加圧加熱殺菌食品Food packed in containers and sterilized by pressurization and ｈeating,一般食品　General foods,NaI,検出せず(<12)ND,検出せず(<10)ND,検出せず(<25) ND,―
939,2013/12/24,2013/12/26,生産・出荷者Farmer,栃木県Tochigi,サトイモ,その他の生鮮野菜Other fresh vegetable,一般食品　General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25) ND,―
940,2013/12/24,2013/12/26,生産・出荷者Farmer,秋田県Akita,シイタケ,その他の生鮮野菜(きのこ類)Fungi,一般食品　General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25) ND,―
941,2013/12/24,2013/12/26,生産・出荷者Farmer,長野県Nagano,ブナシメジ,その他の生鮮野菜(きのこ類)Fungi,一般食品　General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25) ND,―
942,2013/12/24,2013/12/26,生産・出荷者Farmer,千葉県Chiba,サトイモ,その他の生鮮野菜Other fresh vegetable,一般食品　General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25) ND,―
943,2013/12/24,2013/12/26,生産・出荷者Farmer,青森県Aomori,ナガイモ,その他の生鮮野菜Other fresh vegetable,一般食品　General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25) ND,―
944,2013/12/24,2013/12/26,製造者Manufacturer,茨城県Ibaraki,乳等を主要原料とする食品,"その他の乳主原Other food using milk, etc. as principal ingredients",一般食品　General foods,NaI,検出せず(<12)ND,検出せず(11)ND,検出せず(<25) ND,―
945,2013/12/24,2013/12/26,製造者Manufacturer,北海道Hokkaidou,はっ酵乳,発酵乳Fermented milk,一般食品　General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25) ND,―
946,2013/12/24,2013/12/26,製造者Manufacturer,栃木県Tochigi,乳等を主要原料とする食品,"その他の乳主原Other food using milk, etc. as principal ingredients",一般食品　General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25) ND,―
947,2013/12/24,2013/12/26,製造者Manufacturer,東京都Tokyo,クリーム(乳製品),クリームCream,一般食品　General foods,NaI,検出せず(<12) ND,検出せず(<11)ND,検出せず(<25) ND,―
948,2013/12/24,2013/12/26,製造者Manufacturer,北海道Hokkaidou,バター,バターButter,一般食品　General foods,NaI,検出せず(<12)ND,検出せず(<6)ND,検出せず(<25) ND,―
949,2014/1/9,2014/1/10,製造者Manufacturer,新潟県Niigata,いか塩辛,その他の魚介類加工品Other fish products,一般食品　General foods,NaI,検出せず(<8)ND,検出せず(<7)ND,検出せず(<25) ND,―
950,2014/1/9,2014/1/10,製造者Manufacturer,千葉県Chiba,いわし丸干し,その他の魚介類加工品Other fish products,一般食品　General foods,NaI,検出せず(<11)ND,7,<25,―
951,2014/1/9,2014/1/10,製造者Manufacturer,宮城県Miyagi,湯通し塩蔵わかめ,その他の食品Other food,一般食品　General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25) ND,―
952,2014/1/9,2014/1/10,販売者　　　　Seller,東京都Tokyo,ほたて貝柱水煮,その他の魚介類加工品Other fish products,一般食品　General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25) ND,―
953,2014/1/9,2014/1/10,製造者Manufacturer,宮城県Miyagi,めかぶ,その他の食品Other food,一般食品　General foods,NaI,検出せず(<11)ND,検出せず(<9)ND,検出せず(<25) ND,―
954,2014/1/9,2014/1/10,生産・出荷者Farmer,栃木県Tochigi,イチゴ,イチゴStrawberry,一般食品　General foods,NaI,検出せず(<10)ND,検出せず(<9)　 ND,検出せず(<25) ND,―
955,2014/1/9,2014/1/10,生産・出荷者Farmer,茨城県Ibaraki,ハクサイ,その他の生鮮野菜Other fresh vegetable,一般食品　General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25) ND,―
956,2014/1/9,2014/1/10,生産・出荷者Farmer,青森県Aomori,リンゴ,リンゴApple,一般食品　General foods,NaI,検出せず(<10)ND,検出せず(8)ND,検出せず(<25) ND,―
957,2014/1/9,2014/1/10,生産・出荷者Farmer,茨城県Ibaraki,チンゲンサイ,その他の生鮮野菜Other fresh vegetable,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
958,2014/1/9,2014/1/10,生産・出荷者Farmer,茨城県Ibaraki,ホウレンソウ,その他の生鮮野菜Other fresh vegetable,一般食品　General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25) ND,―
959,2014/1/14,2014/1/17,製造者Manufacturer,兵庫県Hyogo,だいず水煮,豆類の加工品Bean product,一般食品　General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25) ND,―
960,2014/1/14,2014/1/17,製造者Manufacturer,東京都Tokyo,豆菓子,"その他の菓子・製菓材料Other confection, confectionary material",一般食品　General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25) ND,―
961,2014/1/14,2014/1/17,販売者　　　　Seller,兵庫県Hyogo,つぶあん,豆類の加工品Bean product,一般食品　General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25) ND,―
962,2014/1/14,2014/1/17,製造者Manufacturer,群馬県Gunma,つぶこんにゃく,その他の野菜加工品Other vegetable processed product,一般食品　General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25) ND,―
963,2014/1/14,2014/1/17,製造者Manufacturer,山梨県Yamanashi,すいとん粉,その他の穀類加工品Other grain processed product,一般食品　General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25) ND,―
964,2014/1/14,2014/1/17,販売者　　　　Seller,兵庫県Hyogo,サラダ,サラダSalad,一般食品　General foods,NaI,検出せず(<13)ND,検出せず(<11)　 ND,検出せず(<25) ND,―
965,2014/1/14,2014/1/17,製造者Manufacturer,東京都Tokyo,そうざい(もつ煮込みそ味),加熱済みそうざいReady to eat food,一般食品　General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25) ND,―
966,2014/1/14,2014/1/17,販売者　　　　Seller,千葉県Chiba,トマトケチャップ,ケチャップKetchup,一般食品　General foods,NaI,検出せず(<11)ND,検出せず(10)ND,検出せず(<25) ND,―
967,2014/1/14,2014/1/17,製造者Manufacturer,愛知県Aichi,こいくちしょうゆ(本醸造),しょうゆSoy sauce,一般食品　General foods,NaI,検出せず(<12) ND,検出せず(<11)ND,検出せず(<25) ND,―
968,2014/1/14,2014/1/17,製造者Manufacturer,新潟県Niigata,30%リンゴ果汁入り飲料,その他の清涼飲料水Other soft drink beverages,一般食品　General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25) ND,―
969,2014/1/14,2014/1/17,製造者Manufacturer,埼玉県Saitama,しょうゆ漬(だいこん),しょうゆ漬Pickled vegetable,一般食品　General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25) ND,―
970,2014/1/14,2014/1/17,製造者Manufacturer,山形県Yamagata,酢漬(かぶ),酢漬Pickled vegetable,一般食品　General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25) ND,―
971,2014/1/14,2014/1/17,販売者　　　　Seller,埼玉県Saitama,ブルーベリージャム,その他の果実加工品Other fruit processed product,一般食品　General foods,NaI,検出せず(<11)ND,検出せず(<9)ND,検出せず(<25) ND,―
972,2014/1/14,2014/1/17,販売者　　　　Seller,愛知県Aichi,ミートソース,その他の野菜加工品Other vegetable processed product,一般食品　General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25) ND,―
973,2014/1/14,2014/1/17,販売者　　　　Seller,東京都Tokyo,麦茶(清涼飲料水)　(ベビーフード),その他の清涼飲料水Other soft drink beverages,乳児用食品　Infant foods,Ge,検出せず(<3)ND,検出せず(<3)ND,検出せず(<6) ND,―
974,2014/1/14,2014/1/17,販売者　　　　Seller,東京都Tokyo,魚介・野菜煮物(ベビーフード),加熱済みそうざいReady to eat food,乳児用食品　Infant foods,Ge,検出せず(<4)ND,検出せず(<3)　 ND,検出せず(<7) ND,―
975,2014/1/14,2014/1/17,販売者　　　　Seller,東京都Tokyo,米飯類(ベビーフード),容器包装詰加圧加熱殺菌食品Food packed in containers and sterilized by pressurization and ｈeating,乳児用食品　Infant foods,Ge,検出せず(<4)ND,検出せず(<3)ND,検出せず(<7) ND,―
976,2014/1/14,2014/1/17,販売者　　　　Seller,東京都Tokyo,ボトルドウォーター(ベビーフード),ミネラルウォーター類Mineral water,飲料水　   Drinking water,Ge,検出せず(<0.5)ND,検出せず(0.5)ND,検出せず(<1.0) ND,―
977,2014/1/14,2014/1/17,販売者　　　　Seller,東京都Tokyo,清涼飲料水(ベビーフード),その他の清涼飲料水Other soft drink beverages,乳児用食品　Infant foods,Ge,検出せず(<2) ND,検出せず(<4)ND,検出せず(<6) ND,―
978,2014/1/14,2014/1/17,販売者　　　　Seller,東京都Tokyo,米飯類(ベビーフード),加熱済みそうざいReady to eat food,乳児用食品　Infant foods,Ge,検出せず(<3)ND,検出せず(<4)ND,検出せず(<7) ND,―
979,2014/1/15,2014/1/16,製造者Manufacturer,宮城県Miyagi,めかぶ,その他の食品Other food,一般食品　General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25) ND,―
980,2014/1/15,2014/1/16,採取地　　Sampling point,茨城県Ibaraki,ヤリイカ,その他の鮮魚介類Fresh fish and shellfish,一般食品　General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25) ND,―
981,2014/1/15,2014/1/16,採取地　　Sampling point,宮城県Miyagi,サメ切身,その他の鮮魚介類Fresh fish and shellfish,一般食品　General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25) ND,―
982,2014/1/15,2014/1/16,採取地　　Sampling point,宮城県Miyagi,マイワシ,その他の鮮魚介類Fresh fish and shellfish,一般食品　General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25) ND,―
983,2014/1/15,2014/1/16,採取地　　Sampling point,岩手県Iwate,タラコ(真ダラ),いくら・すじこ及びタラコSalmon roe or cod roe,一般食品　General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25) ND,―
984,2014/1/15,2014/1/16,製造者Manufacturer,神奈川県Kanagawa,プロセスチーズ,プロセスチーズProcessed cheese,一般食品　General foods,NaI,検出せず(<9)ND,検出せず(<8)　 ND,検出せず(<25) ND,―
985,2014/1/15,2014/1/16,製造者Manufacturer,神奈川県Kanagawa,プロセスチーズ,プロセスチーズProcessed cheese,一般食品　General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25) ND,―
986,2014/1/15,2014/1/16,製造者Manufacturer,兵庫県Hyogo,ナチュラルチーズ,ナチュラルチーズNatural cheese,一般食品　General foods,NaI,検出せず(<10)ND,検出せず(9)ND,検出せず(<25) ND,―
987,2014/1/15,2014/1/16,製造者Manufacturer,北海道Hokkaidou,バター,バターButter,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
988,2014/1/15,2014/1/16,製造者Manufacturer,北海道Hokkaidou,バター,バターButter,一般食品　General foods,NaI,検出せず(<9)ND,検出せず(<9)ND,検出せず(<25) ND,―
989,2014/1/20,2014/1/24,販売者　　　　Seller,東京都Tokyo,冷凍鴨肉,食鳥肉Poultry meat,一般食品　General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25) ND,原産国：フランスCountry of origin：France
990,2014/1/20,2014/1/24,販売者　　　　Seller,東京都Tokyo,冷凍　鴨胸肉,食鳥肉Poultry meat,一般食品　General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25) ND,原産国：ハンガリーCountry of origin：Hungary
991,2014/1/20,2014/1/24,販売者　　　　Seller,東京都Tokyo,冷凍鴨肉,食鳥肉Poultry meat,一般食品　General foods,Ge,検出せず(<4)ND,検出せず(<3)ND,検出せず(<7) ND,原産国：フランスCountry of origin：France
992,2014/1/20,2014/1/24,販売者　　　　Seller,東京都Tokyo,ボロニアソーセージ(スライス),加熱食肉製品（加熱後包装）Heated meat products (packed in package after being heat-sterilized),一般食品　General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25) ND,原産国：イタリアCountry of origin：Italy
993,2014/1/20,2014/1/24,販売者　　　　Seller,東京都Tokyo,パンチェッタ,非加熱食肉製品Unheated meat products,一般食品　General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25) ND,原産国：イタリアCountry of origin：Italy
994,2014/1/20,2014/1/24,輸入者　　　Importer,東京都Tokyo,ブルーベリーコンポート(ブルーベリー加工食品),"その他の菓子・製菓材料Other confection, confectionary material",一般食品　General foods,NaI,検出せず(<11)ND,検出せず(<10)　 ND,検出せず(<25) ND,原産国：ベルギーCountry of origin：Belgium
995,2014/1/20,2014/1/24,輸入者　　　Importer,東京都Tokyo,オレンジ加工品,"その他の菓子・製菓材料Other confection, confectionary material",一般食品　General foods,NaI,検出せず(<9)ND,検出せず(<9)ND,検出せず(<25) ND,原産国：フランスCountry of origin：France
996,2014/1/20,2014/1/24,輸入者　　　Importer,東京都Tokyo,有機ローズヒップジャム,"その他の菓子・製菓材料Other confection, confectionary material",一般食品　General foods,NaI,検出せず(<10)ND,検出せず(9)ND,検出せず(<25) ND,原産国：ドイツCountry of origin：Germany
997,2014/1/20,2014/1/24,輸入者　　　Importer,東京都Tokyo,有機ラズベリージャム,"その他の菓子・製菓材料Other confection, confectionary material",一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<8)ND,検出せず(<25) ND,原産国：ドイツCountry of origin：Germany
998,2014/1/20,2014/1/24,輸入者　　　Importer,東京都Tokyo,いちごジャム,"その他の菓子・製菓材料Other confection, confectionary material",一般食品　General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25) ND,原産国：オーストリアCountry of origin：Austria
999,2014/1/23,2014/1/27,選別包装者　Grading packager,福島県Fukushima,鶏卵(国産),鶏卵Poultry egg,一般食品　General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25) ND,―
1000,2014/1/23,2014/1/27,選別包装者　Grading packager,茨城県Ibaraki,鶏卵,鶏卵Poultry egg,一般食品　General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25) ND,―
1001,2014/1/23,2014/1/27,選別包装者　Grading packager,千葉県Chiba,国産鶏卵4個入,鶏卵Poultry egg,一般食品　General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25) ND,―
1002,2014/1/23,2014/1/27,加工者　Processor,岩手県Iwate,鶏もも肉,食鳥肉Poultry meat,一般食品　General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25) ND,―
1003,2014/1/23,2014/1/27,加工者　Processor,群馬県Gunma,鶏もも肉切身(唐揚用),食鳥肉Poultry meat,一般食品　General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25) ND,―
1004,2014/1/23,2014/1/27,製造者Manufacturer,東京都Tokyo,ぶりの照焼き,加熱後摂取冷凍食品(凍結前未加熱)Frozen food to be consumed after heating,一般食品　General foods,NaI,検出せず(<9)ND,検出せず(<8)　 ND,検出せず(<25) ND,―
1005,2014/1/23,2014/1/27,製造者Manufacturer,大阪府Osaka,ミートボール(鶏肉),無加熱摂取冷凍食品Frozen food to be consumed without heating,一般食品　General foods,NaI,検出せず(<9)ND,検出せず(<7)ND,検出せず(<25) ND,―
1006,2014/1/23,2014/1/27,製造者Manufacturer,北海道Hokkaidou,からあげ,無加熱摂取冷凍食品Frozen food to be consumed without heating,一般食品　General foods,NaI,検出せず(<9)ND,検出せず(8)ND,検出せず(<25) ND,―
1007,2014/1/23,2014/1/27,販売者　　　　Seller,東京都Tokyo,コロッケ,無加熱摂取冷凍食品Frozen food to be consumed without heating,一般食品　General foods,NaI,検出せず(<9) ND,検出せず(<8)ND,検出せず(<25) ND,―
1008,2014/1/23,2014/1/27,販売者　　　　Seller,東京都Tokyo,コロッケ,無加熱摂取冷凍食品Frozen food to be consumed without heating,一般食品　General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25) ND,―
1009,2014/1/27,2014/1/31,販売者　　　　Seller,大阪府Osaka,惣菜(半熟卵),その他のそうざい類Ready to eat food,一般食品　General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25) ND,―
1010,2014/1/27,2014/1/31,販売者　　　　Seller,埼玉県Saitama,惣菜,その他のそうざい類Ready to eat food,一般食品　General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25) ND,―
1011,2014/1/27,2014/1/31,製造者Manufacturer,栃木県Tochigi,ロースハム(スライス),加熱食肉製品（加熱後包装）Heated meat products (packed in package after being heat-sterilized),一般食品　General foods,NaI,検出せず(<12)ND,検出せず(<10)ND,検出せず(<25) ND,―
1012,2014/1/27,2014/1/31,製造者Manufacturer,栃木県Tochigi,なす塩漬,塩漬Pickled vegetable,一般食品　General foods,NaI,検出せず(<12)ND,検出せず(<10)ND,検出せず(<25) ND,―
1013,2014/1/27,2014/1/31,販売者　　　　Seller,東京都Tokyo,はくさい塩漬,塩漬Pickled vegetable,一般食品　General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25) ND,―
1014,2014/1/27,2014/1/31,製造者Manufacturer,東京都Tokyo,べったら漬け,その他のつけ物Pickled vegetable,一般食品　General foods,NaI,検出せず(<12)ND,検出せず(<11)　 ND,検出せず(<25) ND,―
1015,2014/1/27,2014/1/31,製造者Manufacturer,東京都Tokyo,緑茶(清涼飲料水),その他の清涼飲料水Other soft drink beverages,飲料水　   Drinking water,Ge,検出せず(<1.1)ND,検出せず(<0.8)ND,検出せず(<1.9) ND,―
1016,2014/1/27,2014/1/31,製造者Manufacturer,東京都Tokyo,ナチュラルミネラルウォーター,ミネラルウォーター類Mineral water,飲料水　   Drinking water,Ge,検出せず(<0.5)ND,検出せず(<0.7)ND,検出せず(<1.2) ND,―
1017,2014/1/27,2014/1/31,製造者Manufacturer,山梨県Yamanashi,ナチュラルミネラルウォーター,ミネラルウォーター類Mineral water,飲料水　   Drinking water,Ge,検出せず(<0.6) ND,検出せず(<0.3)ND,検出せず(<0.9) ND,―
1018,2014/1/27,2014/1/31,販売者　　　　Seller,東京都Tokyo,たくあん漬け,たくあん漬Pickled vegetable,一般食品　General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25) ND,―
1019,2014/1/27,2014/1/31,採取地　　Sampling point,北海道Hokkaidou,寒マダラ,その他の鮮魚介類Fresh fish and shellfish,一般食品　General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25) ND,―
1020,2014/1/27,2014/1/31,採取地　　Sampling point,宮城県Miyagi,サンマ,その他の鮮魚介類Fresh fish and shellfish,一般食品　General foods,NaI,検出せず(<12)ND,検出せず(<10)ND,検出せず(<25) ND,―
1021,2014/1/27,2014/1/31,採取地　　Sampling point,宮城県Miyagi,寒サバ(マサバ),その他の鮮魚介類Fresh fish and shellfish,一般食品　General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25) ND,―
1022,2014/1/27,2014/1/31,採取地　　Sampling point,千葉県Chiba,生マカジキ,その他の鮮魚介類Fresh fish and shellfish,一般食品　General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25) ND,―
1023,2014/1/27,2014/1/31,採取地　　Sampling point,千葉県Chiba,寒サワラ,その他の鮮魚介類Fresh fish and shellfish,一般食品　General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25) ND,―
1024,2014/1/27,2014/1/31,製造者Manufacturer,北海道Hokkaidou,牛乳,牛乳Cow's milk,牛乳　　  　 　 　Milk,Ge,検出せず(<0.7)ND,検出せず(<0.6)　 ND,検出せず(<1.3) ND,―
