№,採取日(購入日)Ｓａｍｐｌｉｎｇｄａｔｅ,結果判明日Ｒｅｓｕｌｔｓｏｂｔａｉｎｅｄｄａｔｅ,生産者・製造者・販売者・輸入者等の別Ｆａｒｍｅｒ／Ｍａｎｕｆａｃｔｕｒｅｒ／Ｓｅｌｌｅｒ／Ｉｍｐｏｒｔｅｒ,左記の所在地Ｌｏｃａｔｉｏｎ,品目（Ｉｔｅｍｎａｍｅ）,食品分類Ｃｌａｓｓｉｆｉｃａｔｉｏｎ,食品カテゴリＣａｔｅｇｏｒｙ,検査機器Ｉｎｓｐｅｃｔｉｏｎｉｎｓｔｒｕｍｅｎｔ,検査結果：セシウム－１３４（単位：Ｂｑ／Ｋｇ）Ｒｅｓｕｌｔｓ：Ｃｅｓｉｕｍ－１３４,検査結果：セシウム－１３７（単位：Ｂｑ／Ｋｇ）Ｒｅｓｕｌｔｓ：Ｃｅｓｉｕｍ－１３７,検査結果：セシウム合計（単位：Ｂｑ／Ｋｇ）Ｒｅｓｕｌｔｓ：Ｃｅｓｉｕｍ(ｔｏｔａｌ),備考Ｎｏｔｅｓ
1122,42424,42432,製造者Manufacturer,長野県Nagano,牛乳,牛乳Cow's milk,牛乳Milk,Ge,検出せず(<0.6)ND,検出せず(<0.6)ND,検出せず(<1.2)ND,―
1123,42424,42432,製造者Manufacturer,北海道Hokkaido,牛乳,牛乳Cow's milk,牛乳Milk,Ge,検出せず(<0.5)ND,検出せず(<0.8)ND,検出せず(<1.3)ND,―
1124,42424,42432,製造者Manufacturer,岩手県Iwate,牛乳,牛乳Cow's milk,牛乳Milk,Ge,検出せず(<0.7)ND,検出せず(<0.4)ND,検出せず(<1.1)ND,―
1125,42424,42432,製造者Manufacturer,神奈川県Kanagawa,加工乳,加工乳Processed milk,牛乳Milk,Ge,検出せず(<0.7)ND,検出せず(<0.8)ND,検出せず(<1.5)ND,―
1126,42424,42432,製造者Manufacturer,東京都Tokyo,発酵乳,発酵乳Fermented milk,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
1127,42424,42432,製造者Manufacturer,長野県Nagano,発酵乳,発酵乳Fermented milk,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
1128,42424,42432,製造者Manufacturer,長野県Nagano,発酵乳,発酵乳Fermented milk,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
1129,42424,42432,製造者Manufacturer,新潟県Niigata,発酵乳,発酵乳Fermented milk,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
1130,42424,42432,製造者Manufacturer,茨城県Ibaraki,プロセスチーズ,プロセスチーズProcessed cheese,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
1131,42424,42432,生産・出荷者Farmer,千葉県Chiba,サツマイモ,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
1132,42424,42432,生産・出荷者Farmer,茨城県Ibaraki,マッシュルーム,その他の生鮮野菜(きのこ類)Fungi,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
1133,42424,42432,生産・出荷者Farmer,山形県Yamagata,ナメコ,その他の生鮮野菜(きのこ類)Fungi,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
1134,42424,42432,生産・出荷者Farmer,群馬県Gunma,マイタケ,その他の生鮮野菜(きのこ類)Fungi,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
1135,42424,42432,生産・出荷者Farmer,群馬県Gunma,ヤマトイモ,その他の生鮮野菜(きのこ類)Fungi,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
1136,42424,42432,販売者Seller,東京都Tokyo,鶏肉,食鳥肉Poultry meat,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
1137,42424,42432,販売者Seller,東京都Tokyo,豚肉,豚肉Pork,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
1138,42424,42432,選別包装者Grading packager,神奈川県Kanagawa,鶏卵,鶏卵Poultry eggs,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<10)ND,検出せず(<25)ND,―
1139,42424,42432,選別包装者Grading packager,千葉県Chiba,鶏卵,鶏卵Poultry eggs,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
1140,42424,42432,選別包装者Grading packager,東京都Tokyo,鶏卵,鶏卵Poultry eggs,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
1141,42432,42433,生産・出荷者Farmer,長野県Nagano,ブナシメジ,その他の生鮮野菜(きのこ類)Fungi,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
1142,42432,42433,生産・出荷者Farmer,新潟県Niigata,エノキタケ,その他の生鮮野菜(きのこ類)Fungi,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
1143,42432,42433,生産・出荷者Farmer,千葉県Chiba,サトイモ,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
1144,42432,42433,生産・出荷者Farmer,青森県Aomori,ナガイモ,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
1145,42432,42433,生産・出荷者Farmer,山梨県Yamanashi,米粒麦,その他の穀物Other grain,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
1146,42432,42433,製造者Manufacturer,東京都Tokyo,乳製品乳酸菌飲料,乳酸菌飲料（殺菌済・無脂乳固形分3.0%以上）Fermented milk drink,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
1147,42432,42433,販売者Seller,大阪府Osaka,発酵乳,発酵乳Fermented milk,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<8)ND,検出せず(<25)ND,―
1148,42432,42433,製造者Manufacturer,兵庫県Hyogo,発酵乳,発酵乳Fermented milk,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
1149,42432,42433,製造者Manufacturer,北海道Hokkaido,プロセスチーズ,プロセスチーズProcessed cheese,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
1150,42432,42433,製造者Manufacturer,京都府Kyoto,発酵乳,発酵乳Fermented milk,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
1151,42431,42437,販売者Seller,東京都Tokyo,そうざい（ベビーフード）,容器包装詰加圧加熱殺菌食品Food packed in containers and sterilized by pressurization and heating,一般食品General foods,Ge,検出せず(<4)ND,検出せず(<3)ND,検出せず(<7)ND,―
1152,42431,42437,販売者Seller,東京都Tokyo,シチュー（ベビーフード）,容器包装詰加圧加熱殺菌食品Food packed in containers and sterilized by pressurization and heating,一般食品General foods,Ge,検出せず(<3)ND,検出せず(<4)ND,検出せず(<7)ND,―
1153,42431,42437,販売者Seller,東京都Tokyo,米飯類（ベビーフード）,容器包装詰加圧加熱殺菌食品Food packed in containers and sterilized by pressurization and heating,一般食品General foods,Ge,検出せず(<3)ND,検出せず(<4)ND,検出せず(<7)ND,―
1154,42431,42437,販売者Seller,東京都Tokyo,米飯類（ベビーフード）,容器包装詰加圧加熱殺菌食品Food packed in containers and sterilized by pressurization and heating,一般食品General foods,Ge,検出せず(<3)ND,検出せず(<4)ND,検出せず(<7)ND,―
1155,42431,42437,販売者Seller,東京都Tokyo,生菓子（ベビーフード）,その他の生菓子Other fresh sweets,一般食品General foods,Ge,検出せず(<3)ND,検出せず(<3)ND,検出せず(<6)ND,―
1156,42431,42437,採取地Sampling point,宮城県Miyagi,ナメタガレイ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
1157,42431,42437,採取地Sampling point,青森県Aomori,マダラ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
1158,42431,42437,採取地Sampling point,北海道Hokkaido,ニシン,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25)ND,―
1159,42431,42437,採取地Sampling point,北海道Hokkaido,マダラ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
1160,42431,42437,採取地Sampling point,北海道Hokkaido,カスベ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
1161,42439,42440,製造者Manufacturer,東京都Tokyo,米味噌,みそFermented bean (miso),一般食品General foods,NaI,検出せず(<8)ND,検出せず(<7)ND,検出せず(<25)ND,―
1162,42439,42440,販売者Seller,神奈川県Kanagawa,煮豆,豆類の加工品Bean product,一般食品General foods,NaI,検出せず(<8)ND,検出せず(<7)ND,検出せず(<25)ND,―
1163,42439,42440,製造者Manufacturer,東京都Tokyo,充填豆腐,豆類の加工品Bean product,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
1164,42439,42440,販売者Seller,東京都Tokyo,中華丼の素,容器包装詰加圧加熱殺菌食品Food packed in containers and sterilized by pressurization and heating,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
1165,42439,42440,販売者Seller,千葉県Chiba,つゆ（希釈用）,つゆLiquid seasoning,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
1166,42439,42440,製造者Manufacturer,秋田県Akita,きりたんぽ,その他の穀類加工品Other grain product,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
1167,42439,42440,製造者Manufacturer,秋田県Akita,たくあん漬,たくあん漬Pickled vegetable,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<8)ND,検出せず(<25)ND,―
1168,42439,42440,製造者Manufacturer,秋田県Akita,干しうどん,その他のめん類Other noodle,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
1169,42439,42440,製造者Manufacturer,秋田県Akita,ゆで中華めん,ゆでめん類Boiled noodle,一般食品General foods,NaI,検出せず(<8)ND,検出せず(<7)ND,検出せず(<25)ND,―
1170,42439,42440,製造者Manufacturer,秋田県Akita,はちみつ,はちみつhoney,一般食品General foods,NaI,検出せず(<7)ND,検出せず(<6)ND,検出せず(<25)ND,―
1171,42438,42446,輸入者Importer,愛知県Aichi,トマト・ピューレ―漬け,その他の野菜加工品Other vegetable processed product,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<9)ND,検出せず(<25)ND,原産国：イタリアCountry of origin：Italy
1172,42438,42446,輸入者Importer,東京都Tokyo,皮むきトマト・トマトピューレ―漬け,その他の野菜加工品Other vegetable processed product,一般食品General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25)ND,原産国：イタリアCountry of origin：Italy
1173,42438,42446,輸入者Importer,兵庫県Hyogo,クリペースト,"その他の菓子・製菓材料Other confection, confectionary material",一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,原産国：フランスCountry of origin：France
1174,42438,42446,輸入者Importer,東京都Tokyo,オレンジジュース,その他の果実加工品Other fruit processed product,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,原産国：イタリアCountry of origin：Italy
1175,42438,42446,輸入者Importer,東京都Tokyo,レモンジュース,その他の果実加工品Other fruit processed product,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,原産国：イタリアCountry of origin：Italy
1176,42438,42446,輸入者Importer,東京都Tokyo,グリーンオリーブオイル漬け,その他の果実加工品Other fruit processed product,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,原産国：イタリアCountry of origin：Italy
1177,42438,42446,輸入者Importer,東京都Tokyo,オリーブ（種ぬき）塩漬け,その他の果実加工品Other fruit processed product,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<10)ND,検出せず(<25)ND,原産国：スペインCountry of origin：Spain
1178,42438,42446,輸入者Importer,大阪府Osaka,ブラックオリーブ,その他の果実加工品Other fruit processed product,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,原産国：スペインCountry of origin：Spain
1179,42438,42446,輸入者Importer,兵庫県Hyogo,てんさい糖,砂糖及びその代替食品Sugar and substitute,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,原産国：ベルギーCountry of origin：Belgium
1180,42438,42446,輸入者Importer,東京都Tokyo,スナック菓子,その他の穀類加工品Other grain product,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,原産国：ギリシャCountry of origin：Greece
1181,42438,42446,製造者Manufacturer,福島県Fukushima,牛乳,牛乳Cow's milk,牛乳Milk,Ge,検出せず(<0.7)ND,検出せず(<0.6)ND,検出せず(<1.3)ND,―
1182,42438,42446,製造者Manufacturer,北海道Hokkaido,牛乳,牛乳Cow's milk,牛乳Milk,Ge,検出せず(<0.7)ND,検出せず(<0.7)ND,検出せず(<1.4)ND,―
1183,42438,42446,製造者Manufacturer,栃木県Tochigi,牛乳,牛乳Cow's milk,牛乳Milk,Ge,検出せず(<0.8)ND,検出せず(<0.5)ND,検出せず(<1.3)ND,―
1184,42438,42446,製造者Manufacturer,北海道Hokkaido,牛乳,牛乳Cow's milk,牛乳Milk,Ge,検出せず(<0.7)ND,検出せず(<0.7)ND,検出せず(<1.4)ND,―
1185,42438,42446,製造者Manufacturer,北海道Hokkaido,牛乳,牛乳Cow's milk,牛乳Milk,Ge,検出せず(<0.3)ND,検出せず(<0.6)ND,検出せず(<0.9)ND,―
1186,42438,42446,製造者Manufacturer,長野県Nagano,カレー,容器包装詰加圧加熱殺菌食品Food packed in containers and sterilized by pressurization and heating,一般食品General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25)ND,―
1187,42438,42446,製造者Manufacturer,宮城県Miyagi,スープ（チャウダー）,容器包装詰加圧加熱殺菌食品Food packed in containers and sterilized by pressurization and heating,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
1188,42438,42446,製造者Manufacturer,青森県Aomori,焼肉のたれ,たれLiquid seasoning,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<10)ND,検出せず(<25)ND,―
1189,42438,42446,販売者Seller,北海道Hokkaido,スープ（エダマメ）,豆類の加工品Bean product,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
1190,42438,42446,販売者Seller,東京都Tokyo,しょうゆ煮,その他の食品Other food,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<10)ND,検出せず(<25)ND,―
1191,42446,42447,加工者Processor,東京都Tokyo,鶏肉,食鳥肉Poultry meat,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
1192,42446,42447,加工者Processor,東京都Tokyo,豚肉,豚肉Pork,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
1193,42446,42447,選別包装者Grading packager,千葉県Chiba,鶏卵,鶏卵Poultry eggs,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
1194,42446,42447,選別包装者Grading packager,千葉県Chiba,鶏卵,鶏卵Poultry eggs,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
1195,42446,42447,選別包装者Grading packager,岩手県Iwate,鶏卵,鶏卵Poultry eggs,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<8)ND,検出せず(<25)ND,―
1196,42446,42447,製造者Manufacturer,岩手県Iwate,そうざい,その他のそうざい類Ready to eat food,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
1197,42446,42447,製造者Manufacturer,岩手県Iwate,ローストチキン,加熱食肉製品（加熱後包装）heated meat products (packed in package after being heat-sterilized),一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
1198,42446,42447,販売者Seller,神奈川県Kanagawa,ボロニアソーセージ,加熱食肉製品（包装後加熱）heated meat products (sterilized after being packed in package),一般食品General foods,NaI,検出せず(<11)ND,検出せず(<9)ND,検出せず(<25)ND,―
1199,42446,42447,製造者Manufacturer,兵庫県Hyogo,フランクフルトソーセージ,加熱食肉製品（加熱後包装）heated meat products (packed in package after being heat-sterilized),一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
1200,42446,42447,販売者Seller,静岡県Shizuoka,ベーコン,加熱食肉製品（加熱後包装）heated meat products (packed in package after being heat-sterilized),一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
1201,42445,42454,製造者Manufacturer,群馬県Gunma,牛乳,牛乳Cow's milk,牛乳Milk,Ge,検出せず(<0.7)ND,検出せず(<0.8)ND,検出せず(<1.5)ND,―
1202,42445,42454,製造者Manufacturer,北海道Hokkaido,牛乳,牛乳Cow's milk,牛乳Milk,Ge,検出せず(<0.4)ND,検出せず(<0.9)ND,検出せず(<1.3)ND,―
1203,42445,42454,製造者Manufacturer,北海道Hokkaido,成分調整牛乳,成分調整牛乳Composition modified milk,牛乳Milk,Ge,検出せず(<0.7)ND,検出せず(<0.6)ND,検出せず(<1.3)ND,―
1204,42445,42454,製造者Manufacturer,群馬県Gunma,牛乳,牛乳Cow's milk,牛乳Milk,Ge,検出せず(<0.8)ND,検出せず(<0.8)ND,検出せず(<1.6)ND,―
1205,42445,42454,製造者Manufacturer,静岡県Shizuoka,ナチュラルミネラルウォーター,ミネラルウォーター類Mineral water,飲料水Drinking water,Ge,検出せず(<0.6)ND,検出せず(<0.4)ND,検出せず(<1)ND,―
1206,42445,42454,販売者Seller,東京都Tokyo,ナチュラルミネラルウォーター,ミネラルウォーター類Mineral water,飲料水Drinking water,Ge,検出せず(<0.6)ND,検出せず(<0.6)ND,検出せず(<1.2)ND,―
1207,42445,42454,販売者Seller,東京都Tokyo,緑茶（清涼飲料水）,その他の清涼飲料水Other soft drink beverages,飲料水Drinking water,Ge,検出せず(<0.8)ND,検出せず(<0.7)ND,検出せず(<1.5)ND,―
1208,42445,42454,販売者Seller,東京都Tokyo,清涼飲料水,その他の清涼飲料水Other soft drink beverages,飲料水Drinking water,Ge,検出せず(<0.5)ND,検出せず(<0.5)ND,検出せず(<1)ND,―
1209,42445,42454,製造者Manufacturer,埼玉県Saitama,牛乳,牛乳Cow's milk,牛乳Milk,Ge,検出せず(<0.9)ND,検出せず(<0.6)ND,検出せず(<1.5)ND,―
1210,42445,42454,製造者Manufacturer,長野県Nagano,ナチュラルミネラルウォーター,ミネラルウォーター類Mineral water,飲料水Drinking water,Ge,検出せず(<0.7)ND,検出せず(<0.7)ND,検出せず(<1.4)ND,―
