X（m）,Y（m）,経度（度）,緯度（度）,津波高（最大）（m）
-62815,-195055,139.15142139,34.23976993,3.9418
-62805,-195055,139.15152995,34.23977053,4.0040
-62795,-195055,139.15163850,34.23977114,3.8960
-62685,-195055,139.15283257,34.23977777,3.8846
-62675,-195055,139.15294112,34.23977837,3.8295
-62665,-195055,139.15304967,34.23977898,3.7861
-62655,-195055,139.15315823,34.23977958,3.7739
-62645,-195055,139.15326678,34.23978018,3.7973
-62635,-195055,139.15337533,34.23978078,3.7406
-62625,-195055,139.15348388,34.23978138,3.7273
-62615,-195055,139.15359243,34.23978199,3.7141
-62605,-195055,139.15370099,34.23978259,3.6485
-62595,-195055,139.15380954,34.23978319,3.6820
-62585,-195055,139.15391809,34.23978379,3.6092
-62575,-195055,139.15402664,34.23978439,3.5761
-62565,-195055,139.15413519,34.23978499,3.5887
-62555,-195055,139.15424375,34.23978560,3.5812
-62545,-195055,139.15435230,34.23978620,3.5677
-64215,-195065,139.13622489,34.23959431,4.6081
-64205,-195065,139.13633344,34.23959493,4.5322
-64135,-195065,139.13709330,34.23959925,4.9290
-64125,-195065,139.13720185,34.23959987,5.0289
-64115,-195065,139.13731040,34.23960048,5.2161
-64105,-195065,139.13741895,34.23960110,5.3748
-64095,-195065,139.13752750,34.23960171,5.4402
-64085,-195065,139.13763606,34.23960233,5.6903
-64075,-195065,139.13774461,34.23960295,5.8825
-63065,-195065,139.14870832,34.23966466,4.2310
-63055,-195065,139.14881688,34.23966526,4.2384
-62835,-195065,139.15120502,34.23967857,3.9595
-62655,-195065,139.15315895,34.23968943,3.8436
-62645,-195065,139.15326750,34.23969003,3.9648
-62635,-195065,139.15337605,34.23969063,3.8322
-62625,-195065,139.15348461,34.23969123,3.8204
-62615,-195065,139.15359316,34.23969183,3.7461
-62595,-195065,139.15381026,34.23969304,3.8781
-62585,-195065,139.15391881,34.23969364,3.8329
-62565,-195065,139.15413592,34.23969484,3.8904
-62555,-195065,139.15424447,34.23969544,3.6944
-62545,-195065,139.15435302,34.23969604,3.5780
-62535,-195065,139.15446157,34.23969665,3.5705
-62525,-195065,139.15457013,34.23969725,3.5819
-62515,-195065,139.15467868,34.23969785,3.5936
-62505,-195065,139.15478723,34.23969845,3.6057
-64205,-195075,139.13633418,34.23950478,4.5658
-64125,-195075,139.13720259,34.23950971,4.9819
-64115,-195075,139.13731114,34.23951033,5.1212
-64105,-195075,139.13741969,34.23951095,5.2466
-64095,-195075,139.13752825,34.23951156,5.3781
-64085,-195075,139.13763680,34.23951218,5.5222
-64075,-195075,139.13774535,34.23951279,5.5649
-63065,-195075,139.14870905,34.23957450,4.3156
-63055,-195075,139.14881761,34.23957511,4.3299
-63045,-195075,139.14892616,34.23957572,4.3245
-62855,-195075,139.15098864,34.23958721,4.0226
-62845,-195075,139.15109719,34.23958781,4.0649
-62505,-195075,139.15478795,34.23960830,3.7234
-62495,-195075,139.15489651,34.23960890,3.8055
-62485,-195075,139.15500506,34.23960950,3.5824
-62475,-195075,139.15511361,34.23961010,3.6186
-62465,-195075,139.15522216,34.23961070,3.7221
-62455,-195075,139.15533071,34.23961130,3.6605
-64205,-195085,139.13633492,34.23941463,4.5993
-64095,-195085,139.13752899,34.23942141,5.3385
-64085,-195085,139.13763754,34.23942203,5.4131
