通番号,年度,番号,名称,位置,用途,敷地面積(m2),建築面積(m2),延べ面積(m2),駐車場等面積(m2),高さ(m),階数,公開空地(m2),有効公開空地(m2),用途地域,許可年月日,52条,55条,56道路,56隣地,58条,種別,人口,戸数,備考
439,2000,5,(仮)藤和東上野5丁目,台東区東上野5－31－3,共同住宅,964.94,555.78,10690.48,2977.32,64.8,19,447.66,752.5,商業,2000/6/9,●,,,●,,市,,107,
440,2000,6,(仮)新宿御苑タワー,新宿区新宿1－30－1外,共・店,1325.13,665.1,11999.4,4080.5,85.1,25,455.89,900.46,商業,2000/6/29,,,,●,,,,166,
441,2000,7,(仮)神保町再開発ビル(西棟・東棟),千代田区神保町1-43外,共・店・事,13445.78,7650,137920,29280,108.3,29,4204.65,8567.13,商業,2000/6/29,●,,,,,市,6000,330,地下鉄入口・中水
442,2000,8,(仮)ファミール月島,中央区佃2－4－1外,共同住宅,2255.48,1164.05,24856.27,5292.57,95.7,30,919.98,1505.71,商業・2住,2000/3/14,●,,,●,,都,,260,
443,2000,9,(仮)大井一丁目ビル,品川区大井1－3583－1外,事・共,3684.13,2432.39,29276.46,3409.56,72,14,1561.17,2151.12,商業・近商,2000/7/13,●,,,,,市,2000,40,
444,2000,10,(仮)渋谷プロジェクト,渋谷区渋谷1－19－1,共同住宅,6273.73,3369.25,53880.09,18087.42,119.95,34,3290.83,4922.83,2住,2000/7/13,●,,,●,,市,,365,
445,2000,11,(仮)友泉道玄坂ビル,渋谷区円山町4－3外,事・店,2954.76,1412.26,19426.5,1151.08,69.7,15,1260.92,1655.5,商業,2000/8/2,●,,,●,,,1400,0,交番
446,2000,12,(仮)青山第一マンションズ建替,港区赤坂8－120,共・事・店,2969.6,1963.38,26881.02,6128.21,87.3,22,1573.93,2063.41,2住・商業,2000/9/21,●,,●,●,,市,,56,
447,2000,13,六本木三丁目計画,港区六本木3－12－4外,事・共・店,5879.31,2830,62060,10146.17,138.46,27,2809.83,3977.74,商業,2000/10/18,●,,,●,,,3200,60,防災倉庫・中水・地下鉄入口
448,2000,14,(仮)西五反田三丁目Ａ地区区民住宅,品川区西五反田3－1－4,共同住宅,5778.08,2200,50368,17108,109,31,2823.81,3710.47,準工,2000/10/30,●,,,●,,市,,400,
449,2000,15,駒沢大学本校キャンパス総合設計整備計画,世田谷区駒沢1－3390外,大学,50147.38,19293.2,119956.18,3371,48.7,13,20807.87,25367.9,1中高・1低層・近商,2000/11/15,●,,,,,,17600,,
450,2000,16,(仮)武蔵小金井計画,小金井市本町6－1814－10外,共同住宅,4702.58,1657.09,15378.94,3575.89,42.78,13,1050.41,2113.07,1住,2000/12/7,●,,,,,市,,146,
451,2000,17,(仮)銀座一丁目マンション計画,中央区銀座1－211－1外,共同住宅,"2,938.76","1,202.21",26807.03,9178.91,94.6,25,1124.77,1848.52,商業,2000/12/6,,,,●,,,,184,
452,2000,18,(仮)青山ライズスクエア,港区南青山5－70－1外,事・店・共・診療所,"3,481.64","1,640.94",25020.81,2181.76,66.8,16,1290.18,1796.39,商業・2住,2000/12/27,●,,,●,,,1500,4,地下鉄入口
453,2000,19,(仮)南青山二丁目プロジェクト,港区南青山2－11－17外,事・店・共,"3,038.64","1,538.98",22596.46,2851.56,88,17,1528.91,1785.97,商業・2住,2000/12/26,●,,●,●,,,1200,12,
454,2000,20,(仮)丸の内1丁目街区(東京駅丸の内北口)開発計画,千代田区丸の内1-1-1外,事・店・ホテル・医療施設,"23,767.14","16,029.59",334694.58,32194.93,160,29,9088.32,12485.07,商業,2001/3/6,●,,,,,業,10000,,地冷・中水・地下鉄入口
455,2000,21,イヌイ建物(仮)勝どき1丁目計画,中央区勝どき1－1302外,事・共,"9,206.27","3,744.89",87169.24,20327.87,155.25,43,3914.8,5671.64,2住・商業,2000/3/6,●,,,●,,複,6100,512,
456,2000,22,(仮)東池袋2－38計画,豊島区東池袋2-24－1外,共同住宅,"1,726.85","1,016.04",18367.24,5549.76,92.95,26,694.66,97068,商業・1住,2001/5/7,●,,,●,,市,,230,
457,2001,1,(仮)淀橋第二小学校跡地土地信託ビル,新宿区西新宿1－23－3,事・店,"3,856,46","2,426,71",4451550,419852,9124,18,1420.7,230640,商業,2001/5/2,●,,,,,,2600,,地冷・防災倉庫
458,2001,2,(仮)武蔵小金井計画2,小金井市本町6-1814-10外,共同住宅,"6,337.20","2,521.09",2224357,545495,44.98,14,1478.18,312694,1住,2001/5/2,●,,,,,市,,182,
459,2001,3,明石町(二中跡地)計画,中央区明石町145-1,共住・介護老人保健施設,"4,874.52","2,253,88",2999682,476331,81.2,22,1279.92,1919.35,2住,2001/5/7,●,,,,,複,300,200,
460,2001,4,(仮)時事通信本社ビル計画,中央区銀座5-205-6,事・店・ホ-.ル,"3,158.43","2,194,25",2826808,222875,80,14,859.81,1544.82,商業,2001/7/18,●,,,●,,業,2800,,
461,2001,5,(仮)新宿7丁目計画,新宿区新宿7-353-1,共同住宅,"2,276.33","1,172.60",15314.2,5190,95.12,29,585.49,662.83,商業・1住,2001/9/4,,,,●,,,,144,
462,2001,6,(仮]代々木1丁目計画,渋谷区代々木1-22-1外,事,"1,858.76",929.35,11242.15,591.84,64.95,14,763.96,1672.3,商業・2住,2001/9/17,●,,,,,,800,,
463,2001,7,(仮)目黒ビル新築,品川区上大崎3-539-7外,事・共住,"1,612.20",894.94,13757.22,3802.11,73.35,22,624.59,793.39,商業・1住,2001/10/2,●,,,●,,市,180,136,
464,2001,8,(仮)港南四丁目共同住宅,港区港南4-1,共住・店,"1,852.00",663.12,17768.85,5002.05,84.5,24,1141.07,1702,1住,2001/10/15,●,,,●,,市,,308,
465,2001,9,(仮)高輪1丁目マンション計画,港区高輪1－59-7外,共住,"4,388.91","1,773.31",48516.31,16560.66,125.94,35,1814.51,2959.97,商業・1住,2001/11/12,●,,,,,都,,355,
466,2001,10,(仮)芝三丁目計画,港区芝3--2-131,共住,"2,324.82",755,23831.56,7790.38,114.2,33,943.84,184099,近商,2001/11/29,●,,,●,,市,,180,
467,2001,11,(仮)永田町2丁目ビル計画(398の変更),千代田区永田町2-29-3,事・共住・店,"8,156.92","3,478.87",76593.04,15283.25,157.94,38,4194.9,4161.03,商業,2001/12/4,●,,,●,,市,3070,125,防災倉庫中水・地下鉄出入口
468,2001,12,大崎5丁目マンション,品川区大崎5-50-1外,共住,"3,009.45","1,351.84",30653.89,10812.33,98.63,29,1337.64,2187.25,商業・準工,2001/12/10,●,,,,,都,,271,
469,2001,13,恵比寿ガ－デンプレイス(334の変更),目黒区三田1-247-2外,事・共住・店・物販,"82,365.31","33,131.26",479124.49,98612.6,167,40,34065.14,37474.85,商業・1住,2001/12/11,●,,,,,市,15000,"1,030",地冷・中水・都写美館
470,2001,14,(仮)クレストフォルム佃島計画,中央区佃2-215-1外,共住,"3,814.42","1,174.34",39838.78,10110.2,106.94,33,1912.74,2977.75,2住,2001/12/7,●,,,●,,都,,369,
471,2001,15,ライオンズステ-ジ大島,江東区大島8-59-1,共住,"8,381.17","4,070,80",32900,6333.99,98.2,30,2820.7,4043.7,準工,2002/1/9,●,,,,3,市,,287,
472,2001,16,麹町1丁目再開発ビル計画,千代田区麹町1-4-1外,事・共住,"2,143.27","1,558.34",23998.5,3337.8,67.6,15,616.36,1043.58,商業,2002/1/21,●,,●,●,,市,1050,26,
473,2001,17,南青山2丁目計画,港区南青山2-552-1外,共住,"3,262.84","1,350.00",23489,7489,83.02,23,1013.45,2041.28,2住・近商,2002/1/30,●,,,●,,市,,149,
474,2001,18,(仮)自治会館新築,千代田区飯田橋3-10-1外,事・店,"4,465.48","2,650.00",36900,4200,97.8,21,1450,2812,商業,2002/2/7,●,,,,,,1200,,中水・地下鉄出入口
475,2001,19,新宿区舟町計画,新宿区舟町6-2外,事・共住・店,"1,829.41",818.35,19472.14,5549.46,85.38,25,928.3,1099.61,商業,2002/2/8,●,,,●,,都,,162,
476,2001,20,三軒茶屋2丁目計画,世田谷区三軒茶屋2-226-1,事・共住・店・診療所,"4,878.91","2,675.00",34311.15,10678.86,70.5,20,1719.48,2837.94,1住・商業・近商,2002/3/19,●,,,,3,市,850,242,
477,2001,21,秋葉原3－2街区計画,千代田区外神田4-49,共住,"3,045.73","1,495.00",40448,10356,138.45,40,875.8,1499,商業,2002/3/25,●,,,●,,都,,327,
478,2001,22,浜松町一丁目プロジェクト,港区浜松町1-125-1外,事・共住・店,"2,227.13","1,211.00",24032.26,3507.03,94,20,1298.11,2057.59,商業,2002/3/4,●,,●,●,,市,1200,62,防災倉庫
479,2001,23,虎門琴平タワ-計画,港区虎ノ門1－43,事・神社,"3,647.30","1,838.00",29906.74,182342,115.2,26,1329,1397,商業,2002/5/17,●,,,●,,,1730,,
480,2002,1,赤坂一丁目計画,港区赤坂1-1101-11外,事・共住・店,"8,019.93","2,650.00",74640,16946.24,134.77,29,3753.24,4731.89,2住・商業,2002/5/22,●,,,●,,市,2600,84,地冷サブプラント、コジェネ施設、防災倉庫、集会所
481,2002,2,(仮)品川区西五反田三丁目集合住宅,品川区西五反田3-247-17外,共同,"2,940.83",880,13835.85,3839.22,75.35,23,1371.01,1953.98,2住,2002/6/14,●,,●,●,,市,,130,
482,2002,3,バンダイ新本社ビル,台東区駒形1-25-1,事・ミュージアム,"1,519.70",940.41,13430.05,1174.28,64,14,428.1,875.74,商業,2002/7/5,●,,●,●,,業,700,,
483,2002,4,(仮)港南3丁目プロジェクト,港区港南3-8-2,共同住宅,"6,886.45","2,487.81",77239.32,26978.09,136.95,40,3184.44,4581.09,準工,2002/7/12,●,,,●,,都,,590,
484,2002,5,東京ダイヤビル再開発計画,中央区新川1-302外,事・共住,"20,611.62","12,161.98",139866.46,20730.21,77.15,22,7441.74,10385.46,商業,2002/8/8,●,,,,,業,1800,102,地冷、中水
485,2002,6,(仮)天王洲計画,品川区東品川2-3-6外,共住・事,"1,531.41",759.47,12549.42,2335.99,81.65,23,592.23,1198.46,商業,2002/8/8,●,,,●,,市,100,129,
486,2002,7,(仮)九段南二丁目計画,千代田区九段南2-4-3,共住,"2,186.97","1,069.95",16873.66,6580.4,56.35,15,1162.17,841.12,2住,2002/9/11,●,,,●,,市,,63,コミュニティギャラリー
487,2002,8,(仮)池之端二丁目計画,台東区池之端2-16-1,共住,"3,179.41","1,323.89",36490.9,9257.2,137.5,38,1601,2305.55,商業・近商,2002/9/18,●,,,●,,市,,309,
488,2002,9,(仮)藤和東日暮里5丁目共同住宅計画,荒川区東日暮里5-42-5外,共住,"1,469.94",683.99,17891.75,4721.34,94.67,28,590.95,1103.21,商業・準工,2002/9/18,●,,,●,,市,,162,防災倉庫
489,2002,10,(仮)西五反田6丁目計画,品川区西五反田6-25-6,共住,"1,195.49",632,11892,3202,65.95,20,479.07,634.78,商業,2002/10/15,●,,,●,,市,,120,
490,2002,11,(仮)高輪一丁目開発計画,港区高輪1-305-1,共住・店,"9,051.54","3,613.32",81893.5,23701.5,153.9,47,4341.4,5775.36,1住・商業・近商,2002/10/24,●,,,,,都,50,604,防災倉庫
491,2002,12,(仮)東品川3丁目計画,品川区東品川3-4-1,共住,"10,694.71","5,343.88",59363.82,15143.85,103.06,31,5193.31,6849.41,準工,2002/11/12,●,,,,3,市,,501,防災倉庫
492,2002,13,(仮)有明一丁目プロジェクト,江東区有明1-5-13外,共住,"6,612.41","2,817.94",42262.94,12511.81,98.65,27,2751.53,3816.9,準工,2002/10/30,●,,,,,市,,398,
493,2002,14,(仮)新大橋リバーサイド計画,江東区新大橋1-15-1外,共住,"2,552.66","1,014.22",22656.29,6459.98,80.32,24,1513.71,2060.2,準工,2002/11/6,●,,,●,,市,,218,
494,2002,15,(仮)クレストフォルム港南三丁目,港区港南3-1-2,共住,"6,102.72","2,095.80",58776.94,14265.16,136.6,40,2453.65,3265.9,準工,2002/12/2,●,,,●,,都,,585,防災倉庫
495,2002,16,(仮)西新宿4丁目計画,新宿区西新宿4-370-13外,共住・店,"2,473.59",834.99,28727.48,9463.91,131.17,37,1368.87,2221.21,2住・商業,2002/11/26,●,,,●,,市,1000,262,
496,2002,17,(仮)萩中住宅建替計画,大田区萩中1-100-1,共住,"15,934.91","7,608.56",48818.28,10556.02,58.73,18,4247.2,6171.42,1住,2003/3/12,●,,,,,市,,534,
497,2002,18,(仮)Ｄ'グラフォート芦花公園,世田谷区粕谷2-1-4,共住,"6,317.59","3,150.79",23579.92,5403.18,42.24,14,2108.12,2958.1,1中高・2住,2002/12/11,●,,,,,市,,208,
498,2002,19,ライオンズタワー月島,中央区佃2-13-1外,共住・店・保育所,"4,742.25","1,730.53",39575.06,10974.5,114.2,32,2024.93,3358.42,2住,2002/12/18,●,,,●,,市,,281,
499,2002,20,(仮)赤坂2丁目ビル,港区赤坂2-905-1外,事・店,"2,231.60","1,256.75",14761.78,978.54,44,10,748.74,1267.69,商業,2002/12/27,,,●,●,,総,1500,,
500,2002,21,タイムズスクエアビル(NO296の増築),渋谷区千駄ヶ谷5-24-9外,百貨店,"19,281.26","12,777.83",173406.7,25352.29,82,14,9510.1,8112.8,商業,2003/1/23,●,,,,,総,153000,,地冷、中水、駅連絡路
501,2002,22,(仮)秋葉原ダイビル計画,千代田区外神田1-76-1,事,4181,2570,49680.36,3689.98,147.6,31,2619.77,3669.94,商業,2003/3/10,●,,,,,業,3300,,
502,2002,23,(仮)麻布十番2丁目計画,港区麻布10-2-21-1外,共住・店,1572.02,919.23,17508.99,4571.45,87,27,841.5,1036.58,商業,2003/2/3,●,,,,,市,80,174,地下鉄出入口
503,2002,24,(仮)鹿島ウエストビル,港区元赤坂1-325外,事・共住,2303.89,1037.15,20181.26,2430.34,80.26,21,860.85,1157.7,商業,2003/2/4,●,,,,,市,1100,51,
504,2002,25,(仮)品川区平塚3丁目マンション計画,品川区平塚3-722-1,共住,1807.31,1161.45,12097.59,3406.83,77.4,24,1010.96,1476.01,商業・準工,2003/3/24,●,,,,,市,,97,
505,2002,26,(仮)江原センター,中野区江原町1-53-2外,事,4732.81,2484.9,16362.21,1908.78,27,6,2232.8,3253.28,近商・１低,2003/4/11,●,●,,,,,2000,,
506,2002,27,イタリア文化会館,千代田区九段南2-4-2,文化会館、事・住宅,2586.86,1272.59,14787.25,1029.74,55.82,12,714.1,986.06,２住,2003/4/11,●,,,●,,,900,1,文化会館
507,2003,1,(仮称)蒲田三丁目共同住宅ビル,大田区蒲田3-22-2　外,共住、事,3348.52,1454.34,22919.39,6567.15,72.05,20,1689.6,2302.91,近商,2003/5/13,●,,,,●,市,,207,多目的ホール
508,2003,2,(仮称)ラクシア品川港南,港区港南3-6-2,共同住宅,2316.14,1105,18409.56,4513.16,78.1,22,799.14,1050.34,準工,2003/6/5,●,,,,,都,,162,
509,2003,3,(仮称)港区港南３丁目計画,港区港南3-9-1,共同住宅,4181.03,1608,43701.53,12556.5,112,32,2044.81,2841.79,準工,2003/6/5,●,,,,,都,,325,
510,2003,4,(仮称)港区芝浦二丁目計画,港区芝浦2-1-31外,共同住宅,4009.78,2032.1,41350,11294.02,104.74,29,1565.03,2650.15,準工,2003/6/11,●,,,,,都,1166,348,
511,2003,5,(仮称)クレッセント東京VIEW TOWER新築工事,江東区新大橋1-13-1外,共同住宅,2002.93,760.29,16940.84,4317.96,79,24,1070.86,1589.74,準工,2003/6/9,●,,,,,市,,165,防災用備蓄倉庫
512,2003,6,(仮称)UDXビル,千代田区外神田1-76-2 外,事務所、店舗,11547,8559,161676,29220,107,22,5692.7,7596.4,商業,2003/6/10,●,,,,,業,9000,,中水、コージェネ
513,2003,7,(仮称)大森プロジェクト,大田区大森北2-13-1外,共同住宅,8976.97,4831.42,69039.82,19130.77,78.9,25,4133.45,5239.43,準工,2003/6/30,●,,,,,市,,561,"集会所,防災倉庫"
514,2003,8,(仮称)市ヶ谷プロジェクト,千代田区九段北4-2-115,事、共住、駐車場,1983.53,1315,14658,1557,52.46,11,534.5,531.99,商業,2003/8/12,●,,●,,,市,992,22,
515,2003,9,(仮称)ライオンズガーデン北烏山,世田谷区北烏山6-1635-5外,共同住宅,13610.05,5202.85,36646.22,5288.02,96.2,29,4467.98,5627.93,1専、1中高、準住居,2003/8/28,●,,,,●,市,,366,
516,2003,10,東池袋三丁目住宅プロジェクト,豊島区東池袋3-3277-65外,共同住宅、店舗,3818.36,2012.32,46697.84,13287.19,136.7,38,1030.84,1696.9,商業,2003/8/28,●,,,,,都,,431,
517,2003,11,(仮称)代官山プラザ建替計画,渋谷区猿楽町216-11外,共住、店、診療所,1815.32,1081.8,11177.86,3052.76,57.92,16,374.92,622.85,2専、2中高、2住,2003/8/12,●,,●,●,,都,,73,
518,2003,12,港南4丁目住宅団地建設事業,港区港南4-14-1外,共同住宅,24316.38,10858,296998.3,110010,141.2,43,12929,14722.48,準工業,2003/8/11,●,,,,,都,,2161,
519,2003,13,東京ビル建替計画(T計画),千代田区丸の内2-3-2外,事務所、店舗等,18937.72,11555.07,272730.48,25420.55,164.1,33,6609.28,8065.55,商業,2003/9/16,●,,●,●,,業,5000,,地冷、鉄道施設接続
520,2003,14,(仮称)日比谷パークビル,千代田区有楽町1-1-1外,ホテル,4343.62,2171.34,59837,6955,112,24,1186.57,2461.52,商業,2003/9/16,●,,,,,業,1000,,中水、地冷、地下接続
521,2003,15,(仮称)御茶ノ水プロジェクト,千代田区神田駿河台4-2-4外,診療所、事、共住,1995.99,1035.45,15675.34,1826.22,73.2,17,643.89,1074.16,商業,2003/9/1,●,,,●,,市,790,18,
522,2003,16,(仮称)芝四丁目開発計画,港区芝4-136-1外,事、店舗、共住,8928.51,4900,106500,25478.3,125.5,36,3336.4,4981.4,商業,2003/9/16,●,,,●,,市,3500,752,
523,2003,17,(仮称)港南2丁目プロジェクト,港区港南2-7-16,共同住宅,1654.67,750.5,20625.84,5767.24,99.1,30,1132.99,1278.22,商業,2003/9/16,●,,,,,市,,255,災害用資機材収納庫
524,2003,18,虎４計画,港区虎ノ門4-24-9外,事、共住、店舗,10511,3933.78,98684.07,17792.3,153.47,41,6081.22,5980.63,商業、２住,2003/10/29,●,,,●,,市,2500,267,中水道施設
525,2003,19,(仮称)渋谷南プロジェクト,渋谷区渋谷3-12-21外,事務所,2434.71,1368.78,19895.2,1499.84,67.5,14,1212.89,1719.43,商業,2003/9/26,●,,,,,,1372,,
526,2003,20,(仮称)銀座イースト計画,中央区月島3-2718外,共住、老人ホーム,4714.75,2150.83,39835.46,7536.18,119,32,2234.43,3637.63,２住、商業,2003/10/28,●,,,,,市,250,275,
527,2003,21,(仮称)新木場第二センタービル・(仮称)木材会館,江東区新木場1-17-52外,事務所、店舗,15999.12,7353.34,69745.16,5194.83,59.99,13,4713.4,5563.7,準工,2003/10/31,●,,,,,,4500,,
528,2003,22,(仮称)Gプロジェクト,品川区西五反田3-185-1,事務所,8240.39,3311.31,48608.98,4398.22,126.5,25,2789.8,4219.9,2住、商業、準工,2003/11/18,●,,,,,,2000,,
529,2003,23,(仮称)玉川3丁目計画,世田谷区玉川3-1821-1外,共同住宅,2214.29,1100,24372.88,7198.15,93.05,27,691.68,1136.59,商業,2003/10/31,●,,,●,,市,,201,防災倉庫
530,2003,24,(仮称)秋葉原ダイビル計画,千代田区外神田1-76-1,事務所、集会所,4181,2559.75,50289.59,4329.53,147.48,31,2619.77,3669.94,商業,2003/12/5,●,,,,,業,3300,,
531,2003,25,(仮称)九段北プロジェクト,千代田区九段北1-12-2,事、共住、店舗,5821.03,2289.79,59050.71,9184.14,111.85,26,2580.54,3039.38,２住、商業,2003/12/5,●,,,●,,市,2500,124,
532,2003,26,三田三丁目計画,港区三田3-216-1外,事、共住、店舗,15206.2,5233.16,98503.15,15300.21,179.3,43,5382.29,4833.69,１中高、1住、2住、商業,2003/12/1,●,,,,,市,5500,126,
533,2003,27,QRメディアタワー(仮称),港区浜松町1-127-1外,事務所,1690.34,992.83,13643.45,877.9,59.55,13,667.26,1205.14,商業,2003/12/5,●,,,,,,600,,デッキ、EV、階段
534,2003,28,(仮称)柏谷一丁目12番開発計画P.J,世田谷区柏谷1-400-1外,共同住宅,4783.69,1992.68,15213.76,4379.96,30.25,10,1027.38,1688.98,１中高,2003/12/3,●,,,,,市,,132,
535,2003,29,(仮称)渋谷神泉計画,渋谷区神泉町1-7、1-10,事務所、店舗,2164.45,1155.7,16744.51,1161.65,64.43,14,1058.9,1483.46,商業,2003/12/22,●,,,,,,1350,,
536,2003,30,(仮称)オリックス秋葉原ビル,千代田区神田練塀町3-15,事、共住,1881.02,1170.4,20300.37,2812.87,84.6,19,367.73,687.26,商業,2004/3/1,●,,,,,市,980,73,
537,2003,31,南青山一丁目団地,港区南青山1-39-150の一部、250,共住、店、事外,6784.48,3800.38,72878,21158.56,172.39,46,3003.89,4025.92,１住、商業,2004/1/19,●,,,,,市,3260,540,図書館、保育園、グループホーム
538,2003,32,(仮称)三田１丁目計画,港区三田1-104-21,共同住宅,948.62,484.34,10103.32,2992.3,93,25,368.65,518.3,近商、商業,2004/1/21,●,,,,,市,,105,
539,2003,33,(仮称)用賀一丁目計画,世田谷区用賀1-7,共同住宅,6095.39,2433.56,10951.63,3981.03,14.85,4,1738.38,3322.04,１専,2004/4/9,●,●,,,,市,,76,
540,2003,34,(仮称)東品川シーサイドプロジェクト,品川区東品川4-50-4外,共同住宅,2523.55,1092,18709,5257.56,85.69,25,1608.19,2213.62,準工,2004/2/6,●,,,,●,市,,208,
541,2003,35,グローリオタワー六本木,"港区六本木7-145-2,145-3,146",共同住宅,1042.27,594.83,10017.84,3269.12,94.93,27,403.91,612.47,１住、近商,2004/2/17,●,,,,,都,,83,
542,2003,36,(仮称)神田美土代町計画,"千代田区神田美土代町7-1,6",事務所,3100.8,1440,30800,5002.07,98.9,20,1722.99,2197.27,商業,2004/4/9,●,,,●,,,1900,,
543,2003,37,(仮称)有明レジデンシャルタワー計画,"江東区有明1-6-9,6-35の一部",共同住宅,7744,3114.15,50003.58,15161.47,99.25,27,3716.13,4504.02,準工,2004/3/1,●,,,,,市,,413,
544,2003,38,(仮称)あだち新産業振興センター,足立区千住1-50-1,共住、事、店舗等,3947.57,2150.21,26557.69,3339.02,92.5,22,1400.98,2469.69,近商、商業,2004/3/1,●,,,,,市,,96,
545,2003,39,(仮称)御殿山マンション,品川区北品川4-303-93外,共同住宅,7448.07,2957.43,19079.43,6035.29,17.98,6,2149.31,2839.75,１専,2004/4/9,●,●,,,,市,,142,
546,2003,40,(仮称)富士ソフトABC秋葉原ビル計画,千代田区神田相生町外,事、店,4992,3150,58740,3950,146.89,31,3669.62,4082.68,商業,2004/4/23,●,,,●,,業,4000,,中水、防災倉庫
547,2003,41,港南3丁目タワー計画,港区港南3-6-4外,共同住宅,2317.49,1153.96,24656.9,7161.06,108.85,31,997.23,1502.64,準工,2004/4/9,●,,,,,都,,226,
548,2004,1,(仮称)パレステュディオ西新宿7丁目,新宿区西新宿7-27-2外,共同住宅、店舗,1541.14,859.49,19310.64,6389.35,104.4,32,503.13,627.35,商業,2004/5/31,●,,,,,市,,368,
549,2004,2,(仮称)グローリオタワー巣鴨,豊島区巣鴨4-257-25外,共同住宅,1697.37,659.31,17939.87,4577.35,99.24,29,687.84,1430.77,1住、近商、商業,2004/5/26,●,,,,,市,,184,集会施設、防災備品庫
550,2004,3,(仮称)新芝浦開発プロジェクト,港区港南1-6-1外,事、店、ホール,18165.3,9055.9,163745.29,11157.3,99.9,20,7308.01,9649.36,商業,2004/6/28,●,,,,,業,15750,,
551,2004,4,(仮称)TTPプロジェクト,港区芝浦4-1-69,共同住宅、店舗、保育所,11276.21,4300,99980,21215.68,167.3,47,5092.07,6947.05,準工,2004/7/6,●,,,,,市,,910,
552,2004,5,(仮称)東京駅八重洲口開発計画,千代田区丸の内1-54外,事、店、駅施設,19668.72,16512.1,356711.54,41185.94,205,43,6534.29,9071.15,商業,2004/8/23,●,,,,,業,18000,,中水道施設
553,2004,6,(仮)神宮前センチュリーマンション建替計画,渋谷区神宮前2-29-1,共同住宅,1572.6,740.24,12848.42,3812.11,74.1,22,478.45,882.13,２中高、２住,2004/7/23,●,,,,●,共,,114,
554,2004,7,(仮称)芝一丁目計画,港区芝1-124-1外,共同住宅,4874.57,1561.53,49998.53,11866.74,136.4,39,2494.73,3041.4,商業,2004/7/16,●,,,●,,市,,469,
555,2004,8,(仮称)四谷４丁目プロジェクト,新宿区四谷4-9-3外,共同住宅、店舗,2812.23,1444.36,29901.46,8416.79,96.78,29,1144.82,1950.06,商業,2004/10/5,●,,,,,市,,291,集会施設
556,2004,9,(仮称)山野学苑建替計画,渋谷区代々木1-53-5の一部外,専修学校、共同住宅,5116.46,2680.82,33879.14,6954.42,97.35,27,2690.2,3030.49,２住、商業,2004/10/13,●,,,,●,市,2270,159,博物館展示スペース、スタジオ
557,2004,10,(仮称)ＳＦ芝浦四丁目ビル新築工事,港区芝浦4-11-1,事務所、ホテル,5479.33,2395.38,35149.15,3644.1,92.9,17,3928.69,5103.94,商業、準工,2004/9/27,●,,,,,,2200,,
558,2004,11,(仮称)西池袋3丁目計画,豊島区西池袋3-21-2外,共同住宅、店舗,2738.04,1140.64,35661.98,8650.68,116.15,32,1130.76,2062.09,商業,2004/10/12,●,,,,,市,,403,
559,2004,12,(仮称)ダイアパレス飛鳥山新築工事,"北区滝野川1-66-1,66-6",共同住宅,2307.38,1260,19470.24,5931.79,65,19,567.15,888.42,商業、１中高,2004/10/13,●,,,,,市,,156,
560,2004,13,(仮称)飯田橋２丁目計画,千代田区飯田橋2-34,共同住宅、事務所,1315.82,501.7,11097.56,3221.76,91,25,390.41,743.44,商業,2004/10/27,●,,,,,市,30,99,
561,2004,14,赤坂五丁目ＴＢＳ開発計画,港区赤坂5-322-1外,事、店、劇場、共同住宅外,33095.74,14691.89,219274.55,30291.88,188.5,39,6744.97,7924.94,2住、近商、商業,2004/11/2,●,,,,,市,10000,134,地冷、地下鉄出入口、中水、備蓄倉庫、ELV
562,2004,15,(仮称)グランタワー目黒新築計画,品川区西五反田3-36-1外,共同住宅,2929.35,1151.72,31622.66,8096.24,98.95,30,1270.81,1771.39,商業、準工,2004/10/26,●,,,,,都,,357,
563,2004,16,(仮称)板橋区坂下2丁目計画,板橋区坂下2-15-1外,共同住宅,3975.58,1787.1,11734.28,1522.95,25.99,9,1107.45,1860.51,準工,2004/11/5,●,,,,,市,,133,
564,2004,17,(仮称)目白プロジェクト新築計画,豊島区高田3-593-2,共同住宅,3444.35,1552.05,18941.27,4836.62,71.27,21,1166.97,1712.29,準工,2004/12/15,●,,●,,●,市,,162,
565,2004,18,(仮称)東日カーライフグループ港南ビルプロジェクト,"港区港南1-5-8,9,10",事務所、共同住宅,3304.94,2011.12,31096.13,5430.24,84.55,20,1585.79,1656.93,商業,2004/12/24,●,,,,,市,1300,122,
566,2004,19,(仮称)中央区湊三丁目計画,中央区湊3-2-1外,共同住宅,2669.45,1159.18,31263.91,9908.4,98.75,29,1262.82,2027.93,商業,2005/1/18,●,,,,,都,,291,
567,2004,20,(仮称)新赤坂マンション再生計画,港区赤坂6-703外,共同住宅,1468.01,759.19,12334.38,3796.87,44.5,14,313.7,618.06,２住,2005/1/27,●,,●,,,共,,97,
568,2004,21,伊藤忠商事本社ビル,港区北青山2-141-2外,事、店、地下鉄出入口等,13073.32,4908.73,101748.83,11361.92,92.28,22,6889.6,3654.15,商業,2005/3/2,●,,,,,,5000,,備蓄倉庫、中水、地冷、地下鉄出入口
569,2004,22,(仮称)ＳＦ九段北一丁目ビル新築工事,千代田区九段北1-1-1,事務所、貸会議室,2353.89,1305.36,17789.12,909.84,75.15,15,1158.41,1963.74,商業,2005/2/18,●,,,,,,1100,,
