地区一覧（区市別時系列順）,,,"※

",「促」は市街地再開発促進区域、「再」は再開発等促進区を定める地区計画、「特」は都市再生特別地区。また、都市計画決定年月日の（）書きは市街地再開発事業の未都決地区の場合の高度利用地区等の都市計画決定告示日を示します。地区計画と都市再生特別地区については実際に再開発の内容に即して計画内容が定められた時点の告示日を記載しています。,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
  区市名,番号,地　区　名,施行者,施行区域,区域面積,,都市計画決定,事業認可,権利変換,工事完了公告,敷地面積,延べ面積,建蔽率,容積率,階数,主要用途,住宅建設の目標,,R5.10.31,
,,,,,（ｈａ）,※,年月日,年月日,期日,年月日,（㎡）,（㎡）,（%）,（%）,,,戸数,面積,の状況,
"千代田区
荒川区,8,ひぐらしの里西,組合,荒川区西日暮里二丁目８０番１号,0.3 ,,H12.12.20,H13.10.31,H15.3.19,H19.5.31,"1,765","22,256",69.2%,947.5%,地上25階／地下2階,住宅、店舗、事務所、医療施設、駐車場,162,"12,400",完了,
荒川区,9,ひぐらしの里中央,組合,荒川区西日暮里二丁目２５番１号,0.7 ,,H13.12.10,H15.2.5,H16.4.28,H20.2.29,"3,886","52,801",80.0%,1000.0%,地上40階／地下2階,住宅、店舗、事務所、公益施設、駐車場,210,"24,600",完了,
荒川区,10,ひぐらしの里北,組合,荒川区西日暮里二丁目２２・２３番,0.4 ,,H14.12.16,H15.10.22,H18.3.29,H21.10.20,"3,093","42,588",73.0%,997.0%,地上36階／地下2階,住宅、店舗、事務所、駐車場,160,"17,300",完了,
荒川区,11,南千住西口駅前,組合,荒川区南千住四・七丁目の各地内,0.8 ,,H15.11.25,H17.7.20,H19.1.17,H22.1.28,"3,096","32,652",70.0%,750.0%,地上29階／地下1階,住宅、商業施設、業務施設、公益施設、駐車場、駐輪場,180,"20,000",完了,
荒川区,12,三河島駅前南,組合,荒川区東日暮里六丁目及び西日暮里一丁目の各地内,0.5 ,,H20.6.10,H22.10.7,H23.9.27,H26.9.11,"3,807","36,680",51.0%,664.0%,地上34階／地下1階,住宅、商業施設、業務施設、駐車場、駐輪場,300,"27,000",完了,
荒川区,13,西日暮里駅前,組合,荒川区西日暮里五丁目地内,2.3 ,,R3.6.18,－,－,－,"12,340",-,-,-,-,-,"1,000","65,500",－,
荒川区,14,三河島駅前北,組合,荒川区西日暮里一丁目地内,1.5 ,,R3.6.21,R5.2.7,－,－,"約9,880","約91,297",約68%,約620%,地上43階／地下1階,住宅、商業・業務等、体育館、駐車場等,760,"75,700",事業中,
板橋区,1,成増駅北口,組合,板橋区成増二・三丁目の各一部,1.3 ,,S61.8.12,S61.11.12,S62.12.28,H2.9.13,"4,946","29,016",87.1%,478.0%,地上12階／地下3階（Ａ棟）,住宅、店舗、公益施設、業務施設、倉庫、駐車場,70,"5,900",完了,
,,,,,,,,,,H1.8.1,588,"2,722",53.9%,461.0%,地上9階／地下1階（Ｂ棟）,住宅、店舗、事務所、駐車場,,,,
板橋区,2,成増駅北口第二,個人,板橋区成増三丁目地内,0.6 ,促,H3.1.30,H5.5.18,H7.2.9,H9.3.18,"3,873","16,682",76.0%,394.0%,地上8階／地下2階,住宅、店舗、公益的施設、駐車場,－,－,完了,
板橋区,3,浮間舟渡駅前,組合,板橋区舟渡一丁目地内,0.5 ,,H10.9.10,H11.1.25,H12.3.8,H14.7.31,"4,054","23,280",54.8%,447.5%,地上30階／地下1階,住宅、店舗、保育園、医療施設、公益施設、駐車場,150,"16,000",完了,
板橋区,4,上板橋駅南口駅前東,組合,板橋区上板橋一・二丁目各地内,1.7 ,,H16.11.15,R3.3.26,R5.2.24,－,"約4,120（東街区）
約1,180（中街区）
約560（南街区）","約37,460（東街区）
約10,450（中街区）
約1,730（南街区）","約66%（東街区）
約61%（中街区）
約66%（南街区）","約599%（東街区）
約597%（中街区）
約273%（南街区）","地上26階／地下1階（東街区）
地上19階／地下1階（中街区）
地上5階（南街区）","店舗、住宅、駐車場（東街区）
店舗、住宅、駐車場（中街区）
店舗、事務所（南街区）",700,"62,000",事業中,
板橋区,5,上板橋駅南口駅前西,組合,板橋区上板橋一・二丁目各地内,0.5 ,,H16.11.15,－,－,－,－,－,－,－,－,－,,,－,
板橋区,6,大山町クロスポイント周辺,組合,板橋区大山町地内,0.7 ,,H29.10.10,R1.6.7,R2.6.29,－,"約3,104（A街区）
約425（B街区）
約353（C街区）
約1,233（D街区）","約27,554（A街区）
約1,832（B街区）
約698（C街区）
約9,743（D街区）","約57%（A街区）
約65%（B街区）
約63%（C街区）
約58%（D街区）","約598%（A街区）
約379%（B街区）
約180%（C街区）
約566%（D街区）","地上26階/地下1階（A街区）
地上8階（B街区）
地上3階（C街区）
地上25階/地下１階（D街区）","住宅、店舗、駐車場（A街区）
住宅、子育て支援施設、店舗（B街区）
店舗（C街区）
住宅、店舗、駐車場（D街区）",330 ,"34,190 ",事業中,
板橋区,7,板橋駅板橋口,個人,板橋区板橋一丁目地内,0.4 ,,H30.10.11,R1.8.23,R4.10.28,－,"3,860","51,190 ",約64%,約950%,地上34階／地下3階,住宅、商業、公益施設、駐車場,約390,"約25,000",事業中,
板橋区,8,板橋駅西口,組合,板橋区板橋一丁目地内,0.6 ,,H31.2.13,R4.7.29,－,－,"3,275(A街区)
540（B街区）","44,030(A街区)
1,465(B街区)","約60%(A街区)
約60%(B街区)","約950%(A街区)
約260%(B街区)","地上37階／地下2階(A街区)
地上6階(B街区)","住宅、店舗、公益施設、駐車場(A街区)
店舗、事務所(B街区)",370 ,"26,700 ",事業中,
板橋区,9,大山町ピッコロ・スクエア周辺,組合,板橋区大山町地内,1.3 ,,R4.3.31,R5.9.13,－,－,"約6,360(A街区)
約2,710(B街区)","約40,680(A街区)
約30,390(B街区)","約63%(A街区)
約54%(B街区)","約438%(A街区)
約750%(B街区)","地上28階/地下1階/塔屋1階(A街区)
地上28階/地下1階/塔屋1階(B街区)","住宅、店舗、駐車場(A街区)
住宅、店舗、駐車場(B街区)",560,"43,350",事業中,
練馬区,1,石神井公園駅北口,組合,練馬区石神井町二・三・四丁目の各一部,1.6 ,,S63.6.16,H8.7.22,H10.11.13,H14.3.12,"7,599","52,082",79.9%,502.3%,地上33階／地下2階　（1-1街区）,住宅、商業施設、業務施設、公益施設、駐車場,290,"30,000",完了,
,,,,,,,,,,H14.3.29,"1,115","4,287",79.6%,338.4%,地上４階／地下１階（1-2街区）,スポーツ施設,,,,
練馬区,2,大泉学園駅前,機構,練馬区東大泉一・四・五・六丁目の各一部,2.1 ,,H2.12.6,H7.12.13,H9.3.22,H13.11.22,"1,860","13,140",65.0%,569.0%,地上10階／地下2階(１街区),店舗、区民施設、区民ホール、業務施設、駐車場,150,"17,450",完了,
,,,,,,,,,,H14.11.18,"5,550","42,060",89.0%,550.0%,地上27階／地下2階(２街区),住宅、店舗、業務施設、駐車場,,,,
練馬区,3,練馬春日町駅西,組合,練馬区春日町三・五丁目の各一部,0.8 ,,H3.2.28,H5.1.7,H6.3.24,H8.6.25,"4,068","22,655",64.0%,449.0%,地上19階／地下1階,住宅、店舗、図書館、交番,100,"9,000",完了,
練馬区,4,大泉学園駅北口,組合,練馬区東大泉一丁目地内,0.8 ,,H23.4.4,H24.2.2,H24.9.28,H27.3.9,"5,110","37,820",80.0%,510.0%,地上27階／地下2階,住宅、商業施設、駐車場,150,"17,200",完了,
練馬区,5,石神井公園駅南口西,組合,練馬区石神井町三丁目地内,0.6 ,,R2.12.17,R4.9.16,－,－,"約3,082(北街区)
約525(南街区)","約30,240（北街区）
約2,700（南街区）","約70％（北街区）
約72％（南街区）","約700％（北街区）
約470％（南街区）","地上26階/地下2階（北街区）
地上9階（南街区）",住宅、店舗、公益施設　等,－,－,事業中,
足立区,1,綾瀬一丁目,組合,足立区綾瀬一丁目の一部,0.7 ,,S58.8.22,S59.2.15,S60.1.26,S62.3.18,"5,789","24,835",54.0%,396.0%,地上14階／地下1階,住宅、店舗、公的施設、駐車場,250,"16,700",完了,
足立区,2,北千住駅西口,組合,足立区千住二・三・四丁目及び千住旭町の各一部,2.6 ,,S62.1.23,H11.3.1,H13.2.27,H16.2.1,"10,349","80,438",69.7%,699.4%,地上13階／地下4階（第１街区）,店舗、公益施設、駐車場,140,"13,000",完了,
,,,,,,,,,,,"4,561","28,975",56.4%,483.4%,地上26階／地下3階（第２街区）,住宅、事務所、駐車場,,,,
足立区,3,竹ノ塚駅西口南,組合,足立区西竹の塚一・二丁目の各地内,0.9 ,,H6.4.19,H12.3.27,H14.6.12,H17.3.10,"6,003","37,307",70.0%,398.5%,地上27階／地下1階,住宅、店舗、公益施設、駐車場,200,"19,000",完了,
足立区,4,千住一丁目,組合,足立区千住一丁目地内,0.5 ,,H27.7.10,H28.4.13,H28.12.28,R3.1.15,"3,419 ","24,299 ",67.0%,479.0%,地上30階/地下1階,住宅、店舗、駐車場,180,"12,500 ",完了,
葛飾区,1,亀有駅南口,機構,葛飾区亀有三丁目の一部,2.3 ,,H1.7.5,H3.1.22,H4.1.23,H8.3.29,"8,100","65,500",78.0%,647.0%,地上14階／地下2階,住宅、商業施設、公益施設、駐車場（Ⅰ街区）,210,"17,500",完了,
,,,,,,,,,,,"2,300","14,600",79.0%,640.0%,,住宅、商業施設（Ⅱ街区）,,,,
,,,,,,,,,,,520,"3,450",68.0%,649.0%,,住宅、商業施設（Ⅲ街区）,,,,
葛飾区,2,金町六丁目,組合,葛飾区金町六丁目地内,1.2 ,,H14.2.8,H16.7.30,H18.3.2,H21.7.1,"9,301","79,563",75.0%,599.0%,地上41階／地下2階,住宅、店舗、公益施設、駐車場,420,"31,000",完了,
葛飾区,3,金町六丁目駅前,組合,葛飾区金町六丁目地内,0.4 ,,H22.3.25,H27.11.20,H30.2.7,R3.6.8,"2,656 ","25,323 ",69.1%,699.5%,地上21階／地下１階,事務所、住宅、店舗,180,"17,600",完了,
葛飾区,4,立石駅北口,組合,葛飾区立石四丁目及び七丁目各地内,2.2 ,,H29.6.6,R3.4.28,R5.6.30,－,"（西街区）7,130
（東街区）4,660","（西街区）84,580
（東街区）41,750","（西街区）68.0%
（東街区）70.0%","（西街区）800%
（東街区）700%","（西街区）地上36階/地下2階
（東街区）地上13階/地下3階","（西街区）住宅、店舗、駐車場、駐輪場
（東街区）業務、店舗、公益、駐車場、駐輪場",600 ,"61,500 ",事業中,
葛飾区,5,立石駅南口東,組合,葛飾区立石一丁目及び四丁目各地内,1.0 ,,R1.6.3,－,－,－,－,－,－,－,－,－,450 ,"42,000 ",－,
葛飾区,6,東金町一丁目西,組合,葛飾区東金町一丁目地内,3.0 ,,R1.11.8,R3.4.28,R4.8.28,－,"約24,755","約159,330",約75％,約451％,地上40階、地下1階,住宅、店舗、公益施設等,700 ,"88,900 ",事業中,
葛飾区,7,新小岩駅南口,組合,葛飾区新小岩一丁目地内,1.5 ,再,R3.8.10,R4.11.18,－,－,"約920（Ａ－１街区）
約280（Ａ－2街区）
約4,440（B街区）","約5,910（Ａ－１街区）
約1,880（Ａ－2街区）
約70,180（B街区）","約68%（Ａ－１街区）
約60%（Ａ－2街区）
約72%（B街区）","約590%（Ａ－１街区）
約600%（Ａ－2街区）
約1,100%（B街区）","地上9階／地下1階（Ａ－１街区）
地上12階／地下1階（Ａ－2街区）
地上39階／地下2階（Ｂ街区）","店舗、事務所、駐車場、駐輪場（Ａ－１街区）
店舗、事務所、駐輪場（Ａ－2街区）
住宅、店舗、事務所、駐車場、駐輪場（Ｂ街区）",549,"57,260",事業中,
葛飾区,8,立石駅南口西,組合,葛飾区立石一丁目地内,1.3 ,,R5.7.12,－,－,－,－,－,－,－,－,－,700,"66,100",－,
江戸川区,1,"亀戸・大島・小松川
（第１・２地区）",都,江戸川区小松川一・二・三丁目の各一部,2.8 ,,S50.8.15,S55.3.29,S55.12.20,S58.5.19,"8,300","19,300",20.0%,230.0%,地上14階（第１地区）,住宅,－,－,完了,
,,,,,,,,S58.3.30,H4.11.23,H5.2.19,2棟　5640,"7,300",70.0%,90～300%,地上6階（第２地区）,店舗、業務施設、工場,,,,
"江東区、
江戸川区",1,"亀戸・大島・小松川
（第３・４・５地区）",都,江東区亀戸九丁目、大島七･八･九丁目、東砂二丁目及び江戸川区小松川一・二・三丁目の各一部,95.8 ,,S58.11.30,"S59.7.11
S60.7.11
H1.7.11",（略）,（略）,"113棟　317,710","861,400",8～70%,15～530%,"最高地上33階
最低地下2階",住宅、店舗、工場、病院、診療所、社会福祉施設、公益施設、防災施設、神社、駐車場,"8,200","706,000",完了,
江戸川区,2,南小岩七丁目西,個人,江戸川区南小岩七丁目地内,0.5 ,,H23.8.26,H24.1.12,H24.6.1,H27.5.19,"3,240","32,110",68.0%,682.0%,地上29階／地下2階,住宅、商業施設、駐車場等,180,"20,900",完了,
江戸川区,3,南小岩六丁目,組合,江戸川区南小岩六丁目及び七丁目地内,1.3 ,,H26.10.24,H28.12.15,H30.12.21,"Ⅰ街区　R2.12.28
Ⅱ街区
　R4.3.18","Ⅰ街区　1,037
Ⅱ街区　2,905
Ⅲ街区　5,012
合計　8,954","Ⅰ街区　7,122
Ⅱ街区　29,148
Ⅲ街区　53,153
合計　89,423","Ⅰ街区　82%
Ⅱ街区　70%
Ⅲ街区　70%
合計　71%","Ⅰ街区　644%
Ⅱ街区　730%
Ⅲ街区　700%
合計　703%","Ⅰ街区　地上10階／地下－
Ⅱ街区　地上22階／地下1階
Ⅲ街区　地上33階／地下1階","Ⅰ街区　商業、駐車場
Ⅱ街区　商業、業務、住宅、駐車場
Ⅲ街区　商業、住宅、駐車場、公共駐輪場",400 ,"43,500 ",事業中,
江戸川区,4,平井五丁目駅前,組合,江戸川区平井五丁目地内,0.7 ,,H29.9.21,H30.11.14,R2.4.4,－,"3,720 ","44,200 ",60.0%,799.0%,地上29階／地下1階,住宅、店舗、保育所、駐車場　等,370 ,"41,000 ",事業中,
江戸川区,5,ＪＲ小岩駅北口,組合,江戸川区西小岩一丁目、三丁目、四丁目地内,2.0 ,,H30.7.30,R2.1.24,R3.8.2,－,"8,675 ","94,590 ",約79%,約799%,地上30階／地下1階,店舗等、住宅、保育所、駐車場,600 ,"63,400 ",事業中,
江戸川区,6,南小岩七丁目駅前,組合,江戸川区南小岩七丁目地内,1.5 ,,R5.10.10,－,－,－,－,－,－,－,－,－,－,－,－,
江戸川区,7,船堀四丁目,組合,江戸川区船堀四丁目地内,2.6 ,,R5.10.10,－,－,－,－,－,－,－,－,－,－,－,－,
八王子市,1,八王子駅北口,組合,八王子市旭町の一部,0.7 ,,H2.7.23,H3.8.23,H6.1.22,H9.2.23,"4,297","41,988",70.0%,848.0%,地上14階／地下3階,店舗、事務所、公益施設、駐車場,－,－,完了,
八王子市,2,八日町第２,組合,八王子市八日町の一部,0.8 ,,H3.8.21,H7.12.21,H12.8.11,H15.7.1,"6,700","51,210",53.0%,600.0%,地上28階／地下2階,住宅、店舗、事務所、美術館、変電所、駐車場,290,"28,000",完了,
八王子市,3,八王子駅南口,組合,八王子市子安町四丁目の一部,2.0 ,促,H5.3.18,H18.8.9,H19.11.8,H22.9.22,"10,300","99,800",80.0%,750.0%,地上41階／地下2階,住宅、店舗、業務施設、公共公益施設、駐車場,300,"35,000",完了,
立川市,1,立川基地跡地関連,機構,立川市緑町及び曙町二丁目の各一部,5.9 ,,H1.7.3,H2.12.11,H3.12.16,H14.3.29,"35,500","267,400", 60～ 70％,600～700％,地上12階／地下3階,住宅、店舗、事務所、ホテル、映画館、公益施設、地域冷暖房施設、駐車場,10,"1,400",完了,
立川市,2,立川駅南口第一,組合,立川市柴崎町三丁目及び錦町一丁目の各一部,0.6 ,,H1.7.3,H6.10.25,H8.3.21,H11.3.31,"3,442","30,234",84.0%,713.0%,地上10階／地下1階,店舗,－,－,完了,
立川市,3,立川駅北口西,組合,立川市曙町一・二丁目及び柴崎町二・三丁目の各地内,0.7 ,,H20.7.25,H23.5.12,H25.4.4,H28.7.29,"5,900","59,200",79.3%,693.1%,地上32階／地下2階,店舗、業務、住宅、駐車場等,290,"29,000",完了,
武蔵野市,1,武蔵境駅北口,組合,武蔵野市境二丁目の一部,0.5 ,,H2.12.6,H4.10.2,H6.3.29,H8.6.28,"2,110","12,800",70.0%,565.0%,地上11階／地下2階（第１街区）,店舗、商業施設、業務施設、公益施設、倉庫,18,"2,000",完了,
,,,,,,,,,,H7.11.10,550,"1,800",45.0%,330.0%,地上8階／地下1階（第２街区）,住宅、店舗,,,,
三鷹市,1,三鷹駅南口,個人,三鷹市下連雀三丁目地内,0.3 ,促,H1.11.6,H2.7.20,H3.4.10,H5.10.1,"2,755","20,466",77.3%,649.1%,地上14階／地下2階,店舗、事務所、文化施設、駐車場,－,－,完了,
青梅市,1,東青梅駅南口,組合,青梅市東青梅一丁目及び勝沼一丁目の各一部,0.5 ,,H1.6.16,H2.10.29,H7.4.23,H9.7.1,"2,604","14,669",64.1%,499.8%,地上16階／地下1階,住宅、商業施設、公益施設、駐車場,70,"8,000",完了,
青梅市,2,青梅駅前,組合,青梅市本町及び仲町各地内,0.5 ,,H31.4.1,R3.4.23,R5.2.23,－,"2,230","13,740",約83%,約496％,地上14階／地下1階,住宅、公益施設、店舗、駐車場等,110,"8,100",事業中,
府中市,1,府中駅南口第一,組合,府中市宮町一丁目１・２・３・１２・１４番,1.1 ,促,S57.12.2,H23.5.26,H25.9.26,H29.4.24,"6,731 ","57,059 ",83.7%,644.1%,地上15階／地下4階,住宅、店舗、公共公益施設、駐車場,300,"33,000",完了,
府中市,2,府中駅南口第二,組合,府中市宮町一丁目４１・４２番,1.7 ,,,H1.2.16,H4.12.30,H8.3.26,"11,942","92,065",78.8%,649.4%,"地上9階／地下3階（店舗棟）
地上13階／地下1階（業務棟）",店舗、事務所、駐車場,,,完了,
府中市,3,府中駅南口第三,組合,府中市宮町一丁目地内,1.0 ,,,H12.3.15,H13.11.29,H17.3.1,"7,266","63,605",81.5%,649.4%,地上28階／地下2階,住宅、店舗、事務所、駐車場,,,完了,
府中市,4,中河原駅北口,組合,府中市住吉町一・四丁目各地内,1.2 ,,S63.1.14,H1.1.25,H3.3.29,H7.2.1,"5,601","25,029",75.8%,357.5%,地上12階／地下1階,住宅、店舗、業務施設、公益施設、駐車場,80,"6,700",完了,
調布市,1,国領駅南,組合,調布市国領町三・四丁目の一部,1.5 ,,H6.6.30,H7.10.11,H10.3.13,H12.12.25,"7,692","41,448",79.4%,414.6%,地上16階／地下１階（第１街区）,住宅、店舗、公益的施設、駐車場,150,"13,400",完了,
,,,,,,,,,,H12.12.18,,,,,地上3階（第２街区）,,,,,
調布市,2,国領駅北,組合,調布市国領町二丁目の一部,1.5 ,,H8.8.2,H10.6.5,H13.3.25,H16.9.30,"8,283","45,288",78.0%,393.0%,地上34階／地下2階,住宅、店舗、公共公益施設、駐車場,200,"24,000",完了,
調布市,3,調布駅南第１,組合,調布市小島町二丁目の一部,0.5 ,,H14.2.6,H17.1.27,H17.12.5,H19.10.26,"3,400","24,468",67.1%,649.2%,地上11階／地下1階,店舗、業務施設、駐車場,－,－,完了,
調布市,4,調布駅北第１Ａ,組合,調布市小島町一・二丁目各地内,0.4 ,,H18.6.23,H23.10.14,H24.11.1,H27.6.5,"2,090","17,450",77.0%,645.0%,地上15階/地下1階,業務施設、商業施設、住宅、駐車場,100,"9,000",完了,
調布市,5,調布駅北第１Ｂ,個人,調布市小島町一丁目地内,0.2 ,,H18.6.23,H25.3.28,H26.2.21,H27.9.15,"1,915","15,116",79.7%,618.0%,地上10階／地下1階,商業施設、駐車場,,,完了,
調布市,6,調布駅南口東,組合,調布市布田四丁目地内,0.4 ,,H23.4.4,H24.3.23,H25.2.21,H27.3.20,"2,950","25,372",69.0%,599.0%,地上16階/地下1階,業務施設、商業施設、住宅、公益施設,160,"15,000",完了,
町田市,1,原町田,市,町田市原町田六丁目の一部,2.1 ,,S47.3.13,S52.12.28,S53.8.25,S55.10.24,"10,730","69,060",100.0%,700.0%,地上8階／地下3階,店舗、事務所、駅舎、駐車場,－,－,完了,
町田市,2,原町田三丁目,組合,町田市原町田三丁目の一部,0.7 ,,S61.3.17,S62.2.12,S62.12.15,H2.4.16,"3,610","22,720",75.0%,600.0%,地上13階／地下2階,店舗、ホテル、図書館,－,－,完了,
町田市,3,原町田四丁目,組合,町田市原町田三・四丁目の各一部,0.8 ,,S63.8.5,H2.12.25,H8.12.30,H11.10.29,"5,286","42,584",55.0%,650.0%,地上30階／地下3階,住宅、店舗、公益施設、倉庫、駐車場,290,"23,000",完了,
町田市,4,原町田六丁目,組合,町田市原町田六丁目の一部,0.5 ,,H6.6.30,H9.12.24,H12.3.31,H14.7.10,"2,000","15,372",85.0%,748.0%,地上8階／地下2階,店舗、公益施設,－,－,完了,
小金井市,1,武蔵小金井駅南口第１,機構,小金井市本町一・五・六丁目の各地内,3.4 ,,H14.9.27,H17.1.12,H18.1.28,H23.11.24,"10,290","54,971",71.0%,427.4%,地上7階／地下1階　（１－Ⅰ）,商業施設,200,"21,000",完了,
,,,,,,,,,,,"3,666","30,123",76.0%,591.0%,地上25階／地下1階　（１－Ⅱ）,住宅、商業施設、駐車場,,,,
,,,,,,,,,,,"4,194","12,969",76.0%,277.0%,地上5階／地下1階　（１－Ⅲ）,商業施設、業務施設、公益施設,,,,
小金井市,2,武蔵小金井駅南口第２,組合,小金井市本町六丁目地内,1.8 ,,H26.8.21,H27.8.21,H29.1.24,R2.5.31,"14,200","108,468",69.4%,511.7%,地上26階／地下2階,住宅、店舗、子育て支援施設、駐車場等,680,"66,800",完了,
小平市,1,小川駅西口,組合,小平市小川西町四丁目及び小川東町一丁目各地内,1.2 ,,H30.8.10,R2.4.17,R5.2.25,－,"5,045 ","40,300 ",70.0%,547.5%,地上27階／地下１階,住宅、店舗、業務・公益等、駐車場,220 ,"23,800 ",事業中,
東村山市,1,東村山駅西口,組合,東村山市野口町一丁目の一部,1.0 ,,H15.3.31,H16.4.7,H18.9.15,H21.7.9,"4,280","30,040",71.0%,449.0%,地上26階／地下1階,住宅、店舗、事務所、公益施設、駐車場,200,"18,600",完了,
国分寺市,1,西国分寺駅南口,機構,国分寺市泉町三丁目の一部,0.8 ,,S60.3.15,S61.10.24,S62.12.10,H2.11.29,"6,554","37,558",70.0%,495.0%,地上12階／地下2階,住宅、店舗、スポーツ施設、駐車場,110,"11,700",完了,
国分寺市,2,国分寺駅北口,市,国分寺市本町二丁目及び三丁目の各一部,2.1 ,,H2.3.30,H21.5.14,H25.2.20,H30.3.30,"（西街区）5,500","（西街区）57,400",（西街区）71.0%,700%,地上36階／地下3階（西）,住宅、店舗、公益施設、業務、駐車場,490,"40,400",完了,
,,,,,,,,,,,"（東街区）3,000","（東街区）36,000",（東街区）60.0%,750%,地上35階／地下2階（東）,住宅、店舗、駐車場,,,,
国分寺市,3,西国分寺駅東,機構,国分寺市泉町二・三丁目及び西恋ヶ窪一丁目の各一部,1.0 ,,H12.2.17,H14.9.11,H15.7.23,"（公益棟以外）
H18.8.31","8,300","41,900",70.0%,350.0%,地上24階／地下2階,住宅、商業施設、業務施設、公益施設、交番、駐車場,220,"21,800",完了,
,,,,,,,,,,"（公益棟）
H19.6.12",,,,,,,,,,
福生市,1,福生駅西口,組合,福生市大字福生字奈賀、本町地内,2.2 ,,R3.9.28,-,-,-,"6,300（北街区）
5,400（南街区）",－,－,－,－,－,－,－,-,
西東京市,1,田無駅北口,市,西東京市田無町二丁目の一部,2.3 ,,S49.12.25,H1.4.20,H2.10.16,H7.2.9,"12,326","83,984",78.0%,598.0%,地上17階／地下2階　,住宅、店舗、駐車場,200,"16,800",完了,
西東京市,2,ひばりが丘駅南口,機構,西東京市ひばりが丘一丁目の一部,0.7 ,,H2.3.30,H2.12.7,H3.2.28,H5.10.28,"5,342","28,081",68.7%,464.0%,地上12階／地下2階,住宅、店舗、駐車場,50,"3,300",完了,
西東京市,3,保谷駅南口,市,西東京市東町三丁目の一部,0.7 ,,H12.12.20,H16.10.22,H18.2.25,H22.10.26,"1,700","9,510",84.0%,450.0%,地上11階／地下1階（Ⅰ街区）　　　　　　　　　　　,住宅、店舗、駐車場（Ⅰ街区）,50,"5,200",完了,
,,,,,,,,,,H20.6.16,"1,900","7,950",84.0%,340.0%,地上5階／地下2階（Ⅱ街区）,店舗、公益施設、駐車場（Ⅱ街区）,,,,
狛江市,1,狛江駅北口第１,組合,狛江市元和泉一丁目及び中和泉一丁目,1.0 ,,H3.2.28,H5.3.24,H5.12.13,H7.10.2,"3,300","18,000",80.0%,450.0%,地上6階／地下2階,店舗、公益施設、駐車場,－,－,完了,
狛江市,2,狛江駅北口第２,組合,狛江市元和泉一丁目、中和泉一丁目及び和泉本町一丁目の各一部,0.2 ,促,H4.3.27,H8.6.28,H9.2.28,H10.10.30,"1,200","6,300",80.0%,450.0%,地上14階／地下1階,住宅、店舗、駐車場,60,"4,000",完了,
清瀬市,1,清瀬駅北口,市,清瀬市元町一丁目の一部,1.7 ,,S62.8.13,H2.6.5,H4.2.20,H7.3.30,"6,300","34,000",80.0%,450.0%,地上13階／地下2階,住宅、店舗、事務所、公益施設、駐車場,100,"8,600",完了,
多摩市,1,聖蹟桜ヶ丘駅南,機構,多摩市関戸一・四丁目の各一部,1.4 ,,H6.4.19,H8.4.5,H9.2.28,H11.9.17,"9,770","69,000",76.0%,573.0%,地上27階／地下3階,住宅、店舗、文化施設、駐車場,150,"16,000",完了,
