"日","曜日","主食","牛乳","副食","血や肉や骨や歯になるもの","体を動かす熱や力になるもの","からだの調子を整える","エネルギー_kcal","タンパク質_パーセント","脂質_パーセント","月","学校","GIS搭載用住所","マッチングレベル","経度","緯度","分類"
"21","水","上海焼きそば","牛乳","じゃこ入り茹で野菜（青菜）;マーラーカオ","いか;海老;豚肉;牛乳;ちりめんじゃこ;エバミルク;卵","油;中華めん;砂糖;小麦粉;でん粉","生姜;玉ねぎ;人参;筍;椎茸;キャベツ;ピーマン;小松菜","842","15.1","31","2","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"22","木","麦ご飯","牛乳","魚の照り焼き;お浸し;つみっこ","牛乳;ぶり;かつお節;鶏肉;だし削り節;豆腐","米;大麦;砂糖;小麦粉;ごま油;里芋","生姜;人参;チンゲンサイ;大根;白菜;しめじ;ねぎ","775","17.3","27.8","2","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"26","月","ガーリックライス","牛乳","タンドリーチキン;茹で野菜１;じゃが芋とベーコンスープ","牛乳;鶏肉;ヨーグルト;ベーコン","米;バター;油;ごま油;じゃがいも","にんにく;玉ねぎ;生姜;ﾄﾏﾄﾍﾟｰｽﾄ;もやし;人参;きゅうり;コーン缶;キャベツ;セロリー;小松菜","748","15.3","31","2","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"27","火","ご飯","牛乳","白身魚のチリソース;ラーパーツァイ;中華スープ２","牛乳;メルルーサ;豚肉;豆腐","米;でん粉;油;砂糖;ごま油","ねぎ;にんにく;生姜;白菜;人参;筍;椎茸;小松菜","763","16.4","25","2","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"28","水","黒砂糖コッペパン","牛乳","ポテトグラタン;ブロッコリーサラダ;野菜スープ（フリー２）","牛乳;鶏肉;海老;生クリーム;チーズ","黒砂糖パン;油;じゃがいも;小麦粉;バター;砂糖","玉ねぎ;マッシュルーム;パセリ;キャベツ;ブロッコリー;コーン缶;人参;セロリー;小松菜","747","16","33.3","2","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"29","木","ご飯","牛乳","すき焼き風煮物;海藻サラダ;ポンカン","牛乳;豚肉;焼き豆腐;うずら卵;海藻サラダ;わかめ","米;油;糸こんにゃく;砂糖;ふ","玉ねぎ;白菜;ねぎ;キャベツ;きゅうり;人参;コーン缶;ぽんかん","784","16.5","27.7","2","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"1","金","ちらし寿司（米90ｇ）","牛乳","鰆の西京焼き;菜の花のからし醤油かけ;すまし汁（フリー）;桃ゼリー","油揚げ;卵;のり;牛乳;鰆;味噌;だし削り節;豆腐;わかめ;アガー","米;砂糖;油;ジュース","椎茸;人参;筍;さやえんどう;菜花;小松菜;ねぎ","807","17.2","25.1","3","中学校","中野区中野4-8-2","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"4","月","ご飯","牛乳","いかのバター焼き;小魚と大豆のカリカリ揚げ;磯びたし（キャベツ・小松菜）;味噌汁（フリー）","牛乳;いか;大豆;田作り;のり;だし削り節;油揚げ;味噌","米;バター;でん粉;油;砂糖;ごま","生姜;キャベツ;小松菜;大根;玉ねぎ;えのきたけ;にら","732","16.4","22.1","3","中学校","中野区中野4-8-3","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"5","火","ぶどうパン","牛乳","洋風卵焼き;バジルポテト;ヌードルスープ","牛乳;鶏肉;卵;生クリーム","ぶどうパン;油;じゃがいも;ヌードル","玉ねぎ;人参;マッシュルーム;にんにく;キャベツ;生姜","722","16.6","29.4","3","中学校","中野区中野4-8-4","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"6","水","炒飯","牛乳","鶏肉の胡麻だれかけ;もやしの中華サラダ（軽井沢）;わかめスープ;（卵なし）","なると;卵;牛乳;鶏肉;味噌;だし削り節;豆腐;わかめ","米;大麦;油;ごま油;砂糖;ごま","ねぎ;生姜;もやし;きゅうり;人参","766","16.5","32.3","3","中学校","中野区中野4-8-5","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"7","木","ご飯","牛乳","肉豆腐;かぼちゃの含め煮;かぶときゅうりの浅漬け","牛乳;豚肉;豆腐","米;油;こんにゃく;砂糖;でん粉","生姜;にんにく;人参;玉ねぎ;しめじ;白菜;小松菜;かぼちゃ;かぶ;きゅうり;かぶ（葉）","743","15.2","22.3","3","中学校","中野区中野4-8-6","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"8","金","麦ご飯・ふりかけ","牛乳","ししゃものサクサク揚げ;コーンサラダ;;味噌汁（具だくさん）","かつお節;のり;牛乳;ししゃも;だし煮干;油揚げ;味噌","米;大麦;砂糖;ごま;小麦粉;でん粉;油;じゃがいも","コーン缶;キャベツ;きゅうり;人参;大根;ごぼう;ねぎ;小松菜","767","12.2","26.5","3","中学校","中野区中野4-8-7","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"11","月","二色サンド（ジャム・チーズ）","牛乳","ホワイトシチュー;カラフルサラダ;八朔（1/6切れ）","チーズ;牛乳;豚肉;生クリーム","食パン;ジャム;黒砂糖パン;油;じゃがいも;バター;小麦粉;砂糖","玉ねぎ;人参;マッシュルーム;パセリ;ブロッコリー;きゅうり;ピーマン;八朔","762","13.8","34","3","中学校","中野区中野4-8-8","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"12","火","赤しそご飯","牛乳","魚の菜種蒸し;わかめと野菜の和え物;吉野汁","牛乳;鮭;卵;わかめ;だし削り節;鶏肉;豆腐","米;大麦;油;マヨネーズ;砂糖;でん粉","しそ;しめじ;パセリ;キャベツ;きゅうり;人参;筍;ねぎ;小松菜","740","16.2","28.9","3","中学校","中野区中野4-8-9","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"13","水","味噌ラーメン","牛乳","大根サラダ;たこ焼きくん(2個）","豚挽き肉;なると;味噌;牛乳;たこ;桜海老;卵;青のり;かつお節","中華めん;油;ごま油;砂糖;じゃがいも;でん粉","にんにく;生姜;人参;筍;玉ねぎ;きくらげ;ねぎ;もやし;コーン缶;大根;きゅうり;キャベツ","704","13.8","31.1","3","中学校","中野区中野4-8-10","","139.66351618299","35.7076643503608","区立中学校標準献立表"
"14","木","ご飯","牛乳","鯖の照り焼き;もやしのごま酢和え;根菜汁（豆腐入り・芋なし）","牛乳;さば;油揚げ;だし削り節;豆腐","米;砂糖;ごま;ごま油;こんにゃく","もやし;人参;ごぼう;大根;しめじ;ねぎ","769","14.9","25.4","3","中学校","中野区中野4-8-11","","139.66351618299","35.7076643503608","区立中学校標準献立表"
"15","金","赤飯（60g＋35g）","牛乳","鶏の唐揚げ;きんぴら（ごぼう・人参・れんこん）;お祝い汁;苺","ささげ;牛乳;鶏肉;だし削り節;はんぺん;豆腐","米;もち米;ごま;でん粉;油;ごま油;砂糖","にんにく;生姜;ごぼう;人参;蓮根;筍;椎茸;ねぎ;さやえんどう;いちご","767","13.9","25.3","3","中学校","中野区中野4-8-12","","139.66351618299","35.7076643503608","区立中学校標準献立表"
"18","月","五目うどん","牛乳","桜蒸しパン;水菜とツナの和え物②","だし削り節;鶏肉;油揚げ;蒸しかまぼこ;牛乳;卵;生クリーム;まぐろ（油漬）","うどん;小麦粉;バター;砂糖;油","人参;大根;筍;ねぎ;桜の花塩漬;水菜;きゅうり","808","13.9","29.6","3","中学校","中野区中野4-8-13","","139.66351618299","35.7076643503608","区立中学校標準献立表"
"21","木","ご飯","牛乳","和風ハンバーグおろしソースがけ;茹で野菜２;味噌汁（ねぎ・わかめ等）","牛乳;豚挽き肉;鶏肉;卵;おから;だし削り節;油揚げ;わかめ;味噌","米;バター;でん粉;油;砂糖","玉ねぎ;人参;大根;キャベツ;きゅうり;ねぎ","727","14.4","27.6","3","中学校","中野区中野4-8-14","","139.66351618299","35.7076643503608","区立中学校標準献立表"
"22","金","ハヤシライス（大豆入り）","牛乳","じゃこ入りサラダ;清見オレンジ（1/4)","大豆;豚肉;牛乳;ちりめんじゃこ","米;大麦;油;じゃがいも;バター;小麦粉;砂糖","にんにく;玉ねぎ;人参;セロリー;ﾄﾏﾄﾋﾟｭｰﾚｰ;しめじ;グリンピース（冷凍）;キャベツ;きゅうり;清見オレンジ","831","12.3","25","3","中学校","中野区中野4-8-15","","139.66351618299","35.7076643503608","区立中学校標準献立表"
"10","火","ご飯","牛乳","鶏肉のスタミナ焼き;春雨サラダ（ハムなし）;包みワンタン","牛乳;鶏肉;豚挽き肉","米;砂糖;はるさめ;ごま油;ワンタンの皮","ねぎ;にんにく;キャベツ;きゅうり;人参;生姜;椎茸;筍;もやし;小松菜","773","15.8","25.4","10","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
