産業分類階層,大分類,中分類,分類名,東京都／総数（民営）／事業所数（事業所）,東京都／総数（民営）／従業者数（人）,東京都／総数（民営）／売上（収入）金額（百万円）,区部／民営／事業所数（事業所）,区部／民営／従業者数（人）,区部／民営／売上（収入）金額（百万円）,千代田区／民営／事業所数（事業所）,千代田区／民営／従業者数（人）,千代田区／民営／売上（収入）金額（百万円）,中央区／民営／事業所数（事業所）,中央区／民営／従業者数（人）,中央区／民営／売上（収入）金額（百万円）,港区／民営／事業所数（事業所）,港区／民営／従業者数（人）,港区／民営／売上（収入）金額（百万円）,新宿区／民営／事業所数（事業所）,新宿区／民営／従業者数（人）,新宿区／民営／売上（収入）金額（百万円）,文京区／民営／事業所数（事業所）,文京区／民営／従業者数（人）,文京区／民営／売上（収入）金額（百万円）,台東区／民営／事業所数（事業所）,台東区／民営／従業者数（人）,台東区／民営／売上（収入）金額（百万円）,墨田区／民営／事業所数（事業所）,墨田区／民営／従業者数（人）,墨田区／民営／売上（収入）金額（百万円）,江東区／民営／事業所数（事業所）,江東区／民営／従業者数（人）,江東区／民営／売上（収入）金額（百万円）,品川区／民営／事業所数（事業所）,品川区／民営／従業者数（人）,品川区／民営／売上（収入）金額（百万円）,目黒区／民営／事業所数（事業所）,目黒区／民営／従業者数（人）,目黒区／民営／売上（収入）金額（百万円）,大田区／民営／事業所数（事業所）,大田区／民営／従業者数（人）,大田区／民営／売上（収入）金額（百万円）,世田谷区／民営／事業所数（事業所）,世田谷区／民営／従業者数（人）,世田谷区／民営／売上（収入）金額（百万円）,渋谷区／民営／事業所数（事業所）,渋谷区／民営／従業者数（人）,渋谷区／民営／売上（収入）金額（百万円）,中野区／民営／事業所数（事業所）,中野区／民営／従業者数（人）,中野区／民営／売上（収入）金額（百万円）,杉並区／民営／事業所数（事業所）,杉並区／民営／従業者数（人）,杉並区／民営／売上（収入）金額（百万円）,豊島区／民営／事業所数（事業所）,豊島区／民営／従業者数（人）,豊島区／民営／売上（収入）金額（百万円）,北区／民営／事業所数（事業所）,北区／民営／従業者数（人）,北区／民営／売上（収入）金額（百万円）,荒川区／民営／事業所数（事業所）,荒川区／民営／従業者数（人）,荒川区／民営／売上（収入）金額（百万円）,板橋区／民営／事業所数（事業所）,板橋区／民営／従業者数（人）,板橋区／民営／売上（収入）金額（百万円）,練馬区／民営／事業所数（事業所）,練馬区／民営／従業者数（人）,練馬区／民営／売上（収入）金額（百万円）,足立区／民営／事業所数（事業所）,足立区／民営／従業者数（人）,足立区／民営／売上（収入）金額（百万円）,葛飾区／民営／事業所数（事業所）,葛飾区／民営／従業者数（人）,葛飾区／民営／売上（収入）金額（百万円）,江戸川区／民営／事業所数（事業所）,江戸川区／民営／従業者数（人）,江戸川区／民営／売上（収入）金額（百万円）,境界未定地域／民営／事業所数（事業所）,境界未定地域／民営／従業者数（人）,境界未定地域／民営／従業者数（人）,市部／民営／事業所数（事業所）,市部／民営／従業者数（人）,市部／民営／売上（収入）金額（百万円）,八王子市／民営／事業所数（事業所）,八王子市／民営／従業者数（人）,八王子市／民営／売上（収入）金額（百万円）,立川市／民営／事業所数（事業所）,立川市／民営／従業者数（人）,立川市／民営／売上（収入）金額（百万円）,武蔵野市／民営／事業所数（事業所）,武蔵野市／民営／従業者数（人）,武蔵野市／民営／売上（収入）金額（百万円）,三鷹市／民営／事業所数（事業所）,三鷹市／民営／従業者数（人）,三鷹市／民営／売上（収入）金額（百万円）,青梅市／民営／事業所数（事業所）,青梅市／民営／従業者数（人）,青梅市／民営／売上（収入）金額（百万円）,府中市／民営／事業所数（事業所）,府中市／民営／従業者数（人）,府中市／民営／売上（収入）金額（百万円）,昭島市／民営／事業所数（事業所）,昭島市／民営／従業者数（人）,昭島市／民営／売上（収入）金額（百万円）,調布市／民営／事業所数（事業所）,調布市／民営／従業者数（人）,調布市／民営／売上（収入）金額（百万円）,町田市／民営／事業所数（事業所）,町田市／民営／従業者数（人）,町田市／民営／売上（収入）金額（百万円）,小金井市／民営／事業所数（事業所）,小金井市／民営／従業者数（人）,小金井市／民営／売上（収入）金額（百万円）,小平市／民営／事業所数（事業所）,小平市／民営／従業者数（人）,小平市／民営／売上（収入）金額（百万円）,日野市／民営／事業所数（事業所）,日野市／民営／従業者数（人）,日野市／民営／売上（収入）金額（百万円）,東村山市／民営／事業所数（事業所）,東村山市／民営／従業者数（人）,東村山市／民営／売上（収入）金額（百万円）,国分寺市／民営／事業所数（事業所）,国分寺市／民営／従業者数（人）,国分寺市／民営／売上（収入）金額（百万円）,国立市／民営／事業所数（事業所）,国立市／民営／従業者数（人）,国立市／民営／売上（収入）金額（百万円）,福生市／民営／事業所数（事業所）,福生市／民営／従業者数（人）,福生市／民営／売上（収入）金額（百万円）,狛江市／民営／事業所数（事業所）,狛江市／民営／従業者数（人）,狛江市／民営／売上（収入）金額（百万円）,東大和市／民営／事業所数（事業所）,東大和市／民営／従業者数（人）,東大和市／民営／売上（収入）金額（百万円）,清瀬市／民営／事業所数（事業所）,清瀬市／民営／従業者数（人）,清瀬市／民営／売上（収入）金額（百万円）,東久留米市／民営／事業所数（事業所）,東久留米市／民営／従業者数（人）,東久留米市／民営／売上（収入）金額（百万円）,武蔵村山市／民営／事業所数（事業所）,武蔵村山市／民営／従業者数（人）,武蔵村山市／民営／売上（収入）金額（百万円）,多摩市／民営／事業所数（事業所）,多摩市／民営／従業者数（人）,多摩市／民営／売上（収入）金額（百万円）,稲城市／民営／事業所数（事業所）,稲城市／民営／従業者数（人）,稲城市／民営／売上（収入）金額（百万円）,羽村市／民営／事業所数（事業所）,羽村市／民営／従業者数（人）,羽村市／民営／売上（収入）金額（百万円）,あきる野市／民営／事業所数（事業所）,あきる野市／民営／従業者数（人）,あきる野市／民営／売上（収入）金額（百万円）,西東京市／民営／事業所数（事業所）,西東京市／民営／従業者数（人）,西東京市／民営／売上（収入）金額（百万円）,町村部／民営／事業所数（事業所）,町村部／民営／従業者数（人）,町村部／民営／売上（収入）金額（百万円）,西多摩郡／民営／事業所数（事業所）,西多摩郡／民営／従業者数（人）,西多摩郡／民営／売上（収入）金額（百万円）,瑞穂町／民営／事業所数（事業所）,瑞穂町／民営／従業者数（人）,瑞穂町／民営／売上（収入）金額（百万円）,日の出町／民営／事業所数（事業所）,日の出町／民営／従業者数（人）,日の出町／民営／売上（収入）金額（百万円）,檜原村／民営／事業所数（事業所）,檜原村／民営／従業者数（人）,檜原村／民営／売上（収入）金額（百万円）,奥多摩町／民営／事業所数（事業所）,奥多摩町／民営／従業者数（人）,奥多摩町／民営／売上（収入）金額（百万円）,島部／民営／事業所数（事業所）,島部／民営／従業者数（人）,島部／民営／売上（収入）金額（百万円）,大島支庁／民営／事業所数（事業所）,大島支庁／民営／従業者数（人）,大島支庁／民営／売上（収入）金額（百万円）,大島町／民営／事業所数（事業所）,大島町／民営／従業者数（人）,大島町／民営／売上（収入）金額（百万円）,利島村／民営／事業所数（事業所）,利島村／民営／従業者数（人）,利島村／民営／売上（収入）金額（百万円）,新島村／民営／事業所数（事業所）,新島村／民営／従業者数（人）,新島村／民営／売上（収入）金額（百万円）,神津島村／民営／事業所数（事業所）,神津島村／民営／従業者数（人）,神津島村／民営／売上（収入）金額（百万円）,三宅支庁／民営／事業所数（事業所）,三宅支庁／民営／従業者数（人）,三宅支庁／民営／売上（収入）金額（百万円）,三宅村／民営／事業所数（事業所）,三宅村／民営／従業者数（人）,三宅村／民営／売上（収入）金額（百万円）,御蔵島村／民営／事業所数（事業所）,御蔵島村／民営／従業者数（人）,御蔵島村／民営／売上（収入）金額（百万円）,八丈支庁／民営／事業所数（事業所）,八丈支庁／民営／従業者数（人）,八丈支庁／民営／売上（収入）金額（百万円）,八丈町／民営／事業所数（事業所）,八丈町／民営／従業者数（人）,八丈町／民営／売上（収入）金額（百万円）,青ヶ島村／民営／事業所数（事業所）,青ヶ島村／民営／従業者数（人）,青ヶ島村／民営／売上（収入）金額（百万円）,小笠原支庁／民営／事業所数（事業所）,小笠原支庁／民営／従業者数（人）,小笠原支庁／民営／売上（収入）金額（百万円）,小笠原村／民営／事業所数（事業所）,小笠原村／民営／従業者数（人）,小笠原村／民営／売上（収入）金額（百万円）
2,H,42,鉄道業,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…
2,H,43,道路旅客運送業,3865,38140,…,3518,32570,…,-,-,…,8,206,…,11,33,…,36,45,…,19,79,…,33,87,…,62,663,…,119,1755,…,107,619,…,21,1056,…,298,2890,…,180,1318,…,15,587,…,55,878,…,118,1381,…,54,721,…,149,2454,…,55,877,…,276,3798,…,419,2670,…,697,4975,…,241,3544,…,545,1934,…,-,-,…,319,5386,…,76,564,…,5,153,…,13,143,…,71,1617,…,2,15,…,6,372,…,9,235,…,10,42,…,31,383,…,7,148,…,6,73,…,15,242,…,10,194,…,5,52,…,3,157,…,3,6,…,3,8,…,10,61,…,4,27,…,8,121,…,5,31,…,5,397,…,3,4,…,2,52,…,2,113,…,5,176,…,28,184,…,4,94,…,2,60,…,-,-,…,2,34,…,-,-,…,24,90,…,8,23,…,5,13,…,-,-,…,3,10,…,-,-,…,5,20,…,5,20,…,-,-,…,11,47,…,11,47,…,-,-,…,-,-,…,-,-,…
2,H,44,道路貨物運送業,1986,27951,…,1567,22483,…,23,177,…,50,793,…,43,1112,…,33,333,…,28,248,…,23,206,…,64,707,…,134,2224,…,60,702,…,19,229,…,158,2060,…,70,1132,…,9,86,…,34,337,…,43,559,…,19,332,…,65,595,…,35,465,…,91,1593,…,74,1224,…,202,2710,…,80,1155,…,210,3504,…,-,-,…,383,5074,…,84,1121,…,13,200,…,4,119,…,16,289,…,24,327,…,25,374,…,8,75,…,32,380,…,19,217,…,3,29,…,6,68,…,14,125,…,18,303,…,5,83,…,5,75,…,5,38,…,7,97,…,13,216,…,8,92,…,5,71,…,29,428,…,3,17,…,6,33,…,8,48,…,17,204,…,6,45,…,36,394,…,18,298,…,10,216,…,5,70,…,-,-,…,3,12,…,18,96,…,6,40,…,3,15,…,-,-,…,2,11,…,1,14,…,5,23,…,4,21,…,1,2,…,5,23,…,5,23,…,-,-,…,2,10,…,2,10,…
2,H,45,水運業,141,2395,…,135,2349,…,13,353,…,37,493,…,41,739,…,2,158,…,-,-,…,5,188,…,3,22,…,9,86,…,5,26,…,1,57,…,4,30,…,-,-,…,-,-,…,-,-,…,-,-,…,1,3,…,2,13,…,1,6,…,-,-,…,1,4,…,3,22,…,1,68,…,6,81,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,6,46,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,6,46,…,3,22,…,-,-,…,-,-,…,2,14,…,1,8,…,1,3,…,-,-,…,1,3,…,-,-,…,-,-,…,-,-,…,2,21,…,2,21,…
2,H,46,航空運輸業,11,944,…,8,911,…,-,-,…,1,8,…,-,-,…,-,-,…,-,-,…,1,9,…,-,-,…,1,18,…,1,6,…,-,-,…,4,870,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,3,33,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,2,10,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,1,23,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…
2,H,47,倉庫業,124,1832,…,98,1490,…,4,65,…,7,119,…,9,245,…,2,8,…,-,-,…,1,1,…,2,11,…,16,320,…,-,-,…,-,-,…,16,247,…,1,7,…,1,21,…,1,1,…,5,55,…,-,-,…,2,6,…,1,3,…,4,137,…,1,1,…,13,121,…,2,45,…,10,77,…,-,-,…,25,339,…,4,16,…,1,3,…,-,-,…,1,2,…,1,2,…,1,2,…,1,10,…,2,5,…,1,59,…,1,2,…,1,4,…,-,-,…,2,12,…,-,-,…,1,51,…,-,-,…,-,-,…,-,-,…,1,2,…,-,-,…,-,-,…,1,6,…,2,11,…,1,34,…,1,115,…,2,3,…,1,3,…,1,3,…,1,3,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…
2,H,48,運輸に附帯するサービス業,478,5221,…,424,4720,…,31,321,…,111,1032,…,82,855,…,9,46,…,6,25,…,9,43,…,6,53,…,14,194,…,18,358,…,-,-,…,29,510,…,6,73,…,3,14,…,7,54,…,3,24,…,9,189,…,6,41,…,6,27,…,11,177,…,9,220,…,21,235,…,11,116,…,17,113,…,-,-,…,41,350,…,7,65,…,2,32,…,2,10,…,1,4,…,5,30,…,1,2,…,-,-,…,2,37,…,7,76,…,-,-,…,1,9,…,3,26,…,1,8,…,1,2,…,-,-,…,1,16,…,1,3,…,1,7,…,-,-,…,1,6,…,-,-,…,1,1,…,1,3,…,2,13,…,-,-,…,-,-,…,13,151,…,2,11,…,1,6,…,-,-,…,-,-,…,1,5,…,11,140,…,4,46,…,1,27,…,1,8,…,1,3,…,1,8,…,3,48,…,2,35,…,1,13,…,1,17,…,1,17,…,-,-,…,3,29,…,3,29,…
2,H,49,郵便業（信書便事業を含む）,6,417,…,4,39,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,1,4,…,-,-,…,-,-,…,1,21,…,-,-,…,-,-,…,-,-,…,2,14,…,-,-,…,2,378,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,1,251,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,1,127,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…
1,I,00,卸売業，小売業,122220,1605648,184869238,97293,1360899,177827272,6305,147771,53185546,8409,185261,31066429,5723,174569,38851253,4610,85980,5988117,2587,32159,2399625,6849,67052,4714536,3596,34104,2896631,3545,55594,3898054,3882,71219,10379130,2332,26825,1187909,5712,62500,5811355,5272,43764,1254000,4905,84782,5583588,2135,20641,979073,3470,26685,1011141,3596,42910,2097235,2616,22318,857085,1992,14254,513997,3354,32824,1215533,3742,30774,912547,5101,39778,1370828,3432,23866,640239,3994,32894,964323,134,2375,49098,23892,237493,6852200,3670,38226,1196729,1381,17188,727767,1494,14243,352775,763,7241,200091,920,7974,278868,1384,14353,571324,731,7934,278536,1236,12560,380560,2383,24668,610627,532,5085,101418,915,7979,200688,731,7240,188376,701,6243,144174,623,5462,122157,506,4792,196490,428,3056,72027,390,2755,70055,531,5071,105919,385,2749,44510,604,6422,162581,571,5097,123276,780,11861,306689,340,3607,71827,353,3473,94357,535,3953,66121,1005,8261,184259,1035,7256,189766,585,5273,163800,340,3488,130032,163,1503,31303,34,99,586,48,183,1878,450,1983,25966,261,978,12420,160,568,6706,8,22,365,53,217,2074,40,171,3276,44,165,x,42,157,x,2,8,x,115,640,x,113,635,x,2,5,x,30,200,3006,30,200,3006
2,I,50,各種商品卸売業,173,19377,24109254,156,19233,24099945,26,15552,22983205,22,496,120819,19,1599,676115,7,74,2984,3,219,11769,13,224,156433,4,36,1327,8,178,36368,7,487,77034,1,5,x,4,34,1803,6,34,1710,3,30,1302,3,12,290,-,-,-,3,71,7814,4,34,16248,1,4,x,1,1,x,6,45,1369,7,41,859,6,52,1987,2,5,x,-,-,-,16,132,x,5,46,3962,-,-,-,-,-,-,-,-,-,1,2,x,-,-,-,2,10,x,2,7,x,3,32,1114,-,-,-,1,11,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,16,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,8,x,-,-,-,1,12,x,1,12,x,1,12,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,I,51,繊維・衣服等卸売業,4917,78120,3897000,4685,76860,3860223,290,7679,301027,948,16736,991295,230,9305,540935,104,1598,59513,61,476,19780,888,9344,445895,286,2884,153785,77,3365,98265,124,2981,95199,122,1816,90863,56,567,19739,105,940,36139,705,13702,749382,44,357,13212,56,401,22609,88,909,91988,37,207,8201,87,1229,52736,44,191,x,57,336,15492,112,686,20379,69,324,7317,93,818,19796,2,9,x,227,1223,x,50,325,8915,8,78,3603,15,89,3042,9,54,893,8,52,x,15,63,1146,9,57,x,12,36,492,26,103,2047,5,19,238,7,34,159,6,67,4160,10,36,x,7,54,x,4,23,448,1,3,x,6,15,492,5,11,x,2,2,x,4,18,440,2,14,x,5,16,211,4,18,x,3,20,1465,-,-,-,4,16,394,5,37,x,3,34,217,1,30,x,1,3,x,1,1,x,-,-,-,2,3,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,x,1,2,x,-,-,-,1,1,x,1,1,x
2,I,52,飲食料品卸売業,7433,121385,22705441,6365,110535,21883713,343,5824,1748696,1601,28104,5997050,495,13931,4437814,284,4663,693666,129,866,205710,308,3408,450761,141,3042,1263670,246,5963,796337,208,9134,1839621,99,1687,223322,468,9034,2066145,177,1668,82578,205,6459,727833,96,1276,124634,137,1352,109145,175,1695,192705,124,835,82690,79,647,37408,164,2732,246875,211,1771,84320,342,3382,309208,123,1096,48433,209,1903,x,1,63,x,1009,10119,792655,174,1594,72512,61,771,125258,40,347,7450,33,228,33125,33,338,63079,82,845,45117,48,540,74705,69,1017,97484,76,668,34054,21,137,4415,32,227,9704,23,288,9781,23,233,13226,20,146,5828,23,600,94288,13,69,594,13,35,371,18,66,4785,27,162,2155,34,341,24603,20,303,18134,36,507,30834,9,106,5323,17,147,3352,19,104,1427,45,300,11049,59,731,29073,31,591,26174,24,529,23132,4,49,2969,3,13,72,-,-,-,28,140,2899,17,101,2423,9,32,x,1,4,x,1,1,x,6,64,2151,3,9,54,3,9,54,-,-,-,8,30,422,8,30,422,-,-,-,-,-,-,-,-,-
2,I,53,建築材料，鉱物・金属材料等卸売業,9276,158689,58289951,8073,149866,57643964,872,28767,15596679,1131,35174,14457351,686,26726,19865998,249,4761,849631,174,2295,399761,474,5531,804534,449,4188,392865,514,5944,725061,297,8702,2060295,96,836,46588,482,4202,306626,178,1101,54684,128,2140,462232,96,1217,80775,142,1035,196124,190,2078,208036,177,1489,230177,220,2136,186436,254,1948,x,232,1549,147646,429,3211,215054,257,1666,91139,345,2314,153880,1,856,x,1133,8338,621414,206,1756,156864,65,756,109320,38,199,17773,39,198,5986,45,467,7962,87,573,65966,46,384,23675,58,399,24750,84,492,27341,25,167,10606,40,353,29634,45,237,12617,29,203,14680,27,116,7343,15,123,6202,26,113,7040,19,88,4779,22,272,15562,19,68,1439,23,255,24073,36,334,12611,26,142,9964,28,107,2578,19,137,5785,29,187,6028,37,212,10837,70,485,24573,60,444,24081,47,387,22776,8,35,x,2,4,x,3,18,371,10,41,492,6,29,x,4,12,x,-,-,-,1,13,x,1,4,x,1,1,x,1,1,x,-,-,-,3,11,101,3,11,101,-,-,-,-,-,-,-,-,-
2,I,54,機械器具卸売業,11484,290220,36529770,9929,272004,35398128,1178,33802,6163202,994,39860,3464104,1107,69513,10384849,444,14111,1154606,471,9168,670337,776,12370,1026862,327,3580,287241,320,10753,1007107,658,21640,5188364,158,2387,200405,631,16240,2591368,290,3391,223261,309,9402,1342322,137,3823,277025,185,1949,168446,319,5887,403924,169,1649,129890,130,1257,65468,269,3289,225167,243,2024,136434,312,2549,118447,214,1313,63132,284,2006,103794,4,41,2371,1518,17896,1116365,332,3376,278756,154,1887,165014,56,1765,66151,47,660,34704,38,674,84382,96,1148,63302,44,293,23535,51,419,24485,145,887,32965,26,147,8573,52,376,15946,63,1056,69349,29,171,6097,37,232,12585,30,418,27050,23,122,7067,25,216,19181,38,276,10390,16,65,2581,25,189,8634,26,158,6674,59,2240,97487,24,139,5693,23,407,17483,18,116,2776,41,459,25504,37,320,15277,32,292,14992,26,257,14294,6,35,698,-,-,-,-,-,-,5,28,285,1,3,x,-,-,-,-,-,-,-,-,-,1,3,x,1,3,x,1,3,x,-,-,-,3,22,x,3,22,x,-,-,-,-,-,-,-,-,-
2,I,55,その他の卸売業,11320,185967,20609699,10074,175413,19894237,977,21999,5410494,1142,31539,4000756,708,21635,1975757,479,12849,1621697,385,9878,936332,1413,15661,1382296,511,6563,525288,287,5801,390554,364,7848,628681,155,4357,362799,341,2877,154315,310,3135,221927,419,7018,479686,157,1926,238267,217,1797,167654,299,4102,361503,225,2495,192995,181,1309,58188,264,3363,248913,274,1905,106645,395,2936,148339,286,1889,132508,278,2403,144814,7,128,3830,1216,10435,712238,209,1818,135575,104,1280,59589,60,365,19773,31,213,14027,40,317,10897,93,1947,197878,38,342,44204,55,305,9550,121,986,53740,28,178,11321,38,254,29727,29,164,4750,31,151,10964,40,183,6068,26,144,15228,23,154,11664,23,140,4463,19,98,4250,15,59,1535,38,270,10622,30,234,6743,25,250,6755,15,131,2735,15,109,20361,14,51,1214,56,292,18601,30,119,3224,25,108,3153,15,83,2599,6,17,533,2,5,x,2,3,x,5,11,71,4,10,x,2,6,x,-,-,-,1,3,x,1,1,x,-,-,-,-,-,-,-,-,-,1,1,x,1,1,x,-,-,-,-,-,-,-,-,-
2,I,56,各種商品小売業,348,51624,2510734,217,39375,2122374,15,2724,78316,7,4155,470456,5,143,5256,16,7099,359909,4,146,3595,5,741,78387,4,713,14877,14,1713,44065,7,1077,30968,2,515,x,10,1072,26917,12,1027,61008,17,5480,428995,3,89,2895,5,411,14784,12,3458,271962,6,849,16573,1,75,x,13,1919,32417,7,1054,26040,29,2133,75098,11,1479,31275,11,1245,29166,1,58,x,122,11665,371570,17,1184,25080,5,843,57993,8,1243,56347,3,109,2707,8,260,5067,7,581,24455,10,1183,20553,5,698,x,8,932,50851,3,508,10114,2,248,x,-,-,-,2,252,x,2,50,x,-,-,-,3,187,x,-,-,-,1,431,x,2,189,x,4,930,19047,6,445,x,5,608,18427,2,56,x,5,71,1232,7,81,x,7,576,15787,9,584,16790,7,567,x,4,231,6270,3,336,x,-,-,-,-,-,-,2,17,x,2,17,x,1,14,x,-,-,-,-,-,-,1,3,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,I,57,織物・衣服・身の回り品小売業,13355,93558,1959738,10380,75881,1697070,475,3764,101478,545,7988,182914,483,5544,109070,677,7373,226985,194,821,11148,667,3642,59678,329,2216,49725,372,2509,35348,338,1616,24287,389,2496,24608,445,1885,25574,769,4160,59869,1159,14114,533413,244,1451,12724,423,1724,24073,585,4343,80704,265,1035,13374,204,676,6881,265,1356,14250,340,1435,19854,476,2225,33856,347,1494,16315,322,1736,23230,67,278,7714,2872,17166,256269,392,2657,37254,209,1470,27437,357,2349,42757,63,231,3366,91,439,5876,88,489,7421,83,491,6830,152,848,12368,366,2710,43589,46,261,2628,80,267,3618,59,334,3597,56,217,2414,82,545,7499,79,233,1726,49,153,1436,33,122,838,39,273,3761,34,111,761,80,438,6125,91,601,10664,131,885,11697,24,193,2617,20,120,1599,49,212,2535,119,517,5857,103,511,6399,74,437,5995,31,126,x,41,305,4773,-,-,-,2,6,x,29,74,404,15,34,236,11,28,222,-,-,-,4,6,15,-,-,-,1,2,x,1,2,x,-,-,-,11,35,150,11,35,150,-,-,-,2,3,x,2,3,x
2,I,58,飲食料品小売業,24401,286486,4045134,18352,204047,2955811,728,9595,133514,758,7903,157211,675,10286,178164,874,12034,170862,462,4222,56638,818,7508,98951,646,5313,71686,710,8852,147726,767,7743,112234,459,6220,71264,1369,14327,297243,1310,14771,216263,678,8736,105777,522,5337,73254,858,9116,119725,762,9601,117171,673,6647,72921,473,4106,54829,841,9835,130039,918,11079,156738,1194,11764,164562,882,8098,100396,964,10787,145370,11,167,3274,5768,80508,1065234,787,12326,176764,288,4872,52167,342,3923,42892,206,2842,31812,254,2757,37947,355,4108,55499,178,2464,28576,302,4638,57858,497,8150,116768,138,1834,25152,238,3070,40530,184,2937,40312,203,2463,34222,160,2399,45015,123,1986,25881,83,887,11326,110,1108,17640,154,1795,20147,118,1217,12717,147,1842,22405,120,1448,17880,176,3754,47722,86,1613,25436,91,1420,19789,143,1685,23164,285,2970,35616,281,1931,24088,132,1120,13884,58,690,9551,31,304,3498,16,48,192,27,78,643,149,811,10204,90,382,4359,52,220,2860,6,16,x,19,113,x,13,33,344,17,80,1048,16,75,x,1,5,x,33,249,x,32,245,3256,1,4,x,9,100,x,9,100,x
2,I,59,機械器具小売業,7413,62668,3182940,4992,44223,2494386,194,4023,282510,115,1209,230511,148,3001,144004,180,2900,245437,80,678,17771,193,1108,40955,169,1148,41435,183,1893,85798,170,1538,76198,121,1438,x,398,2539,86460,413,2605,103448,122,2922,435047,127,623,17387,252,1786,66485,164,2798,142140,166,1054,18778,107,368,8066,257,1887,62410,337,2132,71689,437,2506,102163,266,1643,57587,391,2410,91701,2,14,x,2316,17932,676625,383,2972,106126,108,1011,53033,76,698,39220,61,549,25489,110,740,23713,129,1058,39436,64,533,21187,109,900,45072,238,2466,115522,49,456,8431,98,772,20372,75,407,11769,71,467,15388,49,357,10670,29,158,4842,57,400,11188,38,136,3562,60,432,13155,31,142,2903,61,411,12012,103,631,17061,67,792,32009,37,256,8791,53,290,7305,68,304,6903,92,594,21463,105,513,11929,65,352,10247,47,219,7621,14,112,2347,1,3,x,3,18,x,40,161,1682,25,97,881,15,60,616,1,2,x,6,21,x,3,14,76,4,7,24,4,7,24,-,-,-,11,57,777,11,57,777,-,-,-,-,-,-,-,-,-
