"年度","番号","受付日","建築物名称","建築主氏名","建築主住所","標識設置日","設計者事務所","設計者住所","施工者事務所","施工者住所","建築敷地地名地番","建築敷地住居表示","用途地域1","用途地域2","建築物用途","工事種別","建築物高さ(ｍ)","建築物階数","建築物構造","建築物基礎","敷地面積(㎡)","建築面積(㎡)","延べ面積(㎡)","工事着工予定","工事完了予定","表示用(ラベル)","経度","緯度","分類"
"6","9","2024/04/09 0:00:00","（仮称）鷺宮６丁目マンション","株式会社　鉄鋼新聞社","千代田区神田神保町1-101","2024/04/08 0:00:00","旭化成ホームズ株式会社　集合東京北一級建築士事務所","新宿区新宿4-1-6","旭化成ホームズ株式会社","千代田区神田神保町1-105","鷺宮6-825-47、48","鷺宮6-8","第一種低層住居専用地域","","共同住宅","新築","9.602","地上３階","S","杭基礎","451.39","310.1","749","2024/07/22 0:00:00","2025/02/26 0:00:00","6-9","139.628244637576","35.7237419816979","令和６年度"
"6","17","2024/04/23 0:00:00","５１９．中野区若宮３丁目　新築工事","タカマツハウス株式会社","渋谷区広尾1-1-39","2024/04/19 0:00:00","タカマツビルド株式会社　一級建築士事務所","神奈川県横浜市西区みなとみらい2-3-5　クイーンズタワーC棟　11F","タカマツビルド株式会社","神奈川県横浜市西区みなとみらい2-3-5　クイーンズタワーC棟　11F","若宮3-1283-4","若宮3-58-10","第１種低層住居専用地域","","一戸建ての住宅","新築","9.05","地上3階","木造","ベタ基礎","58.97","39.74","85.6","2024/06/06 0:00:00","2024/12/06 0:00:00","6-17","139.640521028246","35.7217856274031","令和６年度"
"6","15","2024/04/19 0:00:00","若宮３５６②２　新築工事","個人","個人","2024/04/15 0:00:00","わくわくスペース工房 二級建築士事務所","町田市原町田1-4-10-209","株式会社　オープンハウス・ディベロップメント","渋谷区渋谷3-12-18","若宮3-314-13","若宮3-56","第１種低層住居専用地域","","一戸建ての住宅","新築","9.2","地上3階","木造","ベタ基礎","63.4","36.07","96.82","2024/05/27 0:00:00","2024/10/27 0:00:00","6-15","139.640836885778","35.7213984880107","令和６年度"
"6","20","2024/05/02 0:00:00","若宮３５６②１","個人","個人","2024/05/01 0:00:00","株式会社　オープンハウス・ディベロップメント　渋谷 一級建築士事務所","渋谷区渋谷3-12-18","株式会社　オープンハウス・ディベロップメント","渋谷区渋谷3-12-18","若宮3‐314‐3","若宮3-56","第１種低層住居専用地域","","一戸建ての住宅","新築","8.225","地上3階","木造","ベタ基礎","65.99","38.13","104.26","2024/07/01 0:00:00","2024/12/25 0:00:00","6-20","139.64088379049","35.7214281392248","令和６年度"
"6","19","2024/04/30 0:00:00","個人","個人","個人","2024/04/26 0:00:00","一級建築士事務所　 有限会社　 L・DESIGN建築設計事務所","練馬区東大泉3-26-17","株式会社　素箱","杉並区荻窪4-32-5","丸山1-1939-7","丸山1-28","第１種低層住居専用地域","","一戸建ての住宅","新築","8.674","地上2階/地下1階","木造・鉄筋コンクリート造","ベタ基礎","90.31","62.82","115.85","2024/06/01 0:00:00","2024/12/15 0:00:00","6-19","139.655121812696","35.7262177118645","令和６年度"
"6","16","2024/04/19 0:00:00","中野区沼袋２ＭＨ計画","個人","個人","2024/04/16 0:00:00","株式会社　岡田大介建築計画事務所","八王子市片倉町440‐21","未定","","沼袋2-1551-3","沼袋2-32-10","近隣商業地域","","店舗、共同住宅","新築","12.19","地上3階","木造","ベタ基礎","108.54","81.79","243.87","2024/10/12 0:00:00","2025/05/31 0:00:00","6-16","139.662910770974","35.7227369034054","令和６年度"
"6","5","2024/04/03 0:00:00","沼袋・株式会社並木商会マンション　新築工事","株式会社　並木商会","中野区沼袋3-27-12","2024/03/28 0:00:00","髙松建設株式会社　東京本店　一級建築士事務所","港区芝4-8-2","髙松建設株式会社　東京本店","港区芝4-8-2","沼袋3-294-13","沼袋3-27","商業地域","","店舗・事務所・共同住宅","新築","26.5","地上8階","RC","杭基礎","312.63","280.36","1467.83","2024/07/31 0:00:00","2025/08/29 0:00:00","6-5","139.662941389219","35.7200921446804","令和６年度"
"6","8","2024/04/05 0:00:00","沼袋１２６Ⅱ③３　新築工事","個人","個人","2024/04/04 0:00:00","株式会社　オープンハウス・ディベロップメント　渋谷　一級建築士事務所","渋谷区渋谷3-12-18","株式会社　オープンハウス・ディベロップメント","渋谷区渋谷3-12-18","沼袋1-153-64、65","沼袋1-26","第一種低層住居専用地域","","一戸建ての住宅","新築","9.119","地上３階","W","べた基礎","73.94","42.23","119.8","2024/06/11 0:00:00","2024/10/16 0:00:00","6-8","139.665828037639","35.7204899836405","令和６年度"
"6","3","2024/04/02 0:00:00","（仮称）中野本町プロジェクトⅡ　新築工事","大東建託株式会社","港区港南2-16-1　品川イーストワンタワー","2024/03/26 0:00:00","大東建託株式会社　流通設計部　一級建築士事務所","港区港南2-16-1　品川イーストワンタワー","大東建託株式会社","北区赤羽2-51-3　NSビル　7F","本町5-36-1、2","本町5-44-3","第一種中高層住居専用地域","","共同住宅","新築","14.595","地上5階","RC","杭基礎","386.17","211.15","913.45","2024/06/01 0:00:00","2025/04/30 0:00:00","6-3","139.667562874563","35.6920117775031","令和６年度"
"6","13","2024/04/17 0:00:00","個人","個人","個人","2024/04/17 0:00:00","タマホーム株式会社　東京第二支店　一級建築士事務所","多摩市連光寺3-4-1","タマホーム株式会社","港区高輪3-22-9","弥生町5-31-18","弥生町5-13","第一種低層住居専用地域","","一戸建ての住宅","新築","8.926","地上３階","W","べた基礎","80.01","48.44","126.46","2024/06/20 0:00:00","2024/09/20 0:00:00","6-13","139.667998739805","35.6887388712133","令和６年度"
"6","2","2024/04/02 0:00:00","（仮称）中野本町プロジェクトⅠ　新築工事","大東建託株式会社","港区港南2-16-1　品川イーストワンタワー","2024/03/26 0:00:00","大東建託株式会社　流通設計部　一級建築士事務所","港区港南2-16-1　品川イーストワンタワー","大東建託株式会社","北区赤羽2-51-3　NSビル　7F","本町5-37-2、3","本町5-44-10","第一種中高層住居専用地域","","共同住宅","新築","14.69","地上5階","RC","杭基礎","581.9","323.07","1354.55","2024/06/01 0:00:00","2025/04/30 0:00:00","6-2","139.667997106201","35.692078851571","令和６年度"
"6","12","2024/04/15 0:00:00","(仮称)中野区弥生町4丁目計画新築工事","石原地所株式会社","大阪府大阪市北区大淀南2-2-9-4311","2024/04/12 0:00:00","株式会社　デルフィ建築設計","品川区大崎4-2-13-314","株式会社　アストライズ","埼玉県さいたま市大宮区桜木町4-419-8","弥生町4-36-14","弥生町4-34-7","近隣商業地域","","共同住宅・店舗","新築","13.96","地上5階/地下1階","RC","杭基礎","113.07","68.26","413.77","2024/06/10 0:00:00","2025/03/31 0:00:00","6-12","139.669046923352","35.6891053637064","令和６年度"
"6","4","2024/04/02 0:00:00","江古田１４３①　新築工事","個人","個人","2024/03/29 0:00:00","株式会社　オープンハウス・ディベロップメント　渋谷一級建築士事務所","渋谷区渋谷3-12-18","株式会社　オープンハウス・ディベロップメント","渋谷区渋谷3-12-18","江古田1-1285-4","江古田1-43","第一種低層住居専用地域","","一戸建ての住宅","新築","9.408","地上３階","W","べた基礎","67.88","38.92","99.36","2024/06/03 0:00:00","2024/11/09 0:00:00","6-4","139.670107094978","35.7261896127274","令和６年度"
"6","14","2024/04/18 0:00:00","個人","個人","個人","2024/04/15 0:00:00","フィットハウストゥエンティ―ンワン株式会社　二級建築士事務所","練馬区中村北4-5-13","株式会社　オープンハウス・アーキテクト","中野区中野4-10-2","松が丘2-2273-3の一部","松が丘2-13","第１種低層住居専用地域","","一戸建ての住宅","新築","9.217","地上3階","木造","ベタ基礎","66.99","39.74","110.48","2024/06/01 0:00:00","2024/11/30 0:00:00","6-14","139.670789995043","35.7215742296036","令和６年度"
"6","11","2024/04/15 0:00:00","中野区松が丘2-2254 長屋　新築工事","株式会社　中央宅建","東村山市青葉町1-27-6","2024/04/02 0:00:00","一級建築士事務所　長峰設計","武蔵村山市中央3-30-1","株式会社　中央宅建","東村山市青葉町1-27-6","松が丘2-2254-4、5の各一部","松が丘2-24-17","第一種低層住居専用地域","","長屋","新築","8.966","地上３階","W","べた基礎","199.1","91.41","222.32","2024/06/20 0:00:00","2025/01/20 0:00:00","6-11","139.671418505398","35.721894348187","令和６年度"
"6","7","2024/04/05 0:00:00","中野区松が丘２丁目３期","株式会社　エスケーホーム","新宿区西新宿2-6-1　新宿住友ビル　15F","2024/04/04 0:00:00","株式会社　エスケーホーム　一級建築士事務所","新宿区西新宿2-6-1　新宿住友ビル　15F","株式会社　ＹＡＺＡＷＡ　ＬＵＭＢＥＲ","立川市錦町6-11-25","松が丘2-70-15","松が丘2-32","第一種低層住居専用地域","第一種住居地域","一戸建ての住宅","新築","8.976","地上３階","W","べた基礎","73.36","43.99","105.81","2024/05/16 0:00:00","2024/11/30 0:00:00","6-7","139.672902894849","35.7232528114175","令和６年度"
"6","1","2024/04/01 0:00:00","個人","個人","個人","2024/03/27 0:00:00","株式会社　一条工務店　一級建築士事務所","練馬区谷原5-28-30","株式会社　一条工務店","江東区木場5-10-10","江古田1-255-3","江古田1-9","第一種低層住居専用地域","","一戸建ての住宅","新築","9.881","地上３階","W","べた基礎","81.03","51.28","122.77","2024/05/18 0:00:00","2024/10/25 0:00:00","6-1","139.673084467648","35.7261428118885","令和６年度"
"6","18","2024/04/23 0:00:00","昭和区民活動センター","中野区長　酒井直人","中野区中野4-8-1","2024/04/19 0:00:00","株式会社　エーシーエ設計　東京支社","千代田区神田須田町1-3-9　PMO神田万世橋　4F","未定","","中野6-13-1、43","中野6-16-20","第１種低層住居専用地域","","図書館その他これに類するもの （公民館・集会所）","新築","9.939","地上2階/地下１階","鉄筋コンクリート造","直接基礎","1200.69","477.57","1299.37","2025/01/06 0:00:00","2026/09/30 0:00:00","6-18","139.674949592985","35.7073388919852","令和６年度"
"6","10","2024/04/15 0:00:00","個人","個人","個人","2024/04/11 0:00:00","かね長桜建設株式会社","中野区中央3-22-5","かね長桜建設株式会社","中野区中央3-22-5","中央2－54－8","中央2－36－10","近隣商業地域","","店舗併用住宅","新築","12.4","地上4階","S","杭基礎","63.58","40.33","145.06","2024/07/01 0:00:00","2025/03/30 0:00:00","6-10","139.679897003637","35.7010373917254","令和６年度"
"6","6","2024/04/03 0:00:00","（仮称）中野区東中野１丁目計画　新築工事","株式会社　タスキ","港区北青山2-7-9　日昭ビル　2F","2024/03/29 0:00:00","株式会社　曽我建築設計事務所","千葉県船橋市高根台1-7-1","山岸建設株式会社","長野県岡谷市成田町2-6-15","東中野1-123-11、12","東中野1-9","第一種中高層住居専用地域","近隣商業地域","共同住宅","新築","12.6","地上5階","RC","杭基礎","101.61","72.05","348.59","2024/07/01 0:00:00","2025/07/01 0:00:00","6-6","139.683205968067","35.7015274081852","令和６年度"
"6","24","2024/05/08 0:00:00","（仮称）中野区大和町３丁目計画　新築工事","株式会社　セゾンリアルティ","千代田区有楽町2-7-1","2024/05/01 0:00:00","株式会社　スカイフィールドコーポレーション　一級建築士事務所","豊島区西池袋3-1-15　西池袋TSビル　2F","株式会社　スカイフィールドコーポレーション","豊島区西池袋3-1-15　西池袋TSビル　2F","大和町3-147-7、8、9","大和町3-7-2","近隣商業地域","","共同住宅","新築","13.79","地上5階","鉄筋コンクリート造","直接基礎","176.98","138.44","619.26","2024/07/01 0:00:00","2025/06/30 0:00:00","6-24","139.648276982393","35.7102534372006","令和６年度"
"6","23","2024/05/07 0:00:00","沼袋126Ⅱ③1　新築工事","個人","個人","2024/05/01 0:00:00","株式会社　オープンハウス・ディベロップメント　渋谷一級建築士事務所","渋谷区渋谷3-12-18","株式会社　オープンハウス・ディベロップメント","渋谷区渋谷3-12-18","沼袋1-153-5","沼袋1-26","第１種低層住居専用地域","","一戸建ての住宅","新築","9.38","地上3階","木造","ベタ基礎","67.65","37.26","100.5","2024/06/05 0:00:00","2024/11/08 0:00:00","6-23","139.665956308849","35.7205003566524","令和６年度"
"6","22","2024/05/02 0:00:00","株式会社　契成B","株式会社　契成","杉並区成田西2-1-11　C号棟","2024/04/26 0:00:00","旭化成ホームズ株式会社　集合第一一級建築士事務所","新宿区新宿4-1-6　JR新宿ミライナタワー22階","旭化成ホームズ株式会社","千代田区神田神保町1-105","江原町1-503","江原町1-22-5","第１種低層住居専用地域","","共同住宅","新築","9.597","地上3階","鉄骨造","杭基礎","360.44","256.52","623.8","2024/08/19 0:00:00","2025/04/18 0:00:00","6-22","139.67342691085","35.727106269572","令和６年度"
"6","21","2024/05/02 0:00:00","株式会社　契成A","株式会社　契成　","杉並区成田西2-1-11　C号棟","2024/04/26 0:00:00","旭化成ホームズ株式会社　集合第一一級建築士事務所","新宿区新宿4-1-6　JR新宿ミライナタワー22階","旭化成ホームズ株式会社","千代田区神田神保町1-105","江原町1-51-19","江原町1-7-11","第１種低層住居専用地域","","共同住宅","新築","9.61","地上3階","鉄骨造","杭基礎","421.88","305.95","722.15","2024/08/30 0:00:00","2025/05/20 0:00:00","6-21","139.675440449694","35.7289114744574","令和６年度"
"6","27","2024/05/09 0:00:00","個人","個人","個人","2024/05/07 0:00:00","一級建築士事務所　株式会社　宮嶋建築設計事務所","板橋区常盤台1-8-3","髙山木材株式会社","三鷹市下連雀5-1-32","鷺宮4-878-10","鷺宮4-16","第１種低層住居専用地域","","一戸建ての住宅","新築","9.631","地上3階","木造","ベタ基礎","75.69","44.71","109.82","2024/07/16 0:00:00","2024/12/30 0:00:00","6-27","139.632276039728","35.7234796568045","令和６年度"
"6","33","2024/05/14 0:00:00","（仮称）鷺宮４丁目　計画　新築工事","個人","個人","2024/05/10 0:00:00","積水ハウス株式会社　東京南シャーメゾン支店","渋谷区渋谷1-7-7　住友不動産青山通ビル　4F","積水ハウス株式会社　東京南シャーメゾン支店","渋谷区渋谷1-7-7　住友不動産青山通ビル　4F","鷺宮4-1049-5、6、7、8","鷺宮4-2-6","第１種低層住居専用地域","","共同住宅","新築","9.907","地上3階","鉄骨造","直接基礎","207.34","122.43","312.6","2024/10/01 0:00:00","2025/07/09 0:00:00","6-33","139.637143322166","35.7231962032124","令和６年度"
"6","25","2024/05/08 0:00:00","個人","個人","個人","2024/05/08 0:00:00","有限会社　アーキデポ","埼玉県富士見市東みずほ台2-6-11　萩元ビル302","ワイケイホーム株式会社","埼玉県朝霞市西原2-15-27","鷺宮4-1026-7","鷺宮4-4-20","第１種低層住居専用地域","","一戸建ての住宅","新築","9.553","地上3階","木造","ベタ基礎","85.52","50.45","136.48","2024/06/15 0:00:00","2024/10/15 0:00:00","6-25","139.637760086886","35.7239389698036","令和６年度"
"6","30","2024/05/13 0:00:00","中野区若宮107","株式会社　ヒロホーム","中野区東中野3-9-13","2024/05/11 0:00:00","株式会社　ヒロホーム","中野区東中野3-9-13","株式会社　ヒロホーム","中野区東中野3-9-13","若宮1-775-31","若宮1-7","第１種低層住居専用地域","","一戸建ての住宅","新築","8.845","地上3階","木造","ベタ基礎","49.5","31.81","84.32","2024/06/12 0:00:00","2024/10/11 0:00:00","6-30","139.648287391906","35.7169099941892","令和６年度"
"6","28","2024/05/09 0:00:00","CDZ52青和興業株式会社様邸　新築工事","青和興業株式会社","新宿区西新宿1-14-6","2024/05/07 0:00:00","パナソニックホームズ株式会社　東京一級建築士事務所","新宿区西新宿2-3-1　新宿モノリス11F","パナソニックホームズ株式会社　東京支社","新宿区西新宿2-3-1　新宿モノリス11F","沼袋4-1535-7","沼袋4-29-1","近隣商業地域","","共同住宅・店舗","新築","15.768","地上5階","鉄骨造","杭基礎","92.88","63.95","315.93","2024/11/19 0:00:00","2025/07/26 0:00:00","6-28","139.662675878016","35.7222879027833","令和６年度"
"6","32","2024/05/13 0:00:00","中野・有限会社高和商事マンション　新築工事","有限会社　高和商事","中野区中央5-31-2","2024/05/07 0:00:00","髙松建設株式会社　東京本店　一級建築士事務所","港区芝4-8-2","髙松建設株式会社　東京本店","港区芝4-8-2","中野3-115-21","中野3-33-9","商業地域","","店舗・共同住宅","新築","36.32","地上12階","鉄筋コンクリート造","杭基礎","227.68","166.15","1701.08","2024/12/02 0:00:00","2026/03/25 0:00:00","6-32","139.665269479882","35.7036200517089","令和６年度"
"6","29","2024/05/09 0:00:00","沼袋1丁目1棟現場　新築工事","ウィズ・コネクション株式会社","調布市布田1‐43-2 グレースメゾン谷中N-201","2024/05/07 0:00:00","株式会社　ライベスト　一級建築士事務所","渋谷区鶯谷町4-21 　エル・カーサ3-C","株式会社ライベスト","渋谷区鶯谷町4-21 エル・カーサ3-C","沼袋1‐153‐32、33","沼袋1‐26","第１種低層住居専用地域","","一戸建ての住宅","新築","9.293","地上3階","木造","ベタ基礎","56.94","37.26","92.94","2024/06/17 0:00:00","2024/10/17 0:00:00","6-29","139.666729557519","35.7205580479014","令和６年度"
"6","26","2024/05/09 0:00:00","中野区松が丘２丁目　新築工事","個人","個人","2024/05/02 0:00:00","株式会社　HALWORKS　一級建築士事務所","北区赤羽北1-7-1","株式会社　プロネット","神奈川県横浜市西区平沼1-3-17","松が丘2-2342-17","松が丘2-15","第１種低層住居専用地域","","一戸建ての住宅","新築","9.661","地上3階","木造","ベタ基礎","72.28","41.23","107.68","2024/06/15 0:00:00","2024/12/15 0:00:00","6-26","139.669560541748","35.7210613127505","令和６年度"
"6","31","2024/05/13 0:00:00","(仮称)中野１丁目プロジェクト　新築工事","中野１丁目プロジェクト合同会社","千代田区丸の内2-3-2","2024/05/13 0:00:00","株式会社　フォルム建築計画研究所","新宿区西新宿8-5-3","未定","","中野1-37-8","中野1-54","第１種中高層住居専用地域","","共同住宅","新築","11.44","地上4階","鉄筋コンクリート造","杭基礎","427.71","263.36","816.1","2024/09/02 0:00:00","2025/10/20 0:00:00","6-31","139.672688351842","35.7029874267644","令和６年度"
"6","35","2024/05/16 0:00:00","中野区鷺宮4丁目　新築工事","株式会社　良栄","新宿区西新宿6-14-1 　新宿グリーンタワービル","2024/05/14 0:00:00","株式会社　良栄　一級建築士事務所","新宿区西新宿6-14-1 　新宿グリーンタワービル","株式会社　良栄　","新宿区西新宿6-14-1　 新宿グリーンタワービル","鷺宮4-878-53","鷺宮4-16","第１種低層住居専用地域","","一戸建ての住宅","新築","8.979","地上3階","木造","ベタ基礎","74.55","43.91","118.45","2024/07/15 0:00:00","2024/12/15 0:00:00","6-35","139.632327792294","35.7234961480737","令和６年度"
"6","36","2024/05/17 0:00:00","個人","個人","個人","2024/05/14 0:00:00","株式会社　アークヒロ設計　一級建築士事務所","東村山市青葉町3-32-7","株式会社　松和建設","東村山市青葉町1-12-7","大和町3-210-24","大和町3-40-9","第１種低層住居専用地域","","一戸建ての住宅","新築","9.814","地上3階","木造","ベタ基礎","56.16","38.71","90.82","2024/07/25 0:00:00","2024/12/25 0:00:00","6-36","139.644264532582","35.7118995425765","令和６年度"
"6","37","2024/05/20 0:00:00","個人","個人","個人","2024/05/15 0:00:00","旭化成ホームズ株式会社　東京法人　一級建築士事務所","千代田区神田神保町1‐105","旭化成ホームズ株式会社","千代田区神田神保町1‐105","上高田1‐138-14","上高田1-36","第１種低層住居専用地域","","一戸建ての住宅","新築","9.778","地上3階","鉄骨造","杭基礎","102.88","71.24","149.89","2024/08/17 0:00:00","2025/01/10 0:00:00","6-37","139.674775828942","35.7094293863781","令和６年度"
"6","34","2024/05/15 0:00:00","（仮称）中野区弥生町計画","東急リバブル株式会社","渋谷区道玄坂1‐9‐5","2024/05/11 0:00:00","株式会社　オーエーシー設計　一級建築士事務所","品川区上大崎3‐9‐2","未定","","弥生町1‐8‐38他5筆","弥生町1‐31","近隣商業地域","","共同住宅","新築","12.63","地上5階","鉄筋コンクリート造","杭基礎","199.45","134.36","649","2024/08/16 0:00:00","2025/08/31 0:00:00","6-34","139.678666941107","35.6904059038526","令和６年度"
"6","40","2024/05/28 0:00:00","（仮称）ヴァローレ下井草　新築工事","株式会社　エイシンコーポレーション","北区滝野川5‐5‐5","2024/05/23 0:00:00","株式会社　司建築設計事務所","文京区音羽2‐11‐18‐502","新英興業株式会社","北区滝野川7‐47‐6","鷺宮6‐837‐7、12、838‐5、839‐1、6","鷺宮6‐4‐15","第１種低層住居専用地域","","共同住宅","新築","9.99","地上4階","鉄筋コンクリート造","直接基礎","1400.14","695.82","2629.82","2024/08/15 0:00:00","2025/09/30 0:00:00","6-40","139.628775362165","35.7236640885852","令和６年度"
"6","41","2024/05/29 0:00:00","中野区若宮3丁目　新築工事","株式会社　オンズ・コンフィアンス","千代田区神田紺屋町14","2024/05/28 0:00:00","株式会社　アトリエT．A　一級建築士事務所","神奈川県横浜市中区山下町112-3　ポートタワー盛徳602","株式会社　オープンハウスアーキテクト","中野区中野4-10-2","若宮3-345-6","若宮3-53","第１種低層住居専用地域","","一戸建ての住宅","新築","9.568","地上3階","木造","ベタ基礎","47.73","29.54","70.04","2024/07/15 0:00:00","2024/11/30 0:00:00","6-41","139.641155825774","35.7199497998286","令和６年度"
"6","39","2024/05/27 0:00:00","個人","個人","個人","2024/05/24 0:00:00","シオン建築設計","西多摩郡瑞穂町石畑207-6","株式会社　オープンハウス・アーキテクト","中野区中野4-10-2","松が丘2-4-7","松が丘2-3","第１種低層住居専用地域","","一戸建ての住宅","新築","9.926","地上3階","木造","杭基礎","73.13","51.18","131.03","2024/08/01 0:00:00","2025/01/31 0:00:00","6-39","139.669630271995","35.7190240838633","令和６年度"
"6","38","2024/05/23 0:00:00","（仮称）中野区弥生町2丁目計画　新築工事","住協建設株式会社","埼玉県狭山台4-27-38","2024/05/21 0:00:00","株式会社　朝倉崇夫都市建築設計事務所","神奈川県横浜市中区弁天通2-29","住協建設株式会社 東京本店","渋谷区代々木2-11-17","弥生町2-29-8、9、14、15、17、18、23、26","弥生町2-31","第１種住居地域","商業地域","共同住宅、店舗","新築","35.6","地上12階","鉄筋コンクリート造","杭基礎","530.67","310.08","2499.4","2024/09/01 0:00:00","2026/04/30 0:00:00","6-38","139.674145768676","35.6913006242888","令和６年度"
"6","44","2024/06/03 0:00:00","中野区若宮2-441長屋（西棟）　新築工事","株式会社　中央宅建","東村山市青葉町1-27-6","2024/06/01 0:00:00","一級建築士事務所　長峰設計","武蔵村山市中央3-30-1","株式会社　中央宅建","東村山市青葉町1-27-6","若宮2-441-7の一部","若宮2-38","第１種低層住居専用地域","","長屋","新築","9.103","地上3階","木造","ベタ基礎","163.79","94.81","245.19","2024/08/20 0:00:00","2025/03/20 0:00:00","6-44","139.643118407977","35.7172572192359","令和６年度"
"6","43","2024/06/03 0:00:00","中野区若宮2-441長屋（東棟）　新築工事","株式会社　中央宅建","東村山市青葉町1-27-6","2024/06/01 0:00:00","一級建築士事務所　長峰設計","武蔵村山市中央3-30-1","株式会社　中央宅建","東村山市青葉町1-27-6","若宮2-441-7の一部","若宮2-38","第１種低層住居専用地域","","長屋","新築","9.103","地上3階","木造","ベタ基礎","163.87","94.81","245.19","2024/08/20 0:00:00","2025/03/20 0:00:00","6-43","139.643208682297","35.7172535987772","令和６年度"
"6","45","2024/06/03 0:00:00","丸山２２３Ⅱ②１　新築工事","個人","個人","2024/05/31 0:00:00","松田建築設計事務所","神奈川県横浜市戸塚区平戸町176","株式会社　オープンハウス・ディベロップメント","渋谷区渋谷3-12-18","丸山2-2021-15","丸山2-23","第１種低層住居専用地域","","一戸建ての住宅","新築","9.263","地上3階","木造","ベタ基礎","60.39","33.07","98.53","2024/08/26 0:00:00","2025/01/26 0:00:00","6-45","139.650949272952","35.7247570056632","令和６年度"
"6","42","2024/05/30 0:00:00","個人","個人","個人","2024/05/29 0:00:00","旭化成ホームズ株式会社　東京北　一級建築士事務所","豊島区東池袋1-24-1","旭化成ホームズ株式会社","千代田区神田神保町1-105","野方4-917-24","野方4-9-10","第１種低層住居専用地域","","共同住宅","新築","9.597","地上3階","鉄骨造","布基礎","200.44","123.51","327.14","2024/08/20 0:00:00","2025/04/08 0:00:00","6-42","139.656397033118","35.7193823494271","令和６年度"
"6","47","2024/06/06 0:00:00","（仮）若宮１丁目計画　新築工事","株式会社　中央宅建","東村山市青葉町1-27-6","2024/06/04 0:00:00","エム．デザインオフィス","埼玉県新座市あたご3-2-21","株式会社　中央宅建","東村山市青葉町1-27-6","若宮1-565-6","若宮1-4-7","第１種低層住居専用地域","","共同住宅","新築","9.94","地上3階","木造","ベタ基礎","105.35","61.21","182.61","2024/08/01 0:00:00","2025/02/20 0:00:00","6-47","139.64737492877","35.7164969158168","令和６年度"
"6","46","2024/06/06 0:00:00","個人","個人","個人","2024/06/03 0:00:00","三井ホーム株式会社　東京支社　一級建築士事務所","新宿区西新宿2-1-1","三井ホーム株式会社　東京建設事業部","新宿区西新宿2-1-1","沼袋1-100-11","沼袋1-18-4","第１種低層住居専用地域","","一戸建ての住宅","新築","9.669","地上3階","木造","直接基礎","66.65","35.45","92.07","2024/10/01 0:00:00","2025/03/15 0:00:00","6-46","139.668531081372","35.7194811796543","令和６年度"
"6","48","2024/06/13 0:00:00","丸山223Ⅱ②2  新築工事","個人","個人","2024/06/11 0:00:00","株式会社　島田建築事務所","世田谷区南烏山6‐6‐4","株式会社　オープンハウス・ディベロップメント","渋谷区渋谷3‐12‐18","丸山2‐2021‐28","丸山2‐23","第１種低層住居専用地域","","一戸建ての住宅","新築","9.486","地上3階","木造","ベタ基礎","60.29","32.55","99.68","2024/08/24 0:00:00","2025/02/24 0:00:00","6-48","139.650884108033","35.7247554269035","令和６年度"
"6","49","2024/06/14 0:00:00","4R294＿A邸　新築工事","個人","個人","2024/06/05 0:00:00","住友不動産株式会社　注文住宅東京　一級建築士事務所","新宿区西新宿8-15-1","住友不動産株式会社　注文住宅事業本部","新宿区西新宿8-15-1","上高田4-16-44","上高田4-16","第１種低層住居専用地域","","一戸建ての住宅","新築","9.769","地上3階","木造","ベタ基礎","98.37","53.82","130","2024/08/05 0:00:00","2025/01/31 0:00:00","6-49","139.677654906564","35.7126376172906","令和６年度"
"6","50","2024/06/24 0:00:00","個人","個人","個人","2024/06/19 0:00:00","東京セキスイハイム株式会社　東京支店　一級建築士事務所","新宿区揚場町1‐21　飯田橋升本ビル 7階","東京セキスイハイム株式会社　東京支店","新宿区揚場町1‐21　飯田橋升本ビル 7階","若宮2‐430‐23","若宮2‐45‐5","第１種低層住居専用地域","","一戸建ての住宅","新築","9.39","地上3階","鉄骨造","ベタ基礎","93.73","56.4","152.56","2024/08/01 0:00:00","2024/11/16 0:00:00","6-50","139.642573505746","35.7173316930228","令和６年度"
"6","53","2024/06/24 0:00:00","中野区江古田2丁目　新築工事","田園都市ホームズ　株式会社","豊島区東池袋1-33-8　NBF池袋タワー6F","2024/06/14 0:00:00","小玉設計　一級建築士事務所","小平市花小金井南町3-26-16-1","未定","","江古田2-1222-15","江古田2-21-3","第１種低層住居専用地域","","一戸建ての住宅","新築","8.352","地上3階","木造","ベタ基礎","46.46","29.37","71.39","2024/08/01 0:00:00","2024/12/27 0:00:00","6-53","139.664411776952","35.7258507263313","令和６年度"
"6","54","2024/06/25 0:00:00","モンシャトー中野区松が丘2丁目　新築工事","株式会社　三城","杉並区高円寺南4‐45‐4‐401","2024/06/24 0:00:00","株式会社　タウン設計","中野区野方4‐22‐2‐203","山廣建設株式会社","中野区本町5‐14‐23","松が丘2‐2228‐1","松が丘2‐25","第１種住居地域","","共同住宅","新築","11.54","地上4階","鉄筋コンクリート造","ベタ基礎","133.53","86.13","336.41","2024/08/20 0:00:00","2025/03/20 0:00:00","6-54","139.671809247001","35.7218280242978","令和６年度"
